COD_PROVINCIA|IND_SEXO|CLASE_PERMISO|DESC_ANTIG_PERMISO|NUM_CONDUCTORES
01|M|A   |2014         |2
01|M|A   |2016         |1
01|M|A   |2017         |1
01|M|A   |2018         |2
01|M|A   |2019         |8
01|M|A   |2020         |8
01|M|A   |2021         |8
01|M|A   |2022         |9
01|M|A   |2023         |13
01|M|A   |2024         |8
01|M|A   |Anterior_2014|70
01|M|A1  |2014         |2
01|M|A1  |2015         |4
01|M|A1  |2016         |3
01|M|A1  |2018         |7
01|M|A1  |2019         |10
01|M|A1  |2020         |15
01|M|A1  |2021         |12
01|M|A1  |2022         |15
01|M|A1  |2023         |17
01|M|A1  |2024         |20
01|M|A1  |Anterior_2014|167
01|M|A2  |2015         |2
01|M|A2  |2016         |1
01|M|A2  |2017         |2
01|M|A2  |2018         |9
01|M|A2  |2019         |5
01|M|A2  |2020         |7
01|M|A2  |2021         |9
01|M|A2  |2022         |9
01|M|A2  |2023         |13
01|M|A2  |2024         |21
01|M|A2  |Anterior_2014|96
01|M|AM  |2014         |11
01|M|AM  |2015         |10
01|M|AM  |2016         |9
01|M|AM  |2017         |11
01|M|AM  |2018         |16
01|M|AM  |2019         |16
01|M|AM  |2020         |19
01|M|AM  |2021         |24
01|M|AM  |2022         |16
01|M|AM  |2023         |25
01|M|AM  |2024         |40
01|M|AM  |Anterior_2014|5388
01|M|B   |2014         |1002
01|M|B   |2015         |1063
01|M|B   |2016         |1188
01|M|B   |2017         |1080
01|M|B   |2018         |1291
01|M|B   |2019         |1333
01|M|B   |2020         |1068
01|M|B   |2021         |1366
01|M|B   |2022         |1424
01|M|B   |2023         |1384
01|M|B   |2024         |1317
01|M|B   |Anterior_2014|63330
01|M|B+E |2015         |1
01|M|B+E |2017         |2
01|M|B+E |2018         |1
01|M|B+E |2021         |2
01|M|B+E |2022         |2
01|M|B+E |2023         |6
01|M|B+E |2024         |1
01|M|B+E |Anterior_2014|18
01|M|C   |Anterior_2014|2
01|M|C1  |2023         |1
01|M|C1  |Anterior_2014|10
01|M|D1  |2021         |1
01|M|D1  |Anterior_2014|1
01|M|LVA |2023         |1
01|M|LVA |Anterior_2014|1
01|V|A   |2014         |2
01|V|A   |2015         |2
01|V|A   |2016         |1
01|V|A   |2017         |2
01|V|A   |2018         |19
01|V|A   |2019         |22
01|V|A   |2020         |25
01|V|A   |2021         |16
01|V|A   |2022         |25
01|V|A   |2023         |18
01|V|A   |2024         |47
01|V|A   |Anterior_2014|1472
01|V|A1  |2014         |9
01|V|A1  |2015         |21
01|V|A1  |2016         |18
01|V|A1  |2017         |28
01|V|A1  |2018         |39
01|V|A1  |2019         |37
01|V|A1  |2020         |23
01|V|A1  |2021         |39
01|V|A1  |2022         |35
01|V|A1  |2023         |40
01|V|A1  |2024         |54
01|V|A1  |Anterior_2014|2034
01|V|A2  |2014         |2
01|V|A2  |2015         |3
01|V|A2  |2016         |3
01|V|A2  |2017         |9
01|V|A2  |2018         |16
01|V|A2  |2019         |32
01|V|A2  |2020         |22
01|V|A2  |2021         |22
01|V|A2  |2022         |20
01|V|A2  |2023         |20
01|V|A2  |2024         |55
01|V|A2  |Anterior_2014|1567
01|V|AM  |2014         |47
01|V|AM  |2015         |39
01|V|AM  |2016         |36
01|V|AM  |2017         |40
01|V|AM  |2018         |71
01|V|AM  |2019         |74
01|V|AM  |2020         |64
01|V|AM  |2021         |66
01|V|AM  |2022         |94
01|V|AM  |2023         |105
01|V|AM  |2024         |109
01|V|AM  |Anterior_2014|20131
01|V|B   |2014         |1287
01|V|B   |2015         |1438
01|V|B   |2016         |1352
01|V|B   |2017         |1154
01|V|B   |2018         |1415
01|V|B   |2019         |1476
01|V|B   |2020         |1020
01|V|B   |2021         |1555
01|V|B   |2022         |1559
01|V|B   |2023         |1862
01|V|B   |2024         |1991
01|V|B   |Anterior_2014|69527
01|V|B+E |2016         |2
01|V|B+E |2017         |1
01|V|B+E |2018         |2
01|V|B+E |2019         |4
01|V|B+E |2020         |2
01|V|B+E |2021         |7
01|V|B+E |2022         |7
01|V|B+E |2023         |20
01|V|B+E |2024         |18
01|V|B+E |Anterior_2014|249
01|V|C   |2017         |1
01|V|C   |2023         |1
01|V|C   |Anterior_2014|26
01|V|C+E |Anterior_2014|11
01|V|C1  |2019         |1
01|V|C1  |2023         |1
01|V|C1  |2024         |1
01|V|C1  |Anterior_2014|66
01|V|C1+E|2015         |1
01|V|C1+E|2020         |2
01|V|C1+E|Anterior_2014|8
01|V|D   |2023         |2
01|V|D   |2024         |1
01|V|D   |Anterior_2014|2
01|V|D+E |2015         |1
01|V|D+E |2019         |1
01|V|D+E |2023         |3
01|V|D+E |2024         |1
01|V|D+E |Anterior_2014|3
01|V|D1  |2021         |1
01|V|D1  |2023         |2
01|V|D1  |2024         |1
01|V|D1  |Anterior_2014|2
01|V|D1+E|2020         |1
01|V|D1+E|2023         |1
01|V|D1+E|Anterior_2014|4
01|V|LVA |2018         |1
01|V|LVA |2021         |1
01|V|LVA |2022         |2
01|V|LVA |2023         |3
01|V|LVA |2024         |7
01|V|LVA |Anterior_2014|1
02|M|A   |2017         |1
02|M|A   |2018         |2
02|M|A   |2019         |1
02|M|A   |2021         |2
02|M|A   |2022         |2
02|M|A   |2023         |5
02|M|A   |2024         |5
02|M|A   |Anterior_2014|50
02|M|A1  |2014         |1
02|M|A1  |2015         |2
02|M|A1  |2016         |1
02|M|A1  |2017         |4
02|M|A1  |2018         |2
02|M|A1  |2019         |6
02|M|A1  |2020         |6
02|M|A1  |2021         |6
