COD_PROVINCIA|IND_SEXO|EDAD|NUM_PERMISOS|NUM_LICENCIAS|NUM_LICENCIAS_PERMISOS|NUM_PERMISOS_A|NUM_PERMISOS_B|NUM_PERMISOS_C|NUM_PERMISOS_D|NUM_PERMISOS_LCM|NUM_PERMISOS_LVA
01|M|15 a 17 años|24|0|24|24|0|0|0|0|0
01|M|18 a 20 años|818|1|819|36|807|0|0|0|1
01|M|21 a 24 años|3229|0|3229|76|3224|8|0|0|0
01|M|25 a 29 años|4731|0|4731|152|4721|26|4|0|0
01|M|30 a 34 años|5381|0|5381|403|5359|34|15|0|0
01|M|35 a 39 años|6967|0|6967|639|6939|47|42|0|0
01|M|40 a 44 años|9171|0|9171|989|9149|74|71|0|0
01|M|45 a 49 años|11758|0|11758|1496|11704|149|107|0|0
01|M|50 a 54 años|10817|0|10817|1418|10747|103|94|0|0
01|M|55 a 59 años|9512|0|9512|833|9440|68|46|0|0
01|M|60 a 64 años|8105|0|8105|559|8055|41|35|0|0
01|M|65 a 69 años|6178|0|6178|374|6122|8|10|0|0
01|M|70 a 74 años|3651|1|3651|213|3596|2|1|0|1
01|M|Más de 74 años|2714|0|2714|348|2568|1|1|0|0
01|V|15 a 17 años|92|8|99|92|0|0|0|0|8
01|V|18 a 20 años|1542|6|1548|222|1500|0|0|0|6
01|V|21 a 24 años|4232|1|4233|495|4212|75|1|0|1
01|V|25 a 29 años|6016|0|6016|859|5995|221|28|0|0
01|V|30 a 34 años|6728|0|6728|1701|6677|341|62|0|0
01|V|35 a 39 años|8114|0|8114|2529|8080|607|196|0|0
01|V|40 a 44 años|10384|0|10384|3522|10338|938|344|0|0
01|V|45 a 49 años|12878|0|12878|4727|12744|1358|557|0|0
01|V|50 a 54 años|12780|0|12780|4692|12609|1679|779|0|0
01|V|55 a 59 años|11840|0|11840|3819|11706|1730|913|0|0
01|V|60 a 64 años|10430|1|10430|3618|10314|1476|705|0|1
01|V|65 a 69 años|8890|0|8890|3178|8788|653|308|0|0
01|V|70 a 74 años|7326|0|7326|2624|7199|205|99|0|0
01|V|Más de 74 años|11517|2|11517|6280|10292|84|38|0|2
02|M|15 a 17 años|59|0|59|59|0|0|0|0|0
02|M|18 a 20 años|1565|0|1565|135|1526|3|0|0|0
02|M|21 a 24 años|5130|0|5130|186|5117|22|0|0|0
02|M|25 a 29 años|7436|0|7436|360|7429|49|1|0|0
02|M|30 a 34 años|8741|0|8741|1216|8707|78|6|0|0
02|M|35 a 39 años|9458|0|9458|1833|9420|86|18|0|0
02|M|40 a 44 años|11309|0|11309|2909|11230|175|52|0|0
02|M|45 a 49 años|13682|0|13682|3531|13481|272|71|0|0
02|M|50 a 54 años|12310|0|12310|3222|12028|118|52|0|0
02|M|55 a 59 años|11439|0|11439|2198|11169|73|45|0|0
02|M|60 a 64 años|9136|0|9136|1486|8832|30|22|0|0
02|M|65 a 69 años|5885|0|5885|822|5689|10|3|0|0
02|M|70 a 74 años|3016|0|3016|333|2858|1|0|0|0
02|M|Más de 74 años|1923|0|1923|350|1690|1|1|0|0
02|V|15 a 17 años|395|7|396|395|0|0|0|0|7
02|V|18 a 20 años|3015|2|3017|792|2802|4|0|0|2
02|V|21 a 24 años|6439|0|6439|1113|6384|205|1|0|0
02|V|25 a 29 años|9546|0|9546|1921|9515|644|46|0|0
02|V|30 a 34 años|10034|0|10034|4262|9971|984|74|0|0
02|V|35 a 39 años|11031|0|11031|5831|10965|1434|149|0|0
02|V|40 a 44 años|11835|0|11835|6856|11722|1945|333|0|0
02|V|45 a 49 años|13510|1|13510|8073|13189|2545|569|0|1
02|V|50 a 54 años|14075|1|14075|8456|13673|2710|1128|0|1
02|V|55 a 59 años|14309|5|14309|7880|13872|2596|1284|0|5
02|V|60 a 64 años|13308|10|13308|7946|12851|2361|1079|0|10
02|V|65 a 69 años|10412|12|10412|6908|9950|851|329|0|12
02|V|70 a 74 años|7516|10|7516|5593|7063|218|116|0|10
02|V|Más de 74 años|14764|65|14764|13086|10031|119|47|0|65
03|M|15 a 17 años|1377|0|1377|1377|0|0|0|0|0
03|M|18 a 20 años|9089|0|9089|2018|8118|0|0|0|0
03|M|21 a 24 años|22832|0|22832|2126|22537|33|3|0|0
03|M|25 a 29 años|32723|0|32723|2564|32571|97|12|0|0
03|M|30 a 34 años|37849|0|37849|6877|37587|129|37|0|0
03|M|35 a 39 años|44522|0|44522|11187|44162|186|78|0|0
03|M|40 a 44 años|52476|0|52476|16548|51858|255|132|0|0
03|M|45 a 49 años|61406|0|61406|21303|60063|497|183|0|0
03|M|50 a 54 años|58492|0|58492|21387|56842|782|166|0|0
03|M|55 a 59 años|53183|0|53183|16854|51655|1025|151|0|0
03|M|60 a 64 años|45511|0|45511|13716|44060|1051|69|0|0
03|M|65 a 69 años|35655|0|35655|9030|34519|784|33|0|0
03|M|70 a 74 años|23213|0|23213|5231|22363|294|13|0|0
03|M|Más de 74 años|22615|0|22615|7069|20077|97|6|0|0
03|V|15 a 17 años|3202|2|3203|3202|0|0|0|0|2
03|V|18 a 20 años|14136|0|14136|5511|12030|9|0|0|0
03|V|21 a 24 años|28939|0|28939|7261|28060|432|5|0|0
03|V|25 a 29 años|38549|0|38549|9211|38065|1309|96|0|0
03|V|30 a 34 años|42439|0|42439|17806|41854|1951|224|0|0
03|V|35 a 39 años|48588|0|48588|25383|47964|3159|585|0|0
03|V|40 a 44 años|58929|0|58929|34393|58033|5412|1101|0|0
03|V|45 a 49 años|72001|1|72002|42959|69975|8435|2034|0|1
03|V|50 a 54 años|69568|0|69568|44180|67309|9727|3608|0|0
03|V|55 a 59 años|64097|0|64097|41126|61847|9296|3666|0|0
03|V|60 a 64 años|57254|1|57254|39571|55204|8045|2905|0|1
03|V|65 a 69 años|48646|0|48646|33791|46815|3828|1236|0|0
03|V|70 a 74 años|38771|4|38771|26630|37266|1454|444|0|4
03|V|Más de 74 años|61117|1|61117|45912|52363|727|195|0|1
04|M|15 a 17 años|89|0|89|89|0|0|0|0|0
04|M|18 a 20 años|2580|0|2580|187|2495|2|0|0|0
04|M|21 a 24 años|9007|0|9007|234|8986|28|0|0|0
04|M|25 a 29 años|13911|0|13911|574|13885|76|10|0|0
04|M|30 a 34 años|16373|0|16373|1952|16320|155|22|0|0
04|M|35 a 39 años|18605|0|18605|3104|18516|222|40|0|0
04|M|40 a 44 años|21346|0|21346|4875|21189|302|76|0|0
04|M|45 a 49 años|23385|0|23385|6412|22943|335|88|0|0
04|M|50 a 54 años|20897|0|20897|5901|20402|330|80|0|0
04|M|55 a 59 años|18740|0|18740|4467|18251|420|63|0|0
