Sexo, edad, nacionalidad de la persona de referencia;Km medios recorridos al año por combustible;Total
Ambos  sexos;Total vehículos;12.562,9
Ambos  sexos;Vehículos de gasolina;10.486,5
Ambos  sexos;Vehículos de gasoil;14.466,2
Varones;Total vehículos;12.783,7
Varones;Vehículos de gasolina;10.677,8
Varones;Vehículos de gasoil;14.617,5
Mujeres;Total vehículos;12.060,0
Mujeres;Vehículos de gasolina;10.070,4
Mujeres;Vehículos de gasoil;14.100,1
EDAD:TOTAL;Total vehículos;12.562,9
EDAD:TOTAL;Vehículos de gasolina;10.486,5
EDAD:TOTAL;Vehículos de gasoil;14.466,2
Menos de 25 años;Total vehículos;12.871,6
Menos de 25 años;Vehículos de gasolina;11.117,8
Menos de 25 años;Vehículos de gasoil;13.965,7
De 25 a 44 años;Total vehículos;13.880,4
De 25 a 44 años;Vehículos de gasolina;11.448,9
De 25 a 44 años;Vehículos de gasoil;15.818,1
De 45 a 64 años;Total vehículos;12.205,4
De 45 a 64 años;Vehículos de gasolina;10.411,5
De 45 a 64 años;Vehículos de gasoil;13.966,4
65 y más años;Total vehículos;9.525,8
65 y más años;Vehículos de gasolina;8.183,8
65 y más años;Vehículos de gasoil;11.170,2
NACIONALIDAD:TOTAL;Total vehículos;12.562,9
NACIONALIDAD:TOTAL;Vehículos de gasolina;10.486,5
NACIONALIDAD:TOTAL;Vehículos de gasoil;14.466,2
Española;Total vehículos;12.479,6
Española;Vehículos de gasolina;10.381,2
Española;Vehículos de gasoil;14.400,9
Extranjera;Total vehículos;14.273,9
Extranjera;Vehículos de gasolina;12.603,5
Extranjera;Vehículos de gasoil;15.888,0
De un País de la Unión Europea;Total vehículos;15.412,3
De un País de la Unión Europea;Vehículos de gasolina;11.915,6
De un País de la Unión Europea;Vehículos de gasoil;17.656,1
De otros países;Total vehículos;13.203,8
De otros países;Vehículos de gasolina;13.241,3
De otros países;Vehículos de gasoil;14.145,8
