Sexo, edad, nacionalidad de la persona de referencia;Km medios recorridos al año por antigüedad;Total
Ambos  sexos;Total vehículos;12.562,9
Ambos  sexos;Vehículos de 0 a 4 años;13.889,5
Ambos  sexos;Vehículos de 5 a 10 años;12.784,1
Ambos  sexos;Vehículos de 11 a 20 años;9.729,9
Ambos  sexos;Vehículos de 21 a 50 años;7.891,8
Ambos  sexos;No sabe / No contesta;7.683,6
Varones;Total vehículos;12.783,7
Varones;Vehículos de 0 a 4 años;14.265,0
Varones;Vehículos de 5 a 10 años;12.991,2
Varones;Vehículos de 11 a 20 años;9.918,3
Varones;Vehículos de 21 a 50 años;7.855,3
Varones;No sabe / No contesta;7.902,1
Mujeres;Total vehículos;12.060,0
Mujeres;Vehículos de 0 a 4 años;13.092,2
Mujeres;Vehículos de 5 a 10 años;12.318,2
Mujeres;Vehículos de 11 a 20 años;9.228,8
Mujeres;Vehículos de 21 a 50 años;7.991,7
Mujeres;No sabe / No contesta;6.567,5
EDAD:TOTAL;Total vehículos;12.562,9
EDAD:TOTAL;Vehículos de 0 a 4 años;13.889,5
EDAD:TOTAL;Vehículos de 5 a 10 años;12.784,1
EDAD:TOTAL;Vehículos de 11 a 20 años;9.729,9
EDAD:TOTAL;Vehículos de 21 a 50 años;7.891,8
EDAD:TOTAL;No sabe / No contesta;7.683,6
Menos de 25 años;Total vehículos;12.871,6
Menos de 25 años;Vehículos de 0 a 4 años;13.745,7
Menos de 25 años;Vehículos de 5 a 10 años;13.151,1
Menos de 25 años;Vehículos de 11 a 20 años;11.074,6
Menos de 25 años;Vehículos de 21 a 50 años;12.060,4
Menos de 25 años;No sabe / No contesta;2.000,0
De 25 a 44 años;Total vehículos;13.880,4
De 25 a 44 años;Vehículos de 0 a 4 años;15.011,4
De 25 a 44 años;Vehículos de 5 a 10 años;13.707,6
De 25 a 44 años;Vehículos de 11 a 20 años;11.154,9
De 25 a 44 años;Vehículos de 21 a 50 años;12.524,2
De 25 a 44 años;No sabe / No contesta;8.694,3
De 45 a 64 años;Total vehículos;12.205,4
De 45 a 64 años;Vehículos de 0 a 4 años;13.182,1
De 45 a 64 años;Vehículos de 5 a 10 años;12.604,2
De 45 a 64 años;Vehículos de 11 a 20 años;9.860,0
De 45 a 64 años;Vehículos de 21 a 50 años;7.633,3
De 45 a 64 años;No sabe / No contesta;9.615,9
65 y más años;Total vehículos;9.525,8
65 y más años;Vehículos de 0 a 4 años;11.460,2
65 y más años;Vehículos de 5 a 10 años;10.344,3
65 y más años;Vehículos de 11 a 20 años;7.099,0
65 y más años;Vehículos de 21 a 50 años;4.246,8
65 y más años;No sabe / No contesta;3.853,7
NACIONALIDAD:TOTAL;Total vehículos;12.562,9
NACIONALIDAD:TOTAL;Vehículos de 0 a 4 años;13.889,5
NACIONALIDAD:TOTAL;Vehículos de 5 a 10 años;12.784,1
NACIONALIDAD:TOTAL;Vehículos de 11 a 20 años;9.729,9
NACIONALIDAD:TOTAL;Vehículos de 21 a 50 años;7.891,8
NACIONALIDAD:TOTAL;No sabe / No contesta;7.683,6
Española;Total vehículos;12.479,6
Española;Vehículos de 0 a 4 años;13.905,4
Española;Vehículos de 5 a 10 años;12.676,4
Española;Vehículos de 11 a 20 años;9.566,2
Española;Vehículos de 21 a 50 años;6.716,7
Española;No sabe / No contesta;8.714,9
Extranjera;Total vehículos;14.273,9
Extranjera;Vehículos de 0 a 4 años;13.565,3
Extranjera;Vehículos de 5 a 10 años;15.030,6
Extranjera;Vehículos de 11 a 20 años;13.242,9
Extranjera;Vehículos de 21 a 50 años;26.961,5
Extranjera;No sabe / No contesta;2.337,2
De un País de la Unión Europea;Total vehículos;15.412,3
De un País de la Unión Europea;Vehículos de 0 a 4 años;16.137,4
De un País de la Unión Europea;Vehículos de 5 a 10 años;14.499,7
De un País de la Unión Europea;Vehículos de 11 a 20 años;15.043,1
De un País de la Unión Europea;Vehículos de 21 a 50 años;38.165,7
De un País de la Unión Europea;No sabe / No contesta;2.000,0
De otros países;Total vehículos;13.203,8
De otros países;Vehículos de 0 a 4 años;11.299,1
De otros países;Vehículos de 5 a 10 años;15.570,5
De otros países;Vehículos de 11 a 20 años;11.365,9
De otros países;Vehículos de 21 a 50 años;22.661,8
De otros países;No sabe / No contesta;2.398,4
