province,age_group,sex,reference,year,Periodo,population
01 Araba/Álava,90 y más años,Hombres,1 January,2002,1 de enero de 2002,416
01 Araba/Álava,90 y más años,Mujeres,1 January,2002,1 de enero de 2002,1168
01 Araba/Álava,90 y más años,Total,1 January,2002,1 de enero de 2002,1584
01 Araba/Álava,De 0 a 4 años,Hombres,1 January,2002,1 de enero de 2002,5959
01 Araba/Álava,De 0 a 4 años,Mujeres,1 January,2002,1 de enero de 2002,5876
01 Araba/Álava,De 0 a 4 años,Total,1 January,2002,1 de enero de 2002,11835
01 Araba/Álava,De 10 a 14 años,Hombres,1 January,2002,1 de enero de 2002,6274
01 Araba/Álava,De 10 a 14 años,Mujeres,1 January,2002,1 de enero de 2002,5888
01 Araba/Álava,De 10 a 14 años,Total,1 January,2002,1 de enero de 2002,12162
01 Araba/Álava,De 15 a 19 años,Hombres,1 January,2002,1 de enero de 2002,8003
01 Araba/Álava,De 15 a 19 años,Mujeres,1 January,2002,1 de enero de 2002,7695
01 Araba/Álava,De 15 a 19 años,Total,1 January,2002,1 de enero de 2002,15699
01 Araba/Álava,De 20 a 24 años,Hombres,1 January,2002,1 de enero de 2002,11161
01 Araba/Álava,De 20 a 24 años,Mujeres,1 January,2002,1 de enero de 2002,10543
01 Araba/Álava,De 20 a 24 años,Total,1 January,2002,1 de enero de 2002,21704
01 Araba/Álava,De 25 a 29 años,Hombres,1 January,2002,1 de enero de 2002,12854
01 Araba/Álava,De 25 a 29 años,Mujeres,1 January,2002,1 de enero de 2002,12146
01 Araba/Álava,De 25 a 29 años,Total,1 January,2002,1 de enero de 2002,25000
01 Araba/Álava,De 30 a 34 años,Hombres,1 January,2002,1 de enero de 2002,12459
01 Araba/Álava,De 30 a 34 años,Mujeres,1 January,2002,1 de enero de 2002,11929
01 Araba/Álava,De 30 a 34 años,Total,1 January,2002,1 de enero de 2002,24388
01 Araba/Álava,De 35 a 39 años,Hombres,1 January,2002,1 de enero de 2002,12160
01 Araba/Álava,De 35 a 39 años,Mujeres,1 January,2002,1 de enero de 2002,12129
01 Araba/Álava,De 35 a 39 años,Total,1 January,2002,1 de enero de 2002,24289
01 Araba/Álava,De 40 a 44 años,Hombres,1 January,2002,1 de enero de 2002,11318
01 Araba/Álava,De 40 a 44 años,Mujeres,1 January,2002,1 de enero de 2002,11496
01 Araba/Álava,De 40 a 44 años,Total,1 January,2002,1 de enero de 2002,22814
01 Araba/Álava,De 45 a 49 años,Hombres,1 January,2002,1 de enero de 2002,10412
01 Araba/Álava,De 45 a 49 años,Mujeres,1 January,2002,1 de enero de 2002,10397
01 Araba/Álava,De 45 a 49 años,Total,1 January,2002,1 de enero de 2002,20809
01 Araba/Álava,De 5 a 9 años,Hombres,1 January,2002,1 de enero de 2002,5573
01 Araba/Álava,De 5 a 9 años,Mujeres,1 January,2002,1 de enero de 2002,5263
01 Araba/Álava,De 5 a 9 años,Total,1 January,2002,1 de enero de 2002,10836
