scope,scope_label,sex,band,driver_deaths,drivers_involved,licence_holder_years,involved_per_1000_licences,involved_per_1000_licences_low,involved_per_1000_licences_high,deaths_per_million_licences,deaths_per_million_licences_low,deaths_per_million_licences_high,deaths_per_1000_involved,deaths_per_1000_involved_low,deaths_per_1000_involved_high,sex_label,band_label,years
motor,Drivers of motor vehicles,female,18-34,96,42997,7746808,5.550286002,5.497946429,5.602999797,12.39220076,10.0377224,15.13299813,2.23271391,1.808505436,2.726525827,Women,18–34,2022-2024
motor,Drivers of motor vehicles,female,35-54,134,58354,16835605,3.466106505,3.438040257,3.494344909,7.959321925,6.668798236,9.426723464,2.2963293,1.924002689,2.719686614,Women,35–54,2022-2024
motor,Drivers of motor vehicles,female,55-64,58,14943,6936159,2.154362378,2.119957096,2.189186093,8.361976708,6.349599495,10.80979397,3.881416048,2.947321935,5.017630311,Women,55–64,2022-2024
motor,Drivers of motor vehicles,female,65-74,34,5216,3618320,1.441552986,1.40269441,1.481215208,9.396626059,6.507436707,13.13084307,6.518404908,4.51418489,9.108817503,Women,65–74,2022-2024
motor,Drivers of motor vehicles,female,75+,14,1942,1089391,1.782647369,1.704235737,1.863736159,12.85121687,7.025879851,21.56215824,7.209062822,3.941261728,12.09558245,Women,75 and over,2022-2024
motor,Drivers of motor vehicles,male,18-34,675,99744,8944778,11.15108726,11.08199069,11.22050775,75.46302435,69.87678295,81.37703404,6.76732435,6.266365003,7.297677091,Men,18–34,2022-2024
motor,Drivers of motor vehicles,male,35-54,1086,138555,18924839,7.321330448,7.282830289,7.359983684,57.38490034,54.0222639,60.90203815,7.838042655,7.37874957,8.318438648,Men,35–54,2022-2024
motor,Drivers of motor vehicles,male,55-64,539,49048,9010064,5.443690522,5.395619715,5.49208305,59.82199461,54.877654,65.09222095,10.98923504,10.08096507,11.95736986,Men,55–64,2022-2024
motor,Drivers of motor vehicles,male,65-74,282,20793,6167429,3.371421057,3.32574982,3.417562685,45.72407725,40.54262349,51.38419832,13.56225653,12.02538123,15.24110974,Men,65–74,2022-2024
motor,Drivers of motor vehicles,male,75+,237,12156,4275288,2.843317222,2.792994143,2.894319362,55.43486193,48.60134892,62.96010487,19.49654492,17.09318557,22.14318697,Men,75 and over,2022-2024
motor,Drivers of motor vehicles,female,18+,336,123452,36226283,3.407802009,3.388818551,3.42686544,9.27503382,8.309701342,10.32172538,2.721705602,2.43843431,3.028851252,Women,18 and over,2022-2024
motor,Drivers of motor vehicles,male,18+,2819,320296,47322398,6.768380588,6.744960636,6.791861738,59.5701004,57.39116471,61.81058652,8.801233859,8.4793052,9.132256337,Men,18 and over,2022-2024
car,Car drivers,female,18-34,64,34338,7746808,4.43253531,4.385774974,4.479669941,8.261467175,6.362336403,10.54970915,1.863824335,1.435371849,2.380062066,Women,18–34,2022-2024
car,Car drivers,female,35-54,98,48140,16835605,2.859416101,2.833929376,2.885075006,5.820996632,4.725766438,7.093930411,2.035729123,1.652703304,2.480901751,Women,35–54,2022-2024
car,Car drivers,female,55-64,48,12850,6936159,1.852610357,1.820715382,1.884923855,6.920256586,5.102450913,9.175256245,3.73540856,2.754195395,4.95260982,Women,55–64,2022-2024
car,Car drivers,female,65-74,28,4902,3618320,1.354772381,1.317109631,1.393238894,7.738397931,5.142109226,11.18413959,5.711954304,3.795552153,8.25536433,Women,65–74,2022-2024
car,Car drivers,female,75+,14,1864,1089391,1.711047732,1.634244715,1.790528328,12.85121687,7.025879851,21.56215824,7.510729614,4.106185771,12.60172807,Women,75 and over,2022-2024
car,Car drivers,male,18-34,325,57531,8944778,6.431797413,6.379346513,6.484572345,36.33404876,32.49076979,40.50693004,5.649128296,5.051584759,6.297917587,Men,18–34,2022-2024
car,Car drivers,male,35-54,383,77135,18924839,4.075860302,4.047146889,4.104726838,20.23795288,18.26163519,22.36983353,4.965320542,4.480436973,5.488371012,Men,35–54,2022-2024
car,Car drivers,male,55-64,183,27946,9010064,3.101642785,3.065383318,3.138224133,20.31062154,17.47441268,23.47601124,6.548343233,5.633921727,7.568895861,Men,55–64,2022-2024
car,Car drivers,male,65-74,136,15487,6167429,2.51109498,2.471700498,2.550960026,22.05132803,18.50113934,26.0842524,8.781558727,7.367757687,10.38760087,Men,65–74,2022-2024
car,Car drivers,male,75+,167,10461,4275288,2.446852703,2.400185815,2.494198815,39.06169596,33.36189713,45.45600955,15.96405697,13.63461605,18.57733794,Men,75 and over,2022-2024
car,Car drivers,female,18+,252,102094,36226283,2.818230068,2.800969037,2.835571078,6.956275365,6.123847776,7.870286235,2.468313515,2.17294104,2.7926344,Women,18 and over,2022-2024
car,Car drivers,male,18+,1194,188560,47322398,3.984582523,3.966617724,4.00260853,25.23118123,23.82015548,26.70396522,6.332201952,5.978080601,6.701822605,Men,18 and over,2022-2024
