scope,scope_label,sex,band,driver_deaths,drivers_involved,licence_holder_years,involved_per_1000_licences,involved_per_1000_licences_low,involved_per_1000_licences_high,deaths_per_million_licences,deaths_per_million_licences_low,deaths_per_million_licences_high,deaths_per_1000_involved,deaths_per_1000_involved_low,deaths_per_1000_involved_high,sex_label,band_label,years,year
motor,Drivers of motor vehicles,female,18+,99,38319,10856117,3.529715091,3.494461269,3.565235979,9.119282705,7.411702992,11.10239948,2.583574728,2.099802053,3.145409529,Women,18 and over,2014-2014,2014
motor,Drivers of motor vehicles,male,18+,856,103945,15310546,6.789111244,6.74790079,6.830510936,55.90917528,52.2260504,59.7835171,8.235124345,7.692619626,8.8057943,Men,18 and over,2014-2014,2014
car,Car drivers,female,18+,82,32128,10856117,2.959437523,2.927164342,2.991977812,7.553345271,6.00739965,9.37569309,2.552290837,2.029912645,3.168065897,Women,18 and over,2014-2014,2014
car,Car drivers,male,18+,418,63237,15310546,4.130290324,4.098160596,4.162609347,27.30144307,24.74659221,30.04844214,6.61005424,5.991489768,7.275140433,Men,18 and over,2014-2014,2014
motor,Drivers of motor vehicles,female,18+,93,41316,10975975,3.764221402,3.728011325,3.800695612,8.473051369,6.838846,10.38006036,2.250943944,1.816802273,2.757558404,Women,18 and over,2015-2015,2015
motor,Drivers of motor vehicles,male,18+,881,111579,15325713,7.280509559,7.237852635,7.323355528,57.48509058,53.75135984,61.40981809,7.895750993,7.382911787,8.434824182,Men,18 and over,2015-2015,2015
car,Car drivers,female,18+,81,34636,10975975,3.155619432,3.122472863,3.189030176,7.379754418,5.860590243,9.172360923,2.338607229,1.857191708,2.906675256,Women,18 and over,2015-2015,2015
car,Car drivers,male,18+,393,67636,15325713,4.413236761,4.380039056,4.446623564,25.64317889,23.17026799,28.30814431,5.81051511,5.250175606,6.414372454,Men,18 and over,2015-2015,2015
motor,Drivers of motor vehicles,female,18+,91,43729,11124247,3.930962698,3.894204299,3.967981697,8.18032897,6.586290604,10.04363126,2.080998879,1.675490487,2.555005486,Women,18 and over,2016-2016,2016
motor,Drivers of motor vehicles,male,18+,924,116519,15339811,7.595856298,7.552304022,7.639597441,60.23542272,56.4136669,64.24794959,7.930037161,7.426900231,8.458289239,Men,18 and over,2016-2016,2016
car,Car drivers,female,18+,73,36547,11124247,3.285345965,3.251748766,3.319203806,6.562241921,5.143750127,8.251033997,1.997427969,1.565664676,2.511465789,Women,18 and over,2016-2016,2016
car,Car drivers,male,18+,429,71094,15339811,4.634607297,4.600601247,4.668802266,27.96644626,25.38231408,30.74232034,6.034264495,5.476691434,6.633209325,Men,18 and over,2016-2016,2016
motor,Drivers of motor vehicles,female,18+,121,43477,11244112,3.866645939,3.830384575,3.903165127,10.76118772,8.929348228,12.85824615,2.783080709,2.309326576,3.325426314,Women,18 and over,2017-2017,2017
motor,Drivers of motor vehicles,male,18+,959,116321,15357238,7.574343772,7.530877948,7.617998248,62.44612475,58.5559075,66.52685828,8.24442706,7.730822532,8.78318443,Men,18 and over,2017-2017,2017
car,Car drivers,female,18+,102,36417,11244112,3.238761763,3.205582037,3.272199351,9.071414443,7.396654373,11.0120782,2.800889694,2.283790817,3.400088986,Women,18 and over,2017-2017,2017
car,Car drivers,male,18+,450,69757,15357238,4.542288138,4.508642174,4.576122809,29.30214404,26.65700626,32.13873445,6.450965495,5.868629521,7.075450406,Men,18 and over,2017-2017,2017
motor,Drivers of motor vehicles,female,18+,108,44094,11396161,3.869197706,3.833166584,3.905483209,9.47687559,7.774064732,11.44181012,2.449312832,2.00921879,2.957153134,Women,18 and over,2018-2018,2018
motor,Drivers of motor vehicles,male,18+,971,117749,15407970,7.642083934,7.598495737,7.685860162,63.0193335,59.11735365,67.11118973,8.246354534,7.735763459,8.78179176,Men,18 and over,2018-2018,2018
car,Car drivers,female,18+,88,36834,11396161,3.232141069,3.199216659,3.2653199,7.721898629,6.193188502,9.513595082,2.38909703,1.916125679,2.943434361,Women,18 and over,2018-2018,2018
car,Car drivers,male,18+,431,70281,15407970,4.561340657,4.527679525,4.595189873,27.97253629,25.39369978,30.74225949,6.132525149,5.567157046,6.739742063,Men,18 and over,2018-2018,2018
