year,zone,factor,crashes,all_crashes,share,zone_label,segment
2014,all,Alcohol,2045,63062,0.03242840379,All roads,0
2015,all,Alcohol,2082,67920,0.03065371025,All roads,0
2016,all,Alcohol,2739,70502,0.0388499617,All roads,1
2017,all,Alcohol,2797,70458,0.03969740839,All roads,1
2018,all,Alcohol,2892,70640,0.04093997735,All roads,1
2019,all,Alcohol,3161,72652,0.04350878159,All roads,1
2020,all,Alcohol,2488,51374,0.0484291665,All roads,1
2021,all,Alcohol,3180,63508,0.05007243182,All roads,1
2022,all,Alcohol,3414,70399,0.04849500703,All roads,1
2023,all,Alcohol,3609,73249,0.04927029721,All roads,1
2014,all,Distraction or inattention,13948,63062,0.221179157,All roads,0
2015,all,Distraction or inattention,13360,67920,0.1967020024,All roads,0
2016,all,Distraction or inattention,18910,70502,0.2682193413,All roads,1
2017,all,Distraction or inattention,19658,70458,0.279003094,All roads,1
2018,all,Distraction or inattention,18591,70640,0.2631795017,All roads,1
2019,all,Distraction or inattention,11942,72652,0.1643726257,All roads,2
2020,all,Distraction or inattention,8759,51374,0.1704948028,All roads,2
2021,all,Distraction or inattention,10186,63508,0.1603892423,All roads,2
2022,all,Distraction or inattention,11692,70399,0.1660819046,All roads,2
2023,all,Distraction or inattention,12475,73249,0.1703094923,All roads,2
2014,all,Drugs,69,63062,0.001094161302,All roads,0
2015,all,Drugs,181,67920,0.002664899882,All roads,1
2016,all,Drugs,283,70502,0.004014070523,All roads,2
2017,all,Drugs,425,70458,0.006031962304,All roads,3
2018,all,Drugs,838,70640,0.01186296716,All roads,4
2019,all,Drugs,683,72652,0.009400980014,All roads,5
2020,all,Drugs,99,51374,0.001927044809,All roads,6
2021,all,Drugs,87,63508,0.001369906154,All roads,7
2022,all,Drugs,94,70399,0.001335246239,All roads,8
2023,all,Drugs,85,73249,0.001160425398,All roads,9
2014,all,Illegal manoeuvres,17584,63062,0.2788367004,All roads,0
2015,all,Illegal manoeuvres,19656,67920,0.2893992933,All roads,0
2016,all,Illegal manoeuvres,23104,70502,0.3277070154,All roads,0
2017,all,Illegal manoeuvres,24603,70458,0.3491867496,All roads,0
2018,all,Illegal manoeuvres,23548,70640,0.3333522084,All roads,0
2019,all,Illegal manoeuvres,22716,72652,0.312668612,All roads,0
2020,all,Illegal manoeuvres,15311,51374,0.298030132,All roads,0
2021,all,Illegal manoeuvres,18600,63508,0.292876488,All roads,0
2022,all,Illegal manoeuvres,20690,70399,0.2938962201,All roads,0
2023,all,Illegal manoeuvres,22252,73249,0.3037857172,All roads,0
2014,all,Inappropriate speed,6295,63062,0.09982239701,All roads,0
2015,all,Inappropriate speed,5896,67920,0.08680800942,All roads,0
2016,all,Inappropriate speed,6634,70502,0.09409662137,All roads,0
2017,all,Inappropriate speed,6507,70458,0.09235289108,All roads,0
2018,all,Inappropriate speed,6604,70640,0.09348810872,All roads,0
2019,all,Inappropriate speed,6049,72652,0.08325992402,All roads,0
2020,all,Inappropriate speed,4578,51374,0.08911122358,All roads,0
2021,all,Inappropriate speed,5034,63508,0.07926560433,All roads,0
2022,all,Inappropriate speed,4716,70399,0.06698958792,All roads,0
2023,all,Inappropriate speed,5070,73249,0.06921596199,All roads,0
2014,interurban,Alcohol,1405,25598,0.05488710055,Interurban roads,0
2015,interurban,Alcohol,1398,24529,0.05699376249,Interurban roads,0
2016,interurban,Alcohol,1628,25738,0.06325277799,Interurban roads,0
2017,interurban,Alcohol,1677,26526,0.06322099073,Interurban roads,0
2018,interurban,Alcohol,1752,26781,0.06541951383,Interurban roads,0
2019,interurban,Alcohol,2012,26659,0.07547169811,Interurban roads,0
2020,interurban,Alcohol,1553,19409,0.0800144263,Interurban roads,0
2021,interurban,Alcohol,1937,22877,0.08467019277,Interurban roads,0
2022,interurban,Alcohol,2029,23735,0.08548556983,Interurban roads,0
2023,interurban,Alcohol,2064,25053,0.08238534307,Interurban roads,0
2014,interurban,Distraction or inattention,6354,25598,0.2482225174,Interurban roads,0
2015,interurban,Distraction or inattention,6145,24529,0.2505197929,Interurban roads,0
2016,interurban,Distraction or inattention,6440,25738,0.2502136918,Interurban roads,0
2017,interurban,Distraction or inattention,7634,26526,0.2877931086,Interurban roads,0
2018,interurban,Distraction or inattention,7294,26781,0.2723572682,Interurban roads,0
2019,interurban,Distraction or inattention,6916,26659,0.2594245846,Interurban roads,0
2020,interurban,Distraction or inattention,5328,19409,0.2745118244,Interurban roads,0
2021,interurban,Distraction or inattention,6233,22877,0.2724570529,Interurban roads,0
2022,interurban,Distraction or inattention,6273,23735,0.2642932378,Interurban roads,0
2023,interurban,Distraction or inattention,6592,25053,0.263122181,Interurban roads,0
2014,interurban,Drugs,47,25598,0.001836080944,Interurban roads,0
2015,interurban,Drugs,142,24529,0.005789066004,Interurban roads,1
2016,interurban,Drugs,222,25738,0.008625378817,Interurban roads,2
2017,interurban,Drugs,343,26526,0.01293070949,Interurban roads,3
2018,interurban,Drugs,746,26781,0.02785556925,Interurban roads,4
2019,interurban,Drugs,558,26659,0.02093101767,Interurban roads,5
2020,interurban,Drugs,72,19409,0.003709619249,Interurban roads,6
2021,interurban,Drugs,68,22877,0.002972417712,Interurban roads,7
2022,interurban,Drugs,67,23735,0.002822835475,Interurban roads,8
2023,interurban,Drugs,62,25053,0.002474753523,Interurban roads,9
2014,interurban,Illegal manoeuvres,6495,25598,0.2537307602,Interurban roads,0
2015,interurban,Illegal manoeuvres,7060,24529,0.2878225774,Interurban roads,0
2016,interurban,Illegal manoeuvres,8211,25738,0.3190224571,Interurban roads,0
2017,interurban,Illegal manoeuvres,10353,26526,0.3902963131,Interurban roads,0
2018,interurban,Illegal manoeuvres,10156,26781,0.3792240768,Interurban roads,0
2019,interurban,Illegal manoeuvres,10206,26659,0.3828350651,Interurban roads,0
2020,interurban,Illegal manoeuvres,6757,19409,0.348137462,Interurban roads,0
2021,interurban,Illegal manoeuvres,8366,22877,0.3656948026,Interurban roads,0
2022,interurban,Illegal manoeuvres,8720,23735,0.3673899305,Interurban roads,0
2023,interurban,Illegal manoeuvres,9463,25053,0.3777192352,Interurban roads,0
2014,interurban,Inappropriate speed,4766,25598,0.1861864208,Interurban roads,0
2015,interurban,Inappropriate speed,4340,24529,0.1769334257,Interurban roads,0
2016,interurban,Inappropriate speed,4955,25738,0.1925169011,Interurban roads,0
2017,interurban,Inappropriate speed,4902,26526,0.184799819,Interurban roads,0
2018,interurban,Inappropriate speed,5221,26781,0.1949516448,Interurban roads,0
2019,interurban,Inappropriate speed,4669,26659,0.1751378521,Interurban roads,0
2020,interurban,Inappropriate speed,3599,19409,0.18542944,Interurban roads,0
2021,interurban,Inappropriate speed,3770,22877,0.1647943349,Interurban roads,0
2022,interurban,Inappropriate speed,3411,23735,0.143711818,Interurban roads,0
2023,interurban,Inappropriate speed,3580,25053,0.1428970582,Interurban roads,0
