extra_annual_efficiency_gain,year,ratio,ratio_low,ratio_high
0,2020,0.9671967983,0.8779132089,1.076696619
0,2021,0.9714107218,0.8816823781,1.081471497
0,2022,1.098155784,0.9929851381,1.228243492
0,2023,1.173987971,1.056038216,1.32159835
0,2024,1.157587245,1.036661815,1.310449725
0.01,2020,0.9576205924,0.8692209989,1.066036256
0.01,2021,0.952270093,0.8643097521,1.060162236
0.01,2022,1.065859185,0.9637815921,1.192121033
0.01,2023,1.128179365,1.014831969,1.270030037
0.01,2024,1.101404544,0.9863481468,1.246847949
0.02,2020,0.9482321552,0.8606992244,1.05558492
0.02,2021,0.9336896596,0.8474455768,1.039476641
0.02,2022,1.034816722,0.9357120735,1.157401275
0.02,2023,1.084583417,0.9756160755,1.220952591
0.02,2024,1.048462433,0.9389365453,1.186914691
