measure,measure_label,year,expected,low,high,observed,ratio,outside_interval,period,observed_rate,expected_rate
count,Deaths,1993,5924.820132,5460.069706,6389.570558,6378,1.076488376,False,fitted,6378,5924.820132
count,Deaths,1994,5881.208249,5431.50741,6330.909087,5615,0.9547357894,False,fitted,5615,5881.208249
count,Deaths,1995,5837.917387,5400.726776,6275.107999,5751,0.9851115763,False,fitted,5751,5837.917387
count,Deaths,1996,5794.945185,5367.630041,6222.260328,5483,0.9461694331,False,fitted,5483,5794.945185
count,Deaths,1997,5752.289295,5332.155168,6172.423422,5604,0.9742208211,False,fitted,5604,5752.289295
count,Deaths,1998,5709.94739,5294.283979,6125.610802,5957,1.043267055,False,fitted,5957,5709.94739
count,Deaths,1999,5667.917159,5254.047074,6081.787244,5738,1.012364832,False,fitted,5738,5667.917159
count,Deaths,2000,5626.196307,5211.524428,6040.868187,5776,1.026626105,False,fitted,5776,5626.196307
count,Deaths,2001,5584.782558,5166.841391,6002.723724,5517,0.9878629907,False,fitted,5517,5584.782558
count,Deaths,2002,5543.67365,5120.160785,5967.186515,5347,0.9645228665,False,fitted,5347,5543.67365
count,Deaths,2003,5502.86734,5071.672496,5934.062184,5399,0.9811248694,False,fitted,5399,5502.86734
count,Deaths,2004,4901.12639,4506.008975,5296.243806,4741,0.9673286552,False,fitted,4741,4901.12639
count,Deaths,2005,4365.186077,3999.095471,4731.276683,4442,1.017596941,False,fitted,4442,4365.186077
count,Deaths,2006,3887.851071,3545.53697,4230.165172,4104,1.05559599,False,fitted,4104,3887.851071
count,Deaths,2007,3462.712857,3140.3614,3785.064314,3823,1.104047652,True,fitted,3823,3462.712857
count,Deaths,2008,3084.063692,2778.960599,3389.166785,3100,1.005167308,False,fitted,3100,3084.063692
count,Deaths,2009,2746.819979,2457.060431,3036.579527,2714,0.9880516455,False,fitted,2714,2746.819979
count,Deaths,2010,2446.454013,2170.707554,2722.200473,2478,1.012894576,False,fitted,2478,2446.454013
count,Deaths,2011,2178.933197,1916.262501,2441.603893,2060,0.9454167766,False,fitted,2060,2178.933197
count,Deaths,2012,1940.6659,1690.392686,2190.939114,1903,0.9805912498,False,fitted,1903,1940.6659
