year,zone,crashes,fatal_crashes,deaths_30d,deaths_per_100_crashes
2016,interurban,36721,1157,1291,3.52
2016,urban,65641,506,519,0.79
2017,interurban,37493,1173,1321,3.52
2017,urban,64740,499,509,0.79
2018,interurban,37892,1195,1317,3.48
2018,urban,64407,484,489,0.76
2019,interurban,37339,1135,1236,3.31
2019,urban,66741,516,519,0.78
2020,interurban,26611,894,975,3.66
2020,urban,46348,381,395,0.85
2021,interurban,31780,1029,1116,3.51
2021,urban,58082,408,417,0.72
2022,interurban,33300,1161,1273,3.82
2022,urban,64616,459,473,0.73
2023,interurban,35330,1176,1288,3.65
2023,urban,65976,504,518,0.79
2024,interurban,35772,1173,1291,3.61
2024,urban,66224,483,494,0.75
