year,crashes,deaths_30d,hospitalised_30d,non_hospitalised_30d,crashes_index,deaths_30d_index,hospitalised_30d_index,non_hospitalised_30d_index,deaths_per_100_crashes
1993,79925.0,6378.0,36828.0,80365.0,76.8,363.4,427.6,61.5,7.98
1994,78474.0,5615.0,33991.0,79725.0,75.4,319.9,394.6,61.0,7.16
1995,83586.0,5751.0,35599.0,85833.0,80.3,327.7,413.3,65.6,6.88
1996,85588.0,5483.0,33899.0,90258.0,82.2,312.4,393.6,69.0,6.41
1997,86067.0,5604.0,33915.0,91332.0,82.7,319.3,393.8,69.9,6.51
1998,97570.0,5957.0,34664.0,106713.0,93.7,339.4,402.5,81.6,6.11
1999,97811.0,5738.0,31883.0,111011.0,94.0,327.0,370.2,84.9,5.87
2000,101729.0,5776.0,27764.0,122017.0,97.7,329.1,322.3,93.3,5.68
2001,100393.0,5517.0,26566.0,123033.0,96.5,314.4,308.4,94.1,5.5
2002,98433.0,5347.0,26156.0,120761.0,94.6,304.7,303.7,92.4,5.43
2003,99987.0,5399.0,26305.0,124330.0,96.1,307.6,305.4,95.1,5.4
2004,94009.0,4741.0,21805.0,116578.0,90.3,270.1,253.2,89.2,5.04
2005,91187.0,4442.0,21859.0,110950.0,87.6,253.1,253.8,84.9,4.87
2006,99797.0,4104.0,21382.0,122068.0,95.9,233.8,248.3,93.4,4.11
2007,100508.0,3823.0,19295.0,123226.0,96.6,217.8,224.0,94.2,3.8
2008,93161.0,3100.0,16488.0,114459.0,89.5,176.6,191.4,87.5,3.33
2009,88251.0,2714.0,13923.0,111043.0,84.8,154.6,161.7,84.9,3.08
2010,85503.0,2478.0,11995.0,108350.0,82.2,141.2,139.3,82.9,2.9
2011,83027.0,2060.0,11347.0,104280.0,79.8,117.4,131.7,79.8,2.48
2012,83115.0,1903.0,10444.0,105446.0,79.9,108.4,121.3,80.7,2.29
2013,89519.0,1680.0,10086.0,114634.0,86.0,95.7,117.1,87.7,1.88
2014,91570.0,1688.0,9574.0,117058.0,88.0,96.2,111.2,89.5,1.84
2015,97756.0,1689.0,9495.0,124960.0,93.9,96.2,110.2,95.6,1.73
2016,102362.0,1810.0,9755.0,130635.0,98.3,103.1,113.3,99.9,1.77
2017,102233.0,1830.0,9546.0,129616.0,98.2,104.3,110.8,99.1,1.79
2018,102299.0,1806.0,8935.0,129674.0,98.3,102.9,103.7,99.2,1.77
2019,104080.0,1755.0,8613.0,130745.0,100.0,100.0,100.0,100.0,1.69
2020,72959.0,1370.0,6681.0,87881.0,70.1,78.1,77.6,67.2,1.88
2021,89862.0,1533.0,7784.0,110378.0,86.3,87.4,90.4,84.4,1.71
2022,97916.0,1746.0,8502.0,119328.0,94.1,99.5,98.7,91.3,1.78
2023,101306.0,1806.0,9265.0,124266.0,97.3,102.9,107.6,95.0,1.78
2024,101996.0,1785.0,9561.0,125084.0,98.0,101.7,111.0,95.7,1.75
