year,crashes_per_10k_vehicles,deaths_per_10k_population,deaths_per_10k_vehicles,deaths_per_1k_crashes,injured_per_1k_crashes,vehicle_fleet
1993,45,1.63,3.6,80,1466,17809987
1994,43,1.43,3.1,72,1449,18218924
1995,44,1.46,3.1,69,1453,18847245
1996,44,1.39,2.8,64,1451,19542104
1997,42,1.42,2.8,65,1455,20286408
1998,46,1.5,2.8,61,1449,21306493
1999,44,1.44,2.6,59,1461,22411194
2000,44,1.43,2.5,57,1472,23284215
2001,41,1.35,2.3,55,1490,24249871
2002,39,1.28,2.1,54,1493,25065732
2003,40,1.28,2.1,54,1507,25169452
2004,36,1.1,1.8,50,1472,26432641
2005,33,1.02,1.6,49,1456,27657276
2006,34,0.93,1.4,41,1437,29054061
2007,33,0.86,1.3,38,1418,30318457
2008,30,0.68,1,33,1406,30969224
2009,29,0.59,0.9,31,1416,30855969
2010,28,0.54,0.8,29,1407,31086035
2011,27,0.45,0.7,25,1393,31269081
2012,27,0.41,0.6,23,1394,31203203
2013,29,0.36,0.5,19,1393,30916836
2014,30,0.36,0.5,18,1383,30976047
2015,31,0.36,0.5,17,1375,31389683
2016,32,0.39,0.6,18,1372,32106520
2017,31,0.39,0.6,18,1361,32929004
2018,31,0.39,0.5,18,1355,33729982
2019,31,0.37,0.5,17,1339,34434791
2020,21,0.29,0.4,19,1296,34765203
2021,26,0.32,0.4,17,1315,35178808
2022,28,0.37,0.5,18,1306,35668443
2023,29,0.38,0.5,18,1318,36075238
2024,29,0.38,0.5,18,1320,36241784
