year,month,deaths_30d,share_of_year,month_label
1993,1,519,0.0814,Jan
1993,2,424,0.0665,Feb
1993,3,509,0.0798,Mar
1993,4,528,0.0828,Apr
1993,5,511,0.0801,May
1993,6,521,0.0817,Jun
1993,7,650,0.1019,Jul
1993,8,660,0.1035,Aug
1993,9,552,0.0865,Sep
1993,10,538,0.0844,Oct
1993,11,442,0.0693,Nov
1993,12,524,0.0822,Dec
1994,1,492,0.0876,Jan
1994,2,341,0.0607,Feb
1994,3,437,0.0778,Mar
1994,4,402,0.0716,Apr
1994,5,417,0.0743,May
1994,6,431,0.0768,Jun
1994,7,591,0.1053,Jul
1994,8,621,0.1106,Aug
1994,9,504,0.0898,Sep
1994,10,460,0.0819,Oct
1994,11,403,0.0718,Nov
1994,12,516,0.0919,Dec
1995,1,435,0.0756,Jan
1995,2,359,0.0624,Feb
1995,3,459,0.0798,Mar
1995,4,503,0.0875,Apr
1995,5,438,0.0762,May
1995,6,455,0.0791,Jun
1995,7,610,0.1061,Jul
1995,8,574,0.0998,Aug
1995,9,547,0.0951,Sep
1995,10,438,0.0762,Oct
1995,11,449,0.0781,Nov
1995,12,484,0.0842,Dec
1996,1,357,0.0651,Jan
1996,2,409,0.0746,Feb
1996,3,411,0.075,Mar
1996,4,423,0.0771,Apr
1996,5,439,0.0801,May
1996,6,499,0.091,Jun
1996,7,520,0.0948,Jul
1996,8,548,0.0999,Aug
1996,9,486,0.0886,Sep
1996,10,485,0.0885,Oct
1996,11,433,0.079,Nov
1996,12,473,0.0863,Dec
1997,1,413,0.0737,Jan
1997,2,352,0.0628,Feb
1997,3,480,0.0857,Mar
1997,4,430,0.0767,Apr
1997,5,447,0.0798,May
1997,6,445,0.0794,Jun
1997,7,569,0.1015,Jul
1997,8,639,0.114,Aug
1997,9,480,0.0857,Sep
1997,10,442,0.0789,Oct
1997,11,439,0.0783,Nov
1997,12,468,0.0835,Dec
1998,1,414,0.0695,Jan
1998,2,410,0.0688,Feb
1998,3,458,0.0769,Mar
1998,4,391,0.0656,Apr
1998,5,503,0.0844,May
1998,6,523,0.0878,Jun
1998,7,545,0.0915,Jul
