road_group,hour_band,crashes,fatal_crashes,deaths_30d,fatal_share,road_group_label,hour_band_label
conventional,00-06,13992,822,897,0.0587,Conventional road,00:00–06:59
conventional,07-09,21296,783,875,0.0368,Conventional road,07:00–09:59
conventional,10-13,43150,1446,1543,0.0335,Conventional road,10:00–13:59
conventional,14-16,29603,991,1105,0.0335,Conventional road,14:00–16:59
conventional,17-19,29389,1131,1226,0.0385,Conventional road,17:00–19:59
conventional,20-23,21566,983,1098,0.0456,Conventional road,20:00–23:59
dual_carriageway,00-06,11823,642,710,0.0543,Dual carriageway,00:00–06:59
dual_carriageway,07-09,19558,355,402,0.0182,Dual carriageway,07:00–09:59
dual_carriageway,10-13,25150,533,579,0.0212,Dual carriageway,10:00–13:59
dual_carriageway,14-16,22347,435,478,0.0195,Dual carriageway,14:00–16:59
dual_carriageway,17-19,22642,474,527,0.0209,Dual carriageway,17:00–19:59
dual_carriageway,20-23,15604,521,572,0.0334,Dual carriageway,20:00–23:59
motorway,00-06,3490,172,207,0.0493,Motorway,00:00–06:59
motorway,07-09,5948,87,95,0.0146,Motorway,07:00–09:59
motorway,10-13,5813,109,116,0.0188,Motorway,10:00–13:59
motorway,14-16,5693,76,88,0.0133,Motorway,14:00–16:59
motorway,17-19,6182,117,135,0.0189,Motorway,17:00–19:59
motorway,20-23,3817,113,127,0.0296,Motorway,20:00–23:59
other,00-06,3668,123,134,0.0335,Other road,00:00–06:59
other,07-09,6449,126,137,0.0195,Other road,07:00–09:59
other,10-13,13210,243,253,0.0184,Other road,10:00–13:59
other,14-16,9351,155,159,0.0166,Other road,14:00–16:59
other,17-19,9562,192,200,0.0201,Other road,17:00–19:59
other,20-23,7348,171,179,0.0233,Other road,20:00–23:59
urban_street,00-06,33895,480,491,0.0142,Urban street,00:00–06:59
urban_street,07-09,67884,469,474,0.0069,Urban street,07:00–09:59
urban_street,10-13,126085,816,822,0.0065,Urban street,10:00–13:59
urban_street,14-16,100836,485,501,0.0048,Urban street,14:00–16:59
urban_street,17-19,97723,628,640,0.0064,Urban street,17:00–19:59
urban_street,20-23,91854,654,670,0.0071,Urban street,20:00–23:59
