weekday,hour,crashes,fatal_crashes,deaths_30d,fatal_share,weekday_label
1,0,1786,63,70,0.0353,Monday
1,1,1109,31,35,0.028,Monday
1,2,721,37,38,0.0513,Monday
1,3,508,28,31,0.0551,Monday
1,4,546,22,23,0.0403,Monday
1,5,1057,32,35,0.0303,Monday
1,6,2255,57,58,0.0253,Monday
1,7,5487,108,115,0.0197,Monday
1,8,7731,94,97,0.0122,Monday
1,9,7966,113,120,0.0142,Monday
1,10,6831,115,116,0.0168,Monday
1,11,7477,105,111,0.014,Monday
1,12,8258,124,132,0.015,Monday
1,13,9051,111,124,0.0123,Monday
1,14,9694,101,111,0.0104,Monday
1,15,8244,90,99,0.0109,Monday
1,16,7434,101,108,0.0136,Monday
1,17,8137,124,137,0.0152,Monday
1,18,8975,120,129,0.0134,Monday
1,19,8475,120,130,0.0142,Monday
1,20,6852,77,82,0.0112,Monday
1,21,5120,69,75,0.0135,Monday
1,22,3656,62,65,0.017,Monday
1,23,2086,47,50,0.0225,Monday
2,0,1423,39,43,0.0274,Tuesday
2,1,768,25,28,0.0326,Tuesday
2,2,527,23,23,0.0436,Tuesday
2,3,452,26,27,0.0575,Tuesday
2,4,484,23,28,0.0475,Tuesday
2,5,932,30,30,0.0322,Tuesday
2,6,2017,44,44,0.0218,Tuesday
2,7,5166,75,88,0.0145,Tuesday
2,8,7950,91,92,0.0114,Tuesday
2,9,7924,88,98,0.0111,Tuesday
2,10,6792,97,102,0.0143,Tuesday
2,11,7475,116,121,0.0155,Tuesday
2,12,8068,113,119,0.014,Tuesday
2,13,9063,99,107,0.0109,Tuesday
2,14,10047,84,90,0.0084,Tuesday
2,15,8453,84,90,0.0099,Tuesday
2,16,7549,98,108,0.013,Tuesday
2,17,7958,107,118,0.0134,Tuesday
2,18,8922,126,131,0.0141,Tuesday
2,19,8597,104,112,0.0121,Tuesday
2,20,7234,99,106,0.0137,Tuesday
2,21,5243,99,107,0.0189,Tuesday
2,22,3774,67,69,0.0178,Tuesday
2,23,2212,51,53,0.0231,Tuesday
3,0,1460,29,32,0.0199,Wednesday
3,1,866,36,36,0.0416,Wednesday
3,2,591,18,21,0.0305,Wednesday
3,3,503,34,36,0.0676,Wednesday
3,4,518,18,21,0.0347,Wednesday
3,5,1040,30,33,0.0288,Wednesday
3,6,2014,47,57,0.0233,Wednesday
3,7,5217,71,80,0.0136,Wednesday
3,8,7804,80,84,0.0103,Wednesday
3,9,7710,81,90,0.0105,Wednesday
3,10,6576,74,74,0.0113,Wednesday
3,11,7386,109,115,0.0148,Wednesday
3,12,7827,112,118,0.0143,Wednesday
3,13,8958,112,120,0.0125,Wednesday
3,14,9984,112,121,0.0112,Wednesday
3,15,8142,102,113,0.0125,Wednesday
3,16,7367,96,104,0.013,Wednesday
3,17,8041,96,102,0.0119,Wednesday
3,18,8827,125,134,0.0142,Wednesday
3,19,8779,123,126,0.014,Wednesday
3,20,7463,86,89,0.0115,Wednesday
3,21,5289,73,80,0.0138,Wednesday
3,22,3966,67,80,0.0169,Wednesday
3,23,2300,57,61,0.0248,Wednesday
4,0,1607,44,47,0.0274,Thursday
4,1,1008,32,33,0.0317,Thursday
4,2,607,22,26,0.0362,Thursday
4,3,515,21,23,0.0408,Thursday
4,4,520,22,22,0.0423,Thursday
4,5,999,27,29,0.027,Thursday
4,6,2029,59,68,0.0291,Thursday
4,7,5123,80,83,0.0156,Thursday
4,8,7729,93,94,0.012,Thursday
4,9,7887,96,110,0.0122,Thursday
4,10,6838,114,120,0.0167,Thursday
4,11,7475,116,119,0.0155,Thursday
4,12,7805,105,109,0.0135,Thursday
4,13,9123,105,111,0.0115,Thursday
4,14,10035,121,129,0.0121,Thursday
4,15,8359,102,111,0.0122,Thursday
4,16,7531,94,99,0.0125,Thursday
4,17,8226,107,111,0.013,Thursday
4,18,9097,114,118,0.0125,Thursday
4,19,8878,112,119,0.0126,Thursday
4,20,7636,109,114,0.0143,Thursday
4,21,5739,101,107,0.0176,Thursday
4,22,4258,69,78,0.0162,Thursday
4,23,2584,45,48,0.0174,Thursday
5,0,1874,48,50,0.0256,Friday
5,1,1204,36,39,0.0299,Friday
5,2,862,36,37,0.0418,Friday
5,3,705,29,29,0.0411,Friday
5,4,741,35,39,0.0472,Friday
5,5,1233,38,40,0.0308,Friday
5,6,2351,70,74,0.0298,Friday
5,7,4929,69,75,0.014,Friday
5,8,7094,85,94,0.012,Friday
5,9,7198,90,94,0.0125,Friday
5,10,6693,92,93,0.0137,Friday
5,11,7566,116,117,0.0153,Friday
5,12,8446,119,126,0.0141,Friday
