month,zone,crashes,deaths_30d,crashes_per_year,deaths_per_year,month_label
1,interurban,22614,799,2512.7,88.8,Jan
1,urban,46302,368,5144.7,40.9,Jan
2,interurban,21870,794,2430.0,88.2,Feb
2,urban,44770,331,4974.4,36.8,Feb
3,interurban,23110,831,2567.8,92.3,Mar
3,urban,45909,349,5101.0,38.8,Mar
4,interurban,22590,793,2510.0,88.1,Apr
4,urban,43148,283,4794.2,31.4,Apr
5,interurban,25274,832,2808.2,92.4,May
5,urban,49169,339,5463.2,37.7,May
6,interurban,27995,962,3110.6,106.9,Jun
6,urban,51105,325,5678.3,36.1,Jun
7,interurban,31030,1194,3447.8,132.7,Jul
7,urban,50864,395,5651.6,43.9,Jul
8,interurban,29116,1112,3235.1,123.6,Aug
8,urban,41413,352,4601.4,39.1,Aug
9,interurban,27504,994,3056.0,110.4,Sep
9,urban,46810,409,5201.1,45.4,Sep
10,interurban,28865,1015,3207.2,112.8,Oct
10,urban,51088,397,5676.4,44.1,Oct
11,interurban,26278,850,2919.8,94.4,Nov
11,urban,47688,371,5298.7,41.2,Nov
12,interurban,25992,932,2888.0,103.6,Dec
12,urban,44509,414,4945.4,46.0,Dec
