year,zone,crashes,deaths_30d,night_crashes,night_deaths,night_crash_share,night_death_share
2016,interurban,36721,1291,8882,419,0.2419,0.3246
2016,urban,65641,519,14241,162,0.217,0.3121
2017,interurban,37493,1321,8842,411,0.2358,0.3111
2017,urban,64740,509,13794,166,0.2131,0.3261
2018,interurban,37892,1317,9157,423,0.2417,0.3212
2018,urban,64407,489,14379,164,0.2233,0.3354
2019,interurban,37339,1236,8971,428,0.2403,0.3463
2019,urban,66741,519,14592,160,0.2186,0.3083
2020,interurban,26611,975,6507,331,0.2445,0.3395
2020,urban,46348,395,10548,115,0.2276,0.2911
2021,interurban,31780,1116,7419,375,0.2334,0.336
2021,urban,58082,417,12333,134,0.2123,0.3213
2022,interurban,33300,1273,8182,436,0.2457,0.3425
2022,urban,64616,473,14510,152,0.2246,0.3214
2023,interurban,35330,1288,8518,447,0.2411,0.347
2023,urban,65976,518,13918,154,0.211,0.2973
2024,interurban,35772,1291,8851,439,0.2474,0.34
2024,urban,66224,494,14154,134,0.2137,0.2713
