decile,crashes,predicted,observed,outcome
1,20353,0.00141275,0.00122832,fatal
2,20523,0.00222723,0.00238757,fatal
3,20273,0.00281294,0.0035022,fatal
4,20172,0.00363164,0.00391632,fatal
5,20331,0.00509042,0.00624662,fatal
6,20332,0.00895084,0.0100826,fatal
7,20379,0.014528,0.0170273,fatal
8,20278,0.0205,0.0193313,fatal
9,20398,0.0320524,0.0294637,fatal
10,20263,0.0759364,0.0710655,fatal
1,20336,0.0192004,0.0230134,serious
2,20347,0.0324103,0.0386789,serious
3,20308,0.0487129,0.0577605,serious
4,20330,0.0561987,0.0646335,serious
5,20356,0.0647439,0.073541,serious
6,20633,0.0784925,0.079872,serious
7,20058,0.10529,0.103151,serious
8,20323,0.137655,0.1362,serious
9,20282,0.16821,0.157973,serious
10,20329,0.248983,0.240641,serious
