outcome,predictor,predictor_label,level,is_reference,probability,effect
fatal,zone,Zone,street,True,0.00837465,0
fatal,zone,Zone,interurban road,False,0.0256095,0.0172348
fatal,zone,Zone,urban crossing,False,0.0335096,0.0251349
fatal,zone,Zone,urban motorway,False,0.0102944,0.00191974
fatal,road,Road type,urban street,True,0.0101885,0
fatal,road,Road type,conventional,False,0.0198785,0.00969005
fatal,road,Road type,dual carriageway,False,0.0231381,0.0129496
fatal,road,Road type,motorway,False,0.0229803,0.0127918
fatal,road,Road type,other road,False,0.0178077,0.0076192
fatal,crash_type,Crash type,side collision,True,0.00990618,0
fatal,crash_type,Crash type,rear-end or chain collision,False,0.00498261,-0.00492357
fatal,crash_type,Crash type,pedestrian struck,False,0.0563408,0.0464346
fatal,crash_type,Crash type,run-off or overturn,False,0.0201428,0.0102367
fatal,crash_type,Crash type,head-on collision,False,0.0515179,0.0416117
fatal,crash_type,Crash type,fall,False,0.00730149,-0.00260469
fatal,crash_type,Crash type,object or animal struck,False,0.0136271,0.00372096
fatal,crash_type,Crash type,other crash type,False,0.0147187,0.00481252
fatal,junction,Junction,not at a junction,True,0.0175861,0
fatal,junction,Junction,at a junction,False,0.0133747,-0.00421136
fatal,lighting,Lighting,daylight,True,0.0151938,0
fatal,lighting,Lighting,dusk or dawn,False,0.0174942,0.00230046
fatal,lighting,Lighting,"dark, street lighting",False,0.0167251,0.00153133
fatal,lighting,Lighting,"dark, no lighting",False,0.0205793,0.00538551
fatal,lighting,Lighting,not specified,False,0.00570073,-0.00949302
fatal,weather,Weather,clear,True,0.0167065,0
fatal,weather,Weather,cloudy,False,0.0161721,-0.000534352
fatal,weather,Weather,rain,False,0.0144261,-0.00228033
fatal,weather,Weather,hail or snow,False,0.010595,-0.0061115
fatal,weather,Weather,not specified,False,0.0133933,-0.00331316
fatal,surface,Road surface,dry,True,0.0172503,0
fatal,surface,Road surface,wet,False,0.010929,-0.00632127
fatal,surface,Road surface,other surface,False,0.015604,-0.00164625
fatal,surface,Road surface,not specified,False,0.0208468,0.00359649
fatal,alignment,Alignment,straight,True,0.0189936,0
fatal,alignment,Alignment,curve,False,0.0210592,0.00206564
fatal,alignment,Alignment,not specified,False,0.00226292,-0.0167307
fatal,hour_band,Time of day,10-13,True,0.015782,0
fatal,hour_band,Time of day,00-06,False,0.0228484,0.00706637
fatal,hour_band,Time of day,07-09,False,0.0158112,2.92603e-05
fatal,hour_band,Time of day,14-16,False,0.0144539,-0.00132806
fatal,hour_band,Time of day,17-19,False,0.0156769,-0.000105076
fatal,hour_band,Time of day,20-23,False,0.0161447,0.000362685
fatal,weekend,Weekend,weekday,True,0.0155,0
fatal,weekend,Weekend,weekend,False,0.0182311,0.00273104
fatal,vehicles,Vehicles involved,2 vehicles,True,0.0172684,0
fatal,vehicles,Vehicles involved,1 vehicle,False,0.0149659,-0.00230245
fatal,vehicles,Vehicles involved,3 or more vehicles,False,0.0254821,0.00821369
fatal,year,Year,2019,True,0.0159348,0
fatal,year,Year,2016,False,0.0164682,0.000533431
fatal,year,Year,2017,False,0.016155,0.00022017
fatal,year,Year,2018,False,0.016474,0.000539242
fatal,year,Year,2020,False,0.0169773,0.00104248
fatal,year,Year,2021,False,0.0160242,8.9415e-05
fatal,year,Year,2022,False,0.0167773,0.000842538
fatal,year,Year,2023,False,0.0169075,0.000972699
fatal,year,Year,2024,False,0.0158769,-5.78775e-05
serious,zone,Zone,street,True,0.0714057,0
serious,zone,Zone,interurban road,False,0.137534,0.0661287
serious,zone,Zone,urban crossing,False,0.199004,0.127598
serious,zone,Zone,urban motorway,False,0.058523,-0.0128827
serious,road,Road type,urban street,True,0.0855976,0
serious,road,Road type,conventional,False,0.104908,0.0193109
serious,road,Road type,dual carriageway,False,0.104597,0.0189993
serious,road,Road type,motorway,False,0.103373,0.0177751
serious,road,Road type,other road,False,0.106623,0.0210252
serious,crash_type,Crash type,side collision,True,0.086977,0
serious,crash_type,Crash type,rear-end or chain collision,False,0.0409431,-0.046034
serious,crash_type,Crash type,pedestrian struck,False,0.181356,0.0943788
