outcome,predictor,predictor_label,level,is_reference,log_odds,se,odds_ratio,or_low,or_high,p_value,crashes,observed_share,n,events
fatal,zone,Zone,street,True,0,0,1,1,1,,546619,0.00711647,875013,14333
fatal,zone,Zone,interurban road,False,1.159,0.306027,3.18673,1.74926,5.80546,0.000152336,312238,0.0323247,875013,14333
fatal,zone,Zone,urban crossing,False,1.44625,0.291282,4.24715,2.3997,7.51687,6.8662e-07,13407,0.0243157,875013,14333
fatal,zone,Zone,urban motorway or dual carriageway,False,0.24266,0.519347,1.27464,0.460593,3.5274,0.640328,2749,0.00873045,875013,14333
fatal,road,Road type,urban street,True,0,0,1,1,1,,518362,0.0068157,875013,14333
fatal,road,Road type,conventional,False,0.693913,0.197463,2.00153,1.35919,2.94743,0.000441176,158996,0.038718,875013,14333
fatal,road,Road type,dual carriageway,False,0.854563,0.182173,2.35035,1.64462,3.35891,2.7196e-06,117124,0.0252724,875013,14333
fatal,road,Road type,motorway,False,0.847077,0.147802,2.33282,1.74611,3.11666,9.97442e-09,30943,0.021782,875013,14333
fatal,road,Road type,other road,False,0.577975,0.178952,1.78243,1.25513,2.53125,0.00123885,49588,0.0203678,875013,14333
fatal,crash_type,Crash type,side collision,True,0,0,1,1,1,,261000,0.00730651,875013,14333
fatal,crash_type,Crash type,rear-end or chain collision,False,-0.698878,0.0590204,0.497143,0.442836,0.55811,2.38732e-32,178577,0.00663019,875013,14333
fatal,crash_type,Crash type,pedestrian struck,False,1.85268,0.0890371,6.37687,5.35573,7.5927,3.66944e-96,109567,0.0267234,875013,14333
fatal,crash_type,Crash type,run-off or overturn,False,0.734648,0.0978936,2.08475,1.72078,2.52569,6.16379e-14,164742,0.0313278,875013,14333
fatal,crash_type,Crash type,head-on collision,False,1.75073,0.0508529,5.75883,5.21252,6.36239,9.80948e-260,28099,0.072636,875013,14333
fatal,crash_type,Crash type,fall,False,-0.310373,0.094449,0.733174,0.609273,0.882271,0.00101571,63023,0.00487124,875013,14333
fatal,crash_type,Crash type,object or animal struck,False,0.328671,0.149393,1.38912,1.03652,1.86167,0.0278037,27104,0.0154959,875013,14333
fatal,crash_type,Crash type,other crash type,False,0.406516,0.117106,1.50158,1.19362,1.88898,0.000517855,42901,0.00897415,875013,14333
fatal,junction,Junction,not at a junction,True,0,0,1,1,1,,525343,0.0209977,875013,14333
fatal,junction,Junction,at a junction,False,-0.288136,0.0415114,0.74966,0.691082,0.813203,3.88978e-12,349670,0.00944319,875013,14333
fatal,lighting,Lighting,daylight,True,0,0,1,1,1,,624405,0.0140037,875013,14333
fatal,lighting,Lighting,dusk or dawn,False,0.148667,0.0526584,1.16029,1.04651,1.28644,0.00475427,51913,0.0184732,875013,14333
fatal,lighting,Lighting,"dark, street lighting",False,0.101339,0.0897543,1.10665,0.928137,1.3195,0.258869,122678,0.0133113,875013,14333
fatal,lighting,Lighting,"dark, no lighting",False,0.32172,0.141701,1.3795,1.04497,1.82112,0.0231826,75120,0.0398695,875013,14333
fatal,lighting,Lighting,not specified,False,-0.85291,0.616151,0.426173,0.127385,1.42579,0.16628,897,0.00222965,875013,14333
fatal,weather,Weather,clear,True,0,0,1,1,1,,708241,0.016925,875013,14333
fatal,weather,Weather,cloudy,False,-0.0340419,0.0526847,0.966531,0.871707,1.07167,0.518186,46544,0.0231179,875013,14333
fatal,weather,Weather,rain,False,-0.154418,0.0873165,0.856914,0.722127,1.01686,0.0769804,63856,0.0139376,875013,14333
fatal,weather,Weather,hail or snow,False,-0.476836,0.15897,0.620744,0.454566,0.847672,0.00270384,1577,0.0215599,875013,14333
fatal,weather,Weather,unknown,False,-0.174099,0.0979485,0.840213,0.693451,1.01804,0.0754928,22584,0.00938718,875013,14333
fatal,weather,Weather,not specified,False,-0.292604,0.130125,0.746318,0.578311,0.963134,0.0245358,32211,0.00416007,875013,14333
fatal,surface,Road surface,dry,True,0,0,1,1,1,,739583,0.0168933,875013,14333
fatal,surface,Road surface,wet,False,-0.479795,0.0906137,0.618911,0.5182,0.739194,1.19054e-07,94216,0.0137875,875013,14333
fatal,surface,Road surface,other surface,False,-0.106747,0.0702299,0.898753,0.783178,1.03138,0.12852,22116,0.0171821,875013,14333
fatal,surface,Road surface,unknown,False,0.163593,0.168037,1.17774,0.847256,1.63712,0.330277,18551,0.00862487,875013,14333
fatal,surface,Road surface,not specified,False,,,,,,,547,0,875013,14333
fatal,alignment,Alignment,straight,True,0,0,1,1,1,,707617,0.0137617,875013,14333
fatal,alignment,Alignment,curve,False,0.109879,0.0420452,1.11614,1.02785,1.21202,0.00896552,88406,0.0478135,875013,14333
fatal,alignment,Alignment,unknown,False,-2.18164,0.263475,0.112856,0.0673373,0.189146,1.22911e-16,78990,0.00465882,875013,14333
fatal,hour_band,Time of day,10-13,True,0,0,1,1,1,,213424,0.01475,875013,14333
fatal,hour_band,Time of day,00-06,False,0.393957,0.129179,1.48284,1.15116,1.91008,0.00229077,66873,0.0334814,875013,14333
fatal,hour_band,Time of day,07-09,False,0.00201673,0.0359069,1.00202,0.933925,1.07508,0.95521,121148,0.0150229,875013,14333
fatal,hour_band,Time of day,14-16,False,-0.092386,0.0262257,0.911753,0.866072,0.959844,0.000427124,167851,0.0127613,875013,14333
fatal,hour_band,Time of day,17-19,False,-0.00705421,0.035921,0.992971,0.925466,1.0654,0.844312,165519,0.0153578,875013,14333
fatal,hour_band,Time of day,20-23,False,0.0238779,0.0899825,1.02417,0.858572,1.2217,0.790731,140198,0.0174182,875013,14333
fatal,weekend,Weekend,weekday,True,0,0,1,1,1,,636587,0.0143861,875013,14333
fatal,weekend,Weekend,weekend,False,0.172046,0.0208237,1.18773,1.14023,1.23721,1.43255e-16,238426,0.0217048,875013,14333
fatal,vehicles,Vehicles involved,2 vehicles,True,0,0,1,1,1,,472811,0.0110425,875013,14333
fatal,vehicles,Vehicles involved,1 vehicle,False,-0.151458,0.0760207,0.859454,0.740481,0.997543,0.0463359,326522,0.0239065,875013,14333
fatal,vehicles,Vehicles involved,3 or more vehicles,False,0.418325,0.0501105,1.51941,1.37728,1.67622,6.94043e-17,75680,0.0172569,875013,14333
fatal,year,Year,2019,True,0,0,1,1,1,,104080,0.0158628,875013,14333
fatal,year,Year,2016,False,0.035617,0.0455247,1.03626,0.947802,1.13297,0.433999,102362,0.0162463,875013,14333
fatal,year,Year,2017,False,0.0161451,0.0487382,1.01628,0.923689,1.11814,0.740447,102233,0.0163548,875013,14333
fatal,year,Year,2018,False,0.0369465,0.0439829,1.03764,0.951935,1.13106,0.400898,102299,0.0164127,875013,14333
fatal,year,Year,2020,False,0.067199,0.0358719,1.06951,0.996896,1.14741,0.0610268,72959,0.0174756,875013,14333
fatal,year,Year,2021,False,0.00582046,0.0365569,1.00584,0.93629,1.08055,0.873498,89862,0.0159912,875013,14333
fatal,year,Year,2022,False,0.0545954,0.0426239,1.05611,0.971469,1.14813,0.200242,97916,0.0165448,875013,14333
fatal,year,Year,2023,False,0.0627062,0.043202,1.06471,0.978271,1.15879,0.146651,101306,0.0165834,875013,14333
fatal,year,Year,2024,False,-0.00367873,0.046429,0.996328,0.909666,1.09125,0.936847,101996,0.0162359,875013,14333
serious,zone,Zone,street,True,0,0,1,1,1,,546619,0.0742217,875013,82932
serious,zone,Zone,interurban road,False,0.764267,0.22334,2.14742,1.38615,3.32678,0.000621648,312238,0.130141,875013,82932
serious,zone,Zone,urban crossing,False,1.23801,0.336136,3.44875,1.7846,6.66471,0.000230447,13407,0.117625,875013,82932
serious,zone,Zone,urban motorway or dual carriageway,False,-0.319156,0.227573,0.726762,0.465245,1.13528,0.160785,2749,0.0542015,875013,82932
serious,road,Road type,urban street,True,0,0,1,1,1,,518362,0.0730513,875013,82932
serious,road,Road type,conventional,False,0.241467,0.112974,1.27312,1.02024,1.58866,0.0325678,158996,0.15879,875013,82932
serious,road,Road type,dual carriageway,False,0.239347,0.109946,1.27042,1.02414,1.57592,0.0294845,117124,0.0968973,875013,82932
serious,road,Road type,motorway,False,0.226804,0.1363,1.25458,0.960463,1.63877,0.0961126,30943,0.0827974,875013,82932
serious,road,Road type,other road,False,0.26292,0.0864437,1.30072,1.098,1.54087,0.00235385,49588,0.119122,875013,82932
serious,crash_type,Crash type,side collision,True,0,0,1,1,1,,261000,0.0731571,875013,82932
serious,crash_type,Crash type,rear-end or chain collision,False,-0.827562,0.0549505,0.437114,0.392483,0.48682,2.96167e-51,178577,0.0420379,875013,82932
serious,crash_type,Crash type,pedestrian struck,False,0.88534,0.0822557,2.42381,2.06292,2.84783,5.13155e-27,109567,0.155713,875013,82932
serious,crash_type,Crash type,run-off or overturn,False,0.114309,0.115122,1.1211,0.894647,1.40487,0.32074,164742,0.131891,875013,82932
serious,crash_type,Crash type,head-on collision,False,1.11942,0.0386334,3.06307,2.8397,3.30401,1.34419e-184,28099,0.240507,875013,82932
serious,crash_type,Crash type,fall,False,0.00281198,0.0614367,1.00282,0.88905,1.13114,0.963493,63023,0.0836679,875013,82932
serious,crash_type,Crash type,object or animal struck,False,-0.00716008,0.0639859,0.992865,0.875842,1.12553,0.910902,27104,0.096554,875013,82932
serious,crash_type,Crash type,other crash type,False,0.037816,0.149218,1.03854,0.77519,1.39136,0.799938,42901,0.0674576,875013,82932
serious,junction,Junction,not at a junction,True,0,0,1,1,1,,525343,0.104983,875013,82932
serious,junction,Junction,at a junction,False,-0.0936692,0.0266393,0.910584,0.86426,0.95939,0.00043776,349670,0.0794463,875013,82932
serious,lighting,Lighting,daylight,True,0,0,1,1,1,,624405,0.0896085,875013,82932
serious,lighting,Lighting,dusk or dawn,False,0.0571926,0.0329196,1.05886,0.992698,1.12943,0.0823268,51913,0.10246,875013,82932
serious,lighting,Lighting,"dark, street lighting",False,0.0700687,0.0345703,1.07258,1.00231,1.14777,0.0426785,122678,0.0959504,875013,82932
serious,lighting,Lighting,"dark, no lighting",False,0.000985567,0.125737,1.00099,0.78235,1.28072,0.993746,75120,0.13123,875013,82932
serious,lighting,Lighting,not specified,False,-1.79795,0.572823,0.165638,0.053898,0.509036,0.00169669,897,0.0356745,875013,82932
serious,weather,Weather,clear,True,0,0,1,1,1,,708241,0.096751,875013,82932
serious,weather,Weather,cloudy,False,0.00870426,0.0366886,1.00874,0.938752,1.08395,0.812465,46544,0.114451,875013,82932
