year,crashes,deaths_30d,hospitalised_30d,non_hospitalised_30d,population,licence_holders,deaths_per_100k_residents,deaths_per_100k_residents_low,deaths_per_100k_residents_high,crashes_per_100k_residents,crashes_per_100k_residents_low,crashes_per_100k_residents_high,deaths_per_100k_licence,deaths_per_100k_licence_low,deaths_per_100k_licence_high
2002,98433.0,5347.0,26156.0,120761.0,41423520,,12.908125625248651,12.564433648389144,13.258837000262638,237.6258705199365,236.1436882630904,239.1150474214589,,,
2003,99987.0,5399.0,26305.0,124330.0,42196231,,12.794981618144995,12.455935855391894,13.140918084843452,236.95718226587584,235.4906838759284,238.43054715461054,,,
2004,94009.0,4741.0,21805.0,116578.0,42859172,,11.06180959352178,10.749149499855278,11.381255887419536,219.34394812853594,217.9440269351185,220.75062983665015,,,
2005,91187.0,4442.0,21859.0,110950.0,43662613,,10.17346350755508,9.87646201936769,10.477127396952056,208.84457831234243,207.49123229396363,210.20456055667734,,,
2006,99797.0,4104.0,21382.0,122068.0,44360521,,9.251469341399305,8.97056571426133,9.53893188468942,224.96805211102009,223.5744302368373,226.36820548341512,,,
2007,100508.0,3823.0,19295.0,123226.0,45236004,,8.451232783514653,8.185436832768046,8.723461926496187,222.18585001451498,220.8143327099863,223.56377238447342,,,
2008,93161.0,3100.0,16488.0,114459.0,45983169,,6.74159712654863,6.506345926356616,6.9831807785605235,202.5980419052893,201.2991359606796,203.9032491013906,,,
2009,88251.0,2714.0,13923.0,111043.0,46367550,,5.853231408603646,5.635070253030988,6.077675116587272,190.32922809162875,189.07554930290172,191.58915608513044,,,
2010,85503.0,2478.0,11995.0,108350.0,46562483,,5.321881137653248,5.114384740425033,5.535635654928157,183.6306710705269,182.40186355503852,184.8657017414473,,,
2011,83027.0,2060.0,11347.0,104280.0,46736257,,4.407712838450029,4.2194084693041445,4.602256110406004,177.65008438737402,176.44373139812026,178.86263749925942,,,
2012,83115.0,1903.0,10444.0,105446.0,46749303,,4.070648924968999,3.889792301071247,4.257744565949428,177.78874692527503,176.58209055293943,179.00160168616893,,,
2013,89519.0,1680.0,10086.0,114634.0,46581124,,3.6066111242828747,3.436191641758339,3.7832952294035795,192.17870311588015,190.9218246307916,193.4418021029127,,,
2014,91570.0,1688.0,9574.0,117058.0,46433050,26217202,3.6353416370451654,3.463967226001654,3.813000527131631,197.20866925605793,195.9333968498085,198.49018192192705,6.438520784941124,6.135001111228273,6.753170842805017
2015,97756.0,1689.0,9495.0,124960.0,46384379,26350036,3.6413120891410444,3.4697064370769644,3.819208799416577,210.75198613740199,209.43289167816036,212.07732717983927,6.409858415373702,6.107778311806389,6.723012766748156
2016,102362.0,1810.0,9755.0,130635.0,46427100,26514026,3.8985850936198903,3.721029879790958,4.0824238424407975,220.47898748791116,219.1303691127844,221.8338465447888,6.826575488762061,6.515669341654971,7.14848435222109
2017,102233.0,1830.0,9546.0,129616.0,46510461,26649453,3.934598713179816,3.7563738987950477,4.119095531002434,219.80646461448748,218.4611131930708,221.15804553659086,6.8669326908886275,6.55588246863172,7.188929245563238
2018,102299.0,1806.0,8935.0,129674.0,46715383,26853754,3.86596423709081,3.68970207666805,4.048471210695367,218.98354124593178,217.64365840260828,220.3296262614591,6.725316691290163,6.418687147705431,7.0428098496808955
2019,104080.0,1755.0,8613.0,130745.0,47087778,27311015,3.727081791797439,3.5547292034116706,3.9056305077084184,221.0340016468817,219.6931765087776,222.38097985127445,6.425978675636918,6.128820169457839,6.733820119720973
2020,72959.0,1370.0,6681.0,87881.0,47344852,27206036,2.893662018417546,2.742445155111327,3.051047830506603,154.1012315341064,152.98504557985532,155.22353839058496,5.0356472365176606,4.772494603288139,5.309535280342061
2021,89862.0,1533.0,7784.0,110378.0,47346836,27427559,3.237808752415895,3.077738846176952,3.4040443158436835,189.79515336568633,188.55623107554177,191.04019554412255,5.589268808062722,5.3129480607723565,5.876233023835008
2022,97916.0,1746.0,8502.0,119328.0,47781354,27664075,3.654145087642347,3.4847355114290313,3.829660975890715,204.92512623229555,203.64354877118342,206.2127676409978,6.31143459522865,6.018830597732315,6.614585406850572
2023,101306.0,1806.0,9265.0,124266.0,48320520,27914572,3.737542559558548,3.5671355703010508,3.9139869184377107,209.6542007412172,208.36513871827862,210.94925894024422,6.469739174220547,6.17476225920438,6.7751668616702325
2024,101996.0,1785.0,9561.0,125084.0,48821936,28142470,3.6561434188107573,3.488481398694604,3.829781078078441,208.91428803642688,207.63412099359027,210.20038965146702,6.3427268466485,6.051864515952525,6.643955796628962
