province_code,province,is_total,crashes,deaths_30d,hospitalised_30d,population,licence_holders,crashes_per_100k,crashes_per_100k_low,crashes_per_100k_high,deaths_per_100k,deaths_per_100k_low,deaths_per_100k_high,hospitalised_per_100k,hospitalised_per_100k_low,hospitalised_per_100k_high,deaths_per_100k_licence,deaths_per_100k_licence_low,deaths_per_100k_licence_high,deaths_rank,year
49,Zamora,False,227,24,48,165642,105571,137.0425375,119.7935433,156.0777354,14.48907886,9.283426217,21.55860083,28.97815771,21.36620593,38.42083299,22.73351583,14.56579255,33.82566954,1,2024
05,Ávila,False,363,18,71,160043,98224,226.8140437,204.0786892,251.3897433,11.24697737,6.665671589,17.77507312,44.36307742,34.64793153,55.95798573,18.32546017,10.86082911,28.96212765,2,2024
42,Soria,False,117,8,39,89980,55774,130.0288953,107.5374391,155.8362183,8.890864637,3.838444295,17.5185477,43.3429651,30.82108523,59.25126013,14.34360096,6.192548816,28.26261201,3,2024
22,Huesca,False,437,20,88,228808,139562,190.9898255,173.5005175,209.7644277,8.740953114,5.339201245,13.49969315,38.4601937,30.84619999,47.38403432,14.33054843,8.753471278,22.13236977,4,2024
16,Cuenca,False,268,16,56,199071,125262,134.6253347,118.9884019,151.745971,8.037333414,4.594030498,13.05212592,28.13066695,21.2496035,36.5300109,12.77322732,7.30100306,20.74292092,5,2024
40,Segovia,False,345,12,52,157156,98038,219.5270941,196.9708397,243.9583306,7.635725012,3.945490537,13.33807494,33.08814172,24.71180687,43.3906957,12.24015178,6.324665037,21.38108187,6,2024
09,Burgos,False,655,26,98,360525,215725,181.6794952,168.0306417,196.1417124,7.211705152,4.710925238,10.56681897,27.18258096,22.06813316,33.12685952,12.0523815,7.873015745,17.65953139,7,2024
24,León,False,403,32,108,447341,288885,90.0878748,81.50595255,99.32763185,7.153379637,4.892906376,10.09843767,24.14265627,19.80468889,29.14839245,11.07707219,7.576709179,15.63752084,8,2024
25,Lleida,False,1542,32,190,454102,263702,339.5712857,322.832099,356.9533173,7.046874931,4.820057236,9.948084809,41.8408199,36.10268551,48.23180855,12.13490986,8.300269361,17.130872,9,2024
43,Tarragona,False,2381,58,248,867716,496808,274.3985359,263.4863529,285.6465812,6.684214651,5.075604424,8.640897453,28.58077989,25.13405826,32.36815965,11.6745302,8.864960242,15.09203752,10,2024
44,Teruel,False,254,9,45,135487,83510,187.4718608,165.1235764,212.0013287,6.642703728,3.037467135,12.60992084,33.21351864,24.22616841,44.4423011,10.77715244,4.928000356,20.45839235,11,2024
27,Lugo,False,391,21,73,324596,213138,120.4574302,108.8121516,133.0095273,6.469580648,4.004772389,9.889441255,22.48949463,17.62817377,28.27716305,9.852771444,6.099020815,15.06100777,12,2024
34,Palencia,False,151,10,40,158066,99277,95.52971544,80.90053247,112.0398019,6.326471221,3.033788858,11.63460582,25.30588488,18.07889517,34.45943275,10.07282654,4.830311851,18.52428663,13,2024
32,Ourense,False,397,19,74,303942,187719,130.6170256,118.0829243,144.1194455,6.251192662,3.763626338,9.76201169,24.34675037,19.11743564,30.56511555,10.12151141,6.09381105,15.80599384,14,2024
19,Guadalajara,False,410,17,36,282635,167533,145.063421,131.3599622,159.807923,6.014824774,3.503857084,9.630317128,12.73727599,8.921031513,17.63375891,10.14725457,5.911149725,16.24673755,15,2024
18,Granada,False,1319,56,118,941691,567589,140.067177,132.6092939,147.8352662,5.946748987,4.492110276,7.722348202,12.53064965,10.37194992,15.00614583,9.866294097,7.45289253,12.81220355,16,2024
13,Ciudad Real,False,546,28,55,493549,302782,110.6273136,101.5414085,120.3080904,5.673195569,3.769797255,8.199347166,11.14377701,8.395017915,14.50515754,9.247577465,6.144948067,13.36532421,17,2024
30,Murcia,False,3922,84,318,1576891,937796,248.7172544,240.9935389,256.6255051,5.326937626,4.248974072,6.595111252,20.16626387,18.0104656,22.5090633,8.957171922,7.14459112,11.08958833,18,2024
04,Almería,False,1503,40,129,763990,436959,196.7303237,186.9090685,206.9337161,5.235670624,3.740439854,7.129497371,16.88503776,14.09715163,20.06290614,9.154176937,6.539878213,12.4653908,19,2024
23,Jaén,False,959,32,92,617664,380661,155.262408,145.5899984,165.4085063,5.180810279,3.543670395,7.313758302,14.89482955,12.00733486,18.26718621,8.406429868,5.749991807,11.86737073,20,2024
07,Balears (Illes),False,2888,62,307,1241571,705419,232.6085258,224.2015671,241.2500658,4.993673338,3.828620714,6.40166385,24.72673734,22.03783719,27.65322063,8.789102647,6.738554602,11.26723293,21,2024
15,Coruña (A),False,1713,55,237,1130214,716839,151.564217,144.4710016,158.915605,4.866335048,3.665989536,6.334203963,20.96948012,18.38455052,23.81607207,7.672573618,5.780032472,9.986909191,22,2024
12,Castellón/Castelló,False,1066,30,168,619868,373497,171.9720973,161.8022234,182.6137149,4.839740074,3.265352304,6.909029889,27.10254441,23.15911795,31.52494867,8.03219303,5.419286908,11.46645499,23,2024
10,Cáceres,False,517,18,59,387920,244188,133.274902,122.0327999,145.2741522,4.640131986,2.750036291,7.333409019,15.20932151,11.57804022,19.61891662,7.3713696,4.368740798,11.64994196,24,2024
37,Salamanca,False,660,15,66,327337,199013,201.6270694,186.5360026,217.6139212,4.582433394,2.564753185,7.558027009,20.16270694,15.59383608,25.65190689,7.537196063,4.21851142,12.43145868,25,2024
21,Huelva,False,743,24,83,537572,307016,138.2140439,128.4532339,148.5199096,4.464518241,2.860501078,6.642849254,15.43979225,12.29770834,19.1399455,7.817182166,5.008616116,11.63134742,26,2024
50,Zaragoza,False,1599,44,240,992014,546078,161.1872413,153.3826493,169.2860556,4.435421274,3.222783888,5.954346035,24.19320695,21.22896734,27.45552234,8.057456993,5.854560586,10.81675993,27,2024
17,Girona,False,2247,36,196,825989,476658,272.0375211,260.9046241,283.5233184,4.358411553,3.052577869,6.033878719,23.72912956,20.52322482,27.29382265,7.552584872,5.289737593,10.45596098,28,2024
33,Asturias,False,1945,44,216,1010547,605972,192.4700187,184.0104798,201.2181593,4.354077544,3.163679409,5.845145874,21.37456249,18.6189318,24.42313403,7.261061567,5.27589845,9.747636241,29,2024
26,Rioja (La),False,669,14,95,325215,190927,205.7100687,190.4153135,221.9063757,4.304844487,2.35349854,7.222797571,29.21144474,23.6338032,35.70947638,7.332645461,4.008825507,12.30293312,30,2024
45,Toledo,False,918,32,99,747980,447874,122.7305543,114.9186817,130.9336802,4.278189256,2.926278284,6.039526736,13.23564801,10.75728159,16.11392654,7.144866637,4.88708349,10.08641986,31,2024
14,Córdoba,False,812,32,130,773309,474396,105.003304,97.90429513,112.4810129,4.138061241,2.830430825,5.841707788,16.81087379,14.04544092,19.96154752,6.745419439,4.613861903,9.5225196,32,2024
