year,zone,column,road_user,vulnerable,deaths_30d,share
2016,interurban,TOT_PEAT_MU30DF,Pedestrians,True,137,0.1061
2016,urban,TOT_PEAT_MU30DF,Pedestrians,True,252,0.4855
2017,interurban,TOT_PEAT_MU30DF,Pedestrians,True,103,0.078
2017,urban,TOT_PEAT_MU30DF,Pedestrians,True,248,0.4872
2018,interurban,TOT_PEAT_MU30DF,Pedestrians,True,149,0.1131
2018,urban,TOT_PEAT_MU30DF,Pedestrians,True,237,0.4847
2019,interurban,TOT_PEAT_MU30DF,Pedestrians,True,134,0.1084
2019,urban,TOT_PEAT_MU30DF,Pedestrians,True,247,0.4759
2020,interurban,TOT_PEAT_MU30DF,Pedestrians,True,107,0.1097
2020,urban,TOT_PEAT_MU30DF,Pedestrians,True,153,0.3873
2021,interurban,TOT_PEAT_MU30DF,Pedestrians,True,118,0.1057
2021,urban,TOT_PEAT_MU30DF,Pedestrians,True,183,0.4388
2022,interurban,TOT_PEAT_MU30DF,Pedestrians,True,135,0.106
2022,urban,TOT_PEAT_MU30DF,Pedestrians,True,213,0.4503
2023,interurban,TOT_PEAT_MU30DF,Pedestrians,True,130,0.1009
2023,urban,TOT_PEAT_MU30DF,Pedestrians,True,223,0.4305
2024,interurban,TOT_PEAT_MU30DF,Pedestrians,True,113,0.0875
2024,urban,TOT_PEAT_MU30DF,Pedestrians,True,207,0.419
2016,interurban,TOT_BICI_MU30DF,Cyclists,True,40,0.031
2016,urban,TOT_BICI_MU30DF,Cyclists,True,27,0.052
2017,interurban,TOT_BICI_MU30DF,Cyclists,True,49,0.0371
2017,urban,TOT_BICI_MU30DF,Cyclists,True,29,0.057
2018,interurban,TOT_BICI_MU30DF,Cyclists,True,43,0.0326
2018,urban,TOT_BICI_MU30DF,Cyclists,True,15,0.0307
2019,interurban,TOT_BICI_MU30DF,Cyclists,True,48,0.0388
2019,urban,TOT_BICI_MU30DF,Cyclists,True,32,0.0617
2020,interurban,TOT_BICI_MU30DF,Cyclists,True,50,0.0513
2020,urban,TOT_BICI_MU30DF,Cyclists,True,21,0.0532
2021,interurban,TOT_BICI_MU30DF,Cyclists,True,42,0.0376
