year,vehicle_type,deaths_30d,vehicle_type_label
1993,Bicicletas,145,Bicycles
1993,VMP,,Personal mobility vehicles
1993,Ciclomotores,325,Mopeds
1993,Motocicletas,493,Motorcycles
1993,Turismos,2130,Cars
1993,Camiones hasta 3.500 kg y furgonetas,220,Vans and light trucks (≤3.5 t)
1993,Camiones más de 3.500 kg,126,Heavy trucks (>3.5 t)
1993,Autobuses,3,Buses
1993,Otros,31,Other
1994,Bicicletas,151,Bicycles
1994,VMP,,Personal mobility vehicles
1994,Ciclomotores,343,Mopeds
1994,Motocicletas,401,Motorcycles
1994,Turismos,1788,Cars
1994,Camiones hasta 3.500 kg y furgonetas,171,Vans and light trucks (≤3.5 t)
1994,Camiones más de 3.500 kg,156,Heavy trucks (>3.5 t)
1994,Autobuses,4,Buses
1994,Otros,43,Other
1995,Bicicletas,122,Bicycles
1995,VMP,,Personal mobility vehicles
1995,Ciclomotores,343,Mopeds
1995,Motocicletas,401,Motorcycles
1995,Turismos,1874,Cars
1995,Camiones hasta 3.500 kg y furgonetas,196,Vans and light trucks (≤3.5 t)
1995,Camiones más de 3.500 kg,153,Heavy trucks (>3.5 t)
1995,Autobuses,4,Buses
1995,Otros,43,Other
1996,Bicicletas,101,Bicycles
1996,VMP,,Personal mobility vehicles
1996,Ciclomotores,348,Mopeds
1996,Motocicletas,386,Motorcycles
1996,Turismos,1802,Cars
1996,Camiones hasta 3.500 kg y furgonetas,181,Vans and light trucks (≤3.5 t)
1996,Camiones más de 3.500 kg,139,Heavy trucks (>3.5 t)
1996,Autobuses,7,Buses
1996,Otros,53,Other
1997,Bicicletas,116,Bicycles
1997,VMP,,Personal mobility vehicles
1997,Ciclomotores,400,Mopeds
1997,Motocicletas,397,Motorcycles
1997,Turismos,1830,Cars
1997,Camiones hasta 3.500 kg y furgonetas,213,Vans and light trucks (≤3.5 t)
1997,Camiones más de 3.500 kg,150,Heavy trucks (>3.5 t)
1997,Autobuses,6,Buses
1997,Otros,44,Other
1998,Bicicletas,113,Bicycles
1998,VMP,,Personal mobility vehicles
1998,Ciclomotores,443,Mopeds
1998,Motocicletas,363,Motorcycles
1998,Turismos,2050,Cars
1998,Camiones hasta 3.500 kg y furgonetas,224,Vans and light trucks (≤3.5 t)
1998,Camiones más de 3.500 kg,161,Heavy trucks (>3.5 t)
1998,Autobuses,3,Buses
1998,Otros,43,Other
1999,Bicicletas,118,Bicycles
1999,VMP,,Personal mobility vehicles
1999,Ciclomotores,459,Mopeds
1999,Motocicletas,354,Motorcycles
1999,Turismos,1983,Cars
1999,Camiones hasta 3.500 kg y furgonetas,218,Vans and light trucks (≤3.5 t)
1999,Camiones más de 3.500 kg,153,Heavy trucks (>3.5 t)
1999,Autobuses,4,Buses
1999,Otros,47,Other
2000,Bicicletas,83,Bicycles
2000,VMP,,Personal mobility vehicles
