year,zone,deaths_30d,hospitalised_30d,non_hospitalised_30d
1993,all,1104,5028,7868
1993,interurban,607,1089,760
1993,urban,497,3939,7108
1994,all,1008,4856,8117
1994,interurban,521,1010,685
1994,urban,487,3846,7432
1995,all,1000,4738,8187
1995,interurban,520,1021,687
1995,urban,480,3717,7500
1996,all,960,4439,8550
1996,interurban,504,950,653
1996,urban,456,3489,7897
1997,all,967,4239,8538
1997,interurban,466,987,667
1997,urban,501,3252,7871
1998,all,995,3921,8987
1998,interurban,492,926,687
1998,urban,503,2995,8300
1999,all,906,3515,8701
1999,interurban,458,916,815
1999,urban,448,2599,7886
2000,all,898,3288,9312
2000,interurban,451,803,834
2000,urban,447,2485,8478
2001,all,846,2907,9305
2001,interurban,469,751,744
2001,urban,377,2156,8561
2002,all,776,2844,9284
2002,interurban,433,703,712
2002,urban,343,2141,8572
2003,all,787,2767,9048
2003,interurban,424,728,708
2003,urban,363,2039,8340
2004,all,683,2715,8723
2004,interurban,340,579,684
2004,urban,343,2136,8039
2005,all,680,2626,8318
2005,interurban,348,575,628
2005,urban,332,2051,7690
2006,all,613,2459,8694
2006,interurban,317,540,695
2006,urban,296,1919,7999
2007,all,591,2312,8526
2007,interurban,287,529,707
2007,urban,304,1783,7819
2008,all,502,2062,8582
2008,interurban,236,428,660
2008,urban,266,1634,7922
2009,all,470,1953,8464
2009,interurban,201,368,678
2009,urban,269,1585,7786
2010,all,471,1959,8493
2010,interurban,193,373,652
2010,urban,278,1586,7841
2011,all,380,1916,8949
2011,interurban,158,300,549
2011,urban,222,1616,8400
2012,all,376,1916,8859
2012,interurban,144,317,493
2012,urban,232,1599,8366
2013,all,378,2053,9913
2013,interurban,154,278,513
2013,urban,224,1775,9400
2014,all,336,1902,10625
2014,interurban,132,253,534
2014,urban,204,1649,10091
2015,all,367,1999,12156
2015,interurban,120,236,483
2015,urban,247,1763,11673
2016,all,389,1989,12761
2016,interurban,137,270,522
2016,urban,252,1719,12239
2017,all,351,1940,12382
2017,interurban,103,223,592
2017,urban,248,1717,11790
2018,all,386,1833,12215
2018,interurban,149,190,550
2018,urban,237,1643,11665
2019,all,381,1688,12333
2019,interurban,134,205,561
2019,urban,247,1483,11772
2020,all,260,1138,7691
2020,interurban,107,167,382
2020,urban,153,971,7309
2021,all,301,1397,9446
2021,interurban,118,160,467
2021,urban,183,1237,8979
2022,all,348,1623,11105
2022,interurban,135,174,445
2022,urban,213,1449,10660
2023,all,353,1742,11497
2023,interurban,130,173,532
2023,urban,223,1569,10965
2024,all,320,1775,11290
2024,interurban,113,192,521
2024,urban,207,1583,10769
