year,zone,deaths_30d,vulnerable_deaths,vulnerable_share
2016,interurban,1291,437,0.3385
2016,urban,519,416,0.8015
2017,interurban,1321,429,0.3248
2017,urban,509,408,0.8016
2018,interurban,1317,468,0.3554
2018,urban,489,397,0.8119
2019,interurban,1236,500,0.4045
2019,urban,519,427,0.8227
2020,interurban,975,369,0.3785
2020,urban,395,315,0.7975
2021,interurban,1116,433,0.388
2021,urban,417,335,0.8034
2022,interurban,1273,491,0.3857
2022,urban,473,383,0.8097
2023,interurban,1288,523,0.4061
2023,urban,518,415,0.8012
2024,interurban,1291,518,0.4012
2024,urban,494,389,0.7874
