year,group,label,injury_involvement,fatal_involvement,occupant_deaths,fatal_involvement_share_of_vehicles
2020,moped,Mopeds,4714,35,32,0.0175
2020,motorcycle,Motorcycles,20975,349,313,0.1742
2020,car,Cars,73413,1067,544,0.5327
2020,van_light_truck,"Vans and trucks up to 3,500 kg",9370,179,57,0.0894
2020,heavy_truck,"Trucks over 3,500 kg",2925,202,45,0.1008
2020,bus,Buses,1377,17,3,0.0085
2020,pedestrian,Pedestrians,9598,309,0,
2020,bicycle,Bicycles,8117,83,71,0.0414
2020,vmp,Personal mobility vehicles,1319,8,8,0.004
2020,other,Other vehicles,2028,54,35,0.027
2020,unknown,Unknown vehicle,719,9,2,0.0045
2021,moped,Mopeds,5588,44,38,0.0187
2021,motorcycle,Motorcycles,24867,389,357,0.1656
2021,car,Cars,93830,1221,611,0.5198
2021,van_light_truck,"Vans and trucks up to 3,500 kg",10749,208,83,0.0885
2021,heavy_truck,"Trucks over 3,500 kg",3386,241,33,0.1026
2021,bus,Buses,1813,34,5,0.0145
2021,pedestrian,Pedestrians,11754,356,0,
2021,bicycle,Bicycles,8707,74,63,0.0315
2021,vmp,Personal mobility vehicles,2454,11,9,0.0047
2021,other,Other vehicles,3304,63,33,0.0268
2021,unknown,Unknown vehicle,3794,64,0,0.0272
2022,moped,Mopeds,5751,39,36,0.0153
2022,motorcycle,Motorcycles,28120,432,401,0.1697
2022,car,Cars,100240,1299,681,0.5102
2022,van_light_truck,"Vans and trucks up to 3,500 kg",11419,278,98,0.1092
2022,heavy_truck,"Trucks over 3,500 kg",3708,284,51,0.1115
2022,bus,Buses,2304,42,13,0.0165
2022,pedestrian,Pedestrians,13802,394,0,
2022,bicycle,Bicycles,8673,91,81,0.0357
2022,vmp,Personal mobility vehicles,4724,10,8,0.0039
2022,other,Other vehicles,3116,64,29,0.0251
2022,unknown,Unknown vehicle,1221,7,0,0.0027
2023,moped,Mopeds,5279,33,30,0.0121
2023,motorcycle,Motorcycles,29436,486,455,0.178
2023,car,Cars,104060,1481,703,0.5423
2023,van_light_truck,"Vans and trucks up to 3,500 kg",11668,219,63,0.0802
2023,heavy_truck,"Trucks over 3,500 kg",3855,263,42,0.0963
2023,bus,Buses,2690,32,6,0.0117
2023,pedestrian,Pedestrians,14422,424,0,
2023,bicycle,Bicycles,8386,98,90,0.0359
2023,vmp,Personal mobility vehicles,6170,15,10,0.0055
2023,other,Other vehicles,2780,96,53,0.0352
2023,unknown,Unknown vehicle,1108,8,1,0.0029
2024,moped,Mopeds,4833,44,37,0.0164
2024,motorcycle,Motorcycles,29302,470,441,0.1754
2024,car,Cars,104342,1447,698,0.5399
2024,van_light_truck,"Vans and trucks up to 3,500 kg",11635,251,102,0.0937
2024,heavy_truck,"Trucks over 3,500 kg",3946,246,39,0.0918
2024,bus,Buses,2883,39,6,0.0146
2024,pedestrian,Pedestrians,14110,380,0,
2024,bicycle,Bicycles,8572,96,90,0.0358
2024,vmp,Personal mobility vehicles,7568,21,19,0.0078
2024,other,Other vehicles,1923,58,31,0.0216
2024,unknown,Unknown vehicle,1394,8,2,0.003
