group,label,age_band,n_vehicles,mean_km_year,vehicle_km,km_share_within_group
moped,Mopeds,0-4 years,99885,3601.67,359752807.9,0.1911
moped,Mopeds,5-9 years,81314,2792.13,227039258.8,0.1206
moped,Mopeds,10-14 years,137720,1978.39,272463870.8,0.1447
moped,Mopeds,15-19 years,301970,1701.65,513847250.5,0.273
moped,Mopeds,20 years and over,449115,1134.01,509300901.1,0.2706
motorcycle,Motorcycles,0-4 years,835688,4909.39,4102718310,0.4132
motorcycle,Motorcycles,5-9 years,611511,3143.65,1922376555,0.1936
motorcycle,Motorcycles,10-14 years,625421,2385.54,1491966812,0.1503
motorcycle,Motorcycles,15-19 years,772973,2071.94,1601553678,0.1613
motorcycle,Motorcycles,20 years and over,661179,1225.9,810539336.1,0.0816
car,Cars,0-4 years,4807569,21646.36,1.040663693e+11,0.3435
car,Cars,5-9 years,4698671,13981.22,6.569315296e+10,0.2168
car,Cars,10-14 years,4022840,11466.21,4.612672824e+10,0.1523
car,Cars,15-19 years,5718158,9944.52,5.686433659e+10,0.1877
car,Cars,20 years and over,3926575,7690.66,3.019795329e+10,0.0997
van,Vans,0-4 years,495554,28730.64,1.423758357e+10,0.3972
van,Vans,5-9 years,390354,21464.81,8378874443,0.2338
van,Vans,10-14 years,275674,14740.29,4063514705,0.1134
van,Vans,15-19 years,466365,10661.46,4972131793,0.1387
van,Vans,20 years and over,638322,6563.49,4189620064,0.1169
light_truck,"Trucks up to 3,500 kg",0-4 years,243907,25026.97,6104253172,0.2286
light_truck,"Trucks up to 3,500 kg",5-9 years,224330,19052.67,4274085461,0.1601
light_truck,"Trucks up to 3,500 kg",10-14 years,259975,14302.48,3718287238,0.1393
light_truck,"Trucks up to 3,500 kg",15-19 years,698343,11617.04,8112678565,0.3039
light_truck,"Trucks up to 3,500 kg",20 years and over,527570,8509.15,4489172266,0.1681
heavy_truck,"Trucks over 3,500 kg",0-4 years,106230,100920.82,1.072081871e+10,0.4051
heavy_truck,"Trucks over 3,500 kg",5-9 years,98680,82877.81,8178382291,0.309
heavy_truck,"Trucks over 3,500 kg",10-14 years,73780,44924.6,3314536988,0.1252
heavy_truck,"Trucks over 3,500 kg",15-19 years,106913,26655.4,2849808780,0.1077
heavy_truck,"Trucks over 3,500 kg",20 years and over,108212,12975.81,1404138352,0.0531
bus,Buses,0-4 years,13813,68357.04,944215793.5,0.3521
bus,Buses,5-9 years,14242,57620.29,820628170.2,0.306
bus,Buses,10-14 years,12520,39122.96,489819459.2,0.1827
bus,Buses,15-19 years,11607,28553.77,331423608.4,0.1236
bus,Buses,20 years and over,5350,17817.17,95321859.5,0.0355
