year,group,label,series_column,deaths_30d,has_km_denominator
1993,bicycle,Bicycles,Bicicletas,145,False
1993,vmp,Personal mobility vehicles,VMP,,False
1993,moped,Mopeds,Ciclomotores,361,True
1993,motorcycle,Motorcycles,Motocicletas,587,True
1993,car,Cars,Turismos,3609,True
1993,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,359,True
1993,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,137,True
1993,bus,Buses,Autobuses,35,True
1993,other,Other vehicles,Otros,41,False
1994,bicycle,Bicycles,Bicicletas,152,False
1994,vmp,Personal mobility vehicles,VMP,,False
1994,moped,Mopeds,Ciclomotores,380,True
1994,motorcycle,Motorcycles,Motocicletas,480,True
1994,car,Cars,Turismos,3057,True
1994,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,280,True
1994,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,182,True
1994,bus,Buses,Autobuses,25,True
1994,other,Other vehicles,Otros,51,False
1995,bicycle,Bicycles,Bicicletas,123,False
1995,vmp,Personal mobility vehicles,VMP,,False
1995,moped,Mopeds,Ciclomotores,386,True
1995,motorcycle,Motorcycles,Motocicletas,479,True
1995,car,Cars,Turismos,3207,True
1995,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,299,True
1995,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,174,True
1995,bus,Buses,Autobuses,35,True
1995,other,Other vehicles,Otros,48,False
1996,bicycle,Bicycles,Bicicletas,102,False
1996,vmp,Personal mobility vehicles,VMP,,False
1996,moped,Mopeds,Ciclomotores,388,True
1996,motorcycle,Motorcycles,Motocicletas,457,True
1996,car,Cars,Turismos,3006,True
1996,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,295,True
1996,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,156,True
1996,bus,Buses,Autobuses,57,True
1996,other,Other vehicles,Otros,62,False
1997,bicycle,Bicycles,Bicicletas,116,False
1997,vmp,Personal mobility vehicles,VMP,,False
1997,moped,Mopeds,Ciclomotores,440,True
1997,motorcycle,Motorcycles,Motocicletas,460,True
1997,car,Cars,Turismos,3000,True
1997,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,331,True
1997,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,184,True
1997,bus,Buses,Autobuses,58,True
1997,other,Other vehicles,Otros,48,False
1998,bicycle,Bicycles,Bicicletas,114,False
1998,vmp,Personal mobility vehicles,VMP,,False
1998,moped,Mopeds,Ciclomotores,507,True
1998,motorcycle,Motorcycles,Motocicletas,424,True
1998,car,Cars,Turismos,3303,True
1998,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,335,True
1998,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,181,True
1998,bus,Buses,Autobuses,47,True
1998,other,Other vehicles,Otros,51,False
1999,bicycle,Bicycles,Bicicletas,120,False
1999,vmp,Personal mobility vehicles,VMP,,False
1999,moped,Mopeds,Ciclomotores,515,True
1999,motorcycle,Motorcycles,Motocicletas,388,True
1999,car,Cars,Turismos,3196,True
1999,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,330,True
1999,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,175,True
1999,bus,Buses,Autobuses,41,True
1999,other,Other vehicles,Otros,67,False
2000,bicycle,Bicycles,Bicicletas,84,False
2000,vmp,Personal mobility vehicles,VMP,,False
2000,moped,Mopeds,Ciclomotores,474,True
2000,motorcycle,Motorcycles,Motocicletas,392,True
2000,car,Cars,Turismos,3294,True
2000,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,321,True
2000,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,195,True
2000,bus,Buses,Autobuses,44,True
2000,other,Other vehicles,Otros,74,False
2001,bicycle,Bicycles,Bicicletas,100,False
