year,group,label,zone,measure,measure_label,count,n_vehicles,vehicle_km,per_billion_km,per_billion_km_low,per_billion_km_high,per_100k_vehicles,per_100k_vehicles_low,per_100k_vehicles_high,denominator
2022,moped,Mopeds,all,injury_involvement,Vehicles involved in injury crashes,5751,1070004,1882404089,3055.135735,2976.680135,3135.135745,537.4746263,523.6723281,551.5486247,"national fleet and vehicle-km, 2022"
2022,motorcycle,Motorcycles,all,injury_involvement,Vehicles involved in injury crashes,28120,3506772,9929154692,2832.063844,2799.058158,2865.361613,801.8770539,792.5317483,811.3050607,"national fleet and vehicle-km, 2022"
2022,car,Cars,all,injury_involvement,Vehicles involved in injury crashes,100240,23173813,3.029485404e+11,330.8812773,328.8360764,332.9360423,432.5572145,429.8835472,435.2433846,"national fleet and vehicle-km, 2022"
2022,van_light_truck,"Vans and trucks up to 3,500 kg",all,injury_involvement,Vehicles involved in injury crashes,11419,4220394,6.254020128e+10,182.5865566,179.2528217,185.966717,270.5671556,265.6270375,275.5760698,"national fleet and vehicle-km, 2022"
2022,heavy_truck,"Trucks over 3,500 kg",all,injury_involvement,Vehicles involved in injury crashes,3708,493815,2.646768512e+10,140.0953647,135.6220301,144.6786584,750.8884906,726.9121405,775.4542035,"national fleet and vehicle-km, 2022"
2022,bus,Buses,all,injury_involvement,Vehicles involved in injury crashes,2304,57532,2681408891,859.2497802,824.5189467,895.0676025,4004.727804,3842.856905,4171.66486,"national fleet and vehicle-km, 2022"
2022,moped,Mopeds,interurban,injury_involvement,Vehicles involved in injury crashes,699,1070004,1882404089,371.33366,344.3122769,399.9121841,65.32685859,60.57312291,70.35453426,"national fleet and vehicle-km, 2022"
2022,motorcycle,Motorcycles,interurban,injury_involvement,Vehicles involved in injury crashes,6881,3506772,9929154692,693.0096482,676.7309905,709.5809895,196.2203417,191.6111652,200.9123893,"national fleet and vehicle-km, 2022"
2022,car,Cars,interurban,injury_involvement,Vehicles involved in injury crashes,39405,23173813,3.029485404e+11,130.0715955,128.7904591,131.362302,170.0410718,168.3662572,171.7283973,"national fleet and vehicle-km, 2022"
2022,van_light_truck,"Vans and trucks up to 3,500 kg",interurban,injury_involvement,Vehicles involved in injury crashes,4399,4220394,6.254020128e+10,70.33875667,68.27536712,72.4486611,104.2319746,101.1743264,107.3585511,"national fleet and vehicle-km, 2022"
2022,heavy_truck,"Trucks over 3,500 kg",interurban,injury_involvement,Vehicles involved in injury crashes,2850,493815,2.646768512e+10,107.6784761,103.7611296,111.7058668,577.1392121,556.1428684,598.7253745,"national fleet and vehicle-km, 2022"
2022,bus,Buses,interurban,injury_involvement,Vehicles involved in injury crashes,256,57532,2681408891,95.4721978,84.13420376,107.9122185,444.969756,392.1264722,502.9492842,"national fleet and vehicle-km, 2022"
2022,moped,Mopeds,urban,injury_involvement,Vehicles involved in injury crashes,5052,1070004,1882404089,2683.802075,2610.300519,2758.848499,472.1477677,459.2170095,485.3503067,"national fleet and vehicle-km, 2022"
2022,motorcycle,Motorcycles,urban,injury_involvement,Vehicles involved in injury crashes,21239,3506772,9929154692,2139.054195,2110.382157,2168.018406,605.6567122,597.5384455,613.8577053,"national fleet and vehicle-km, 2022"
2022,car,Cars,urban,injury_involvement,Vehicles involved in injury crashes,60835,23173813,3.029485404e+11,200.8096818,199.2170932,202.4118374,262.5161427,260.4341702,264.6106219,"national fleet and vehicle-km, 2022"
2022,van_light_truck,"Vans and trucks up to 3,500 kg",urban,injury_involvement,Vehicles involved in injury crashes,7020,4220394,6.254020128e+10,112.2477999,109.6372031,114.9048626,166.335181,162.46665,170.2725677,"national fleet and vehicle-km, 2022"
2022,heavy_truck,"Trucks over 3,500 kg",urban,injury_involvement,Vehicles involved in injury crashes,858,493815,2.646768512e+10,32.4168886,30.28381158,34.66057585,173.7492786,162.3163309,185.7750793,"national fleet and vehicle-km, 2022"
2022,bus,Buses,urban,injury_involvement,Vehicles involved in injury crashes,2048,57532,2681408891,763.7775824,731.0533955,797.5892171,3559.758048,3407.239579,3717.344813,"national fleet and vehicle-km, 2022"
2022,moped,Mopeds,all,fatal_involvement,Vehicles involved in fatal crashes,39,1070004,1882404089,20.71818704,14.73265631,28.32244372,3.644846187,2.591841945,4.982624725,"national fleet and vehicle-km, 2022"
2022,motorcycle,Motorcycles,all,fatal_involvement,Vehicles involved in fatal crashes,432,3506772,9929154692,43.50823544,39.50166863,47.81101299,12.3190216,11.18459308,13.53731991,"national fleet and vehicle-km, 2022"
2022,car,Cars,all,fatal_involvement,Vehicles involved in fatal crashes,1299,23173813,3.029485404e+11,4.287856936,4.057822982,4.527534071,5.6054651,5.304744409,5.918792209,"national fleet and vehicle-km, 2022"
