group,label,yearbook_unit_types,km_table_type,microdata_column,series_column,has_km_denominator,note
moped,Mopeds,Ciclomotor,Ciclomotor,TOT_CICLO_MU30DF,Ciclomotores,True,
motorcycle,Motorcycles,Motocicleta,Motocicleta,TOT_MOTO_MU30DF,Motocicletas,True,
car,Cars,Turismo sin remolque; Turismo con remolque; Turismo de SP hasta 9 plazas,Turismo,TOT_TUR_MU30DF,Turismos,True,
van,Vans,Furgoneta,Furgoneta,TOT_FURG_MU30DF,Camiones hasta 3.500 kg y furgonetas,True,"one rate group with trucks up to 3,500 kg"
light_truck,"Trucks up to 3,500 kg",Camión <=3.500 kg sin remolque; Camión <=3.500 kg con remolque,Camión hasta 3.500Kg,TOT_CAM_MENOS3500_MU30DF,Camiones hasta 3.500 kg y furgonetas,True,one rate group with vans
heavy_truck,"Trucks over 3,500 kg",Camión >3.500 kg sin remolque; Camión >3.500 kg con remolque; Tractocamión (cabeza tractora); Vehículo articulado,Camión más de 3.500Kg,TOT_CAM_MAS3500_MU30DF,Camiones más de 3.500 kg,True,"the kilometre table's category is the union of the methodology note's 'camiones de más de 3.500 kg' (272,157 vehicles, 6.9 bn km) and 'tractores industriales' (222,594 vehicles, 19.7 bn km, the note's validation table; the estimation file places 936 of these vehicles in the light stratum instead, so the fleet total is unchanged), so tractor units and articulated vehicles belong in the numerator"
bus,Buses,Autobús (no escolar); Autobús escolar,Autobús,TOT_BUS_MU30DF,Autobuses,True,
pedestrian,Pedestrians,Peatón,,TOT_PEAT_MU30DF,,False,
bicycle,Bicycles,Bicicleta,,TOT_BICI_MU30DF,Bicicletas,False,
vmp,Personal mobility vehicles,VMP,,TOT_VMP_MU30DF,VMP,False,
other,Other vehicles,Maquinaria obras y agrícola y tractores agrícolas; Cuadriciclo; Tren/metro/tranvía; Otro vehículo,,TOT_OTRO_MU30DF,Otros,False,"agricultural-use vehicles and special vehicles are excluded from the ITV database (methodology note, p. 7), so the machinery row has no kilometre denominator and does not enter the heavy-truck rate; quadricycle involvement also sits here while the kilometre table counts light quadricycles (L6e) as mopeds and heavy ones (L7e) as motorcycles, so those two denominators include vehicles whose crashes are counted in this row"
unknown,Unknown vehicle,Se desconoce,,TOT_SINESPECIF_MU30DF,,False,
