denominator,denominator_label,band,band_label,driver_deaths,exposure,ratio,low,high
residents,Per resident,35-54,35–54,170,14643180,1,0.8084892128,1.236874882
residents,Per resident,55-64,55–64,76,6937044,0.9436818944,0.7200644709,1.236744144
residents,Per resident,65-74,65–74,59,5068556,1.002661275,0.7456531495,1.348253721
residents,Per resident,75+,75 and over,71,4981669,1.227636974,0.9306613071,1.619378102
licence_holders,Per licence holder,35-54,35–54,170,11806498,1,0.8084892128,1.236874882
licence_holders,Per licence holder,55-64,55–64,76,5428294,0.9723495275,0.7419389439,1.274314566
licence_holders,Per licence holder,65-74,65–74,59,3394739,1.207029261,0.8976363124,1.623062276
licence_holders,Per licence holder,75+,75 and over,71,1885997,2.614505307,1.982034573,3.448798569
drivers_involved,Per driver involved,35-54,35–54,170,41902,1,0.8084892128,1.236874882
drivers_involved,Per driver involved,55-64,55–64,76,14234,1.316050219,1.004195387,1.724752178
drivers_involved,Per driver involved,65-74,65–74,59,7018,2.072165692,1.541015807,2.786389753
drivers_involved,Per driver involved,75+,75 and over,71,4456,3.927344493,2.977286963,5.180567059
kilometres,Per kilometre driven,35-54,35–54,170,1.20302993e+11,1,0.8084892128,1.236874882
kilometres,Per kilometre driven,55-64,55–64,76,5.658595739e+10,0.9504569152,0.7252340645,1.245623161
kilometres,Per kilometre driven,65-74,65–74,59,2.839608107e+10,1.470351317,1.093462087,1.977144907
kilometres,Per kilometre driven,75+,75 and over,71,1.2587693e+10,3.991532935,3.025947683,5.265238147
