band,residents,year,licence_holders,driver_deaths,driver_hospitalised,drivers_involved,licence_share,travel_share,travel_share_low,travel_share_high,esra_national_share,travel_capped,travel_weighted_drivers,travel_weighted_drivers_low,travel_weighted_drivers_high,deaths_per_million_residents,deaths_per_million_residents_low,deaths_per_million_residents_high,deaths_per_100k_licence,deaths_per_100k_licence_low,deaths_per_100k_licence_high,deaths_per_100k_travel,deaths_per_100k_travel_low,deaths_per_100k_travel_high,involved_per_10k_licence,involved_per_10k_licence_low,involved_per_10k_licence_high,deaths_per_1k_involved,deaths_per_1k_involved_low,deaths_per_1k_involved_high,sex
15-24,4490039,2014,1900337,87.0,836.0,19618.0,0.42323396300121224,0.42323396300121224,0.42323396300121224,0.42323396300121224,0.802,True,1900337.0,1900337.0,1900337.0,19.37622368090789,15.519560862571506,23.900500325837662,4.578135351782342,3.666898741424269,5.647113042714205,4.578135351782342,3.6668987414242684,5.647113042714205,103.23432107042068,101.79472088680147,104.68918852263194,4.434702823937201,3.5520151664705732,5.470189549522063,total
25-34,6076026,2014,4758251,162.0,1200.0,36423.0,0.7831189333291201,0.7831189333291201,0.7831189333291201,0.7831189333291201,0.802,True,4758251.0,4758251.0,4758251.0,26.662163723460036,22.71451054606633,31.098686341430646,3.404612324990842,2.9005186286972506,3.9711319721548417,3.404612324990842,2.9005186286972506,3.971131972154842,76.5470337735441,75.76290665538329,77.33725438487609,4.447739065974796,3.789197942376334,5.1878325996314825,total
35-44,7872615,2014,6600308,221.0,1389.0,38773.0,0.8383882610797048,0.8383882610797048,0.8383882610797048,0.8383882610797048,0.802,True,6600308.0,6600308.0,6600308.0,28.071993867349033,24.492680242058594,32.02723878343577,3.348328593150501,2.921400665905805,3.820096281189577,3.348328593150501,2.921400665905805,3.820096281189577,58.744228299649045,58.160943768209165,59.3319054733469,5.6998426740257395,4.973085442545949,6.502930401440645,total
45-54,7055271,2014,5588530,219.0,1239.0,28362.0,0.7921070643494772,0.7921070643494772,0.7921070643494772,0.7921070643494772,0.802,True,5588530.0,5588530.0,5588530.0,31.040621969021462,27.065385961996896,35.435382096002236,3.918740706411167,3.4168848101644578,4.473559660158284,3.918740706411167,3.4168848101644578,4.473559660158283,50.75037621700161,50.16143819322281,51.34450365564014,7.721599323037867,6.732728040387976,8.81483053648698,total
55-64,5419329,2014,3820719,134.0,693.0,15675.0,0.7050169864202745,0.6296737021416818,0.6083184888182118,0.6490267102622485,0.802,False,3412408.9545537783,3296678.027688711,3517289.2726988005,24.726308367696443,20.717187113107023,29.284915656746463,3.507193279589522,2.9385372994058754,4.1537886633683385,3.9268446948945024,3.1920392158800293,4.814076210906995,41.0263094459446,40.38653809480944,41.67367655183893,8.548644338118022,7.162567969409069,10.124694907889003,total
65-74,4211662,2014,2340698,111.0,353.0,7564.0,0.555765871050431,0.19939157936296703,0.19262926787097195,0.2055198754017872,0.802,False,839769.9379229924,811289.3675799934,865580.2494744419,26.355391292083745,21.681067443251727,31.738689474724158,4.742175197312938,3.9011153027934595,5.710802179114763,13.217905879619472,10.549377475470768,16.476566528811993,32.31514702024781,31.59095528156167,33.05175196010738,14.674775251189846,12.072095170568543,17.672214752841843,total
75+,4276119,2014,1206810,102.0,195.0,3676.0,0.28222086429306575,0.19939157936296703,0.19262926787097195,0.2055198754017872,0.802,False,852622.1209539912,823705.6722991527,878827.4440832149,23.853405389326163,19.449601424513094,28.95640664105202,8.452034703060134,6.891624215393269,10.260193452948577,11.963095666093336,9.463610945894901,15.032194723622045,30.460470165146127,29.483657775612237,31.46139928746384,27.747551686615886,22.624812348690835,33.68363455101434,total
15-24,4463731,2015,1826012,98.0,798.0,21200.0,0.4090775183361184,0.4090775183361184,0.4090775183361184,0.4090775183361184,0.802,True,1826012.0,1826012.0,1826012.0,21.9547280066832,17.823909432344298,26.75578127202004,5.366886964598261,4.357098259723794,6.5405161791453335,5.366886964598261,4.357098259723793,6.5405161791453335,116.10000372396237,114.54236482030788,117.67352987232535,4.622641509433962,3.7528838242616813,5.6335193534497785,total
25-34,5813407,2015,4548290,201.0,1282.0,38365.0,0.7823794205360127,0.7823794205360127,0.7823794205360127,0.7823794205360127,0.802,True,4548290.0,4548290.0,4548290.0,34.57524993519291,29.96033916070138,39.69979224899713,4.419243276044404,3.8293874269053987,5.074237793959172,4.419243276044404,3.8293874269053982,5.074237793959172,84.35038223156396,83.50841781885458,85.19872114004983,5.239150267170598,4.539857823516109,6.015666627365193,total
35-44,7820774,2015,6548759,209.0,1346.0,41444.0,0.8373543334713418,0.8373543334713418,0.8373543334713418,0.8373543334713418,0.802,True,6548759.0,6548759.0,6548759.0,26.72369768005059,23.223256335723956,30.60279576644618,3.191444363733648,2.7734085090895113,3.65470082892854,3.191444363733648,2.7734085090895113,3.6547008289285405,63.28527282802742,62.67743622566947,63.897536401001716,5.042949522246888,4.382391645250584,5.774962587045951,total
