day_type,sex,band,population,all_modes,car_or_motorcycle,trips_per_resident,car_trips_per_resident,car_share_of_trips
weekday,female,0-14,3132650,8464.588457970995,2384.6702105333884,2.7020536791441736,0.7612309739464633,0.2817231129869964
weekday,female,15-29,4325639,13250.82399357002,4917.188287479135,3.0633217412664395,1.1367541968895545,0.37108547286306176
weekday,female,30-39,3694617,12383.576735406712,5607.45464099621,3.351789031287062,1.5177363826876265,0.45281381629941875
weekday,female,40-49,3307539,9869.080094637411,4150.572139865096,2.9838136737427465,1.2548822976433824,0.4205632237315009
weekday,female,50-64,3749200,8972.270693901013,2211.838786250514,2.3931160497975603,0.5899495322336803,0.24651939979408255
weekday,female,65+,4250165,7042.302511709093,908.6983891381416,1.6569480271257924,0.21380308508920043,0.129034273609699
weekday,male,0-14,3312124,9035.457917714077,2382.953796993207,2.727995062296604,0.7194639442826437,0.26373359476572955
weekday,male,15-29,4580150,14734.346185015751,7686.341312095677,3.2170007936455685,1.678185498749097,0.5216615121960676
weekday,male,30-39,3934269,12096.356713684867,7969.215526317877,3.074613533971588,2.025589893908596,0.658811220183523
weekday,male,40-49,3354220,10399.080875881797,7008.390439893804,3.1002977967699783,2.089424796195182,0.673943257441925
weekday,male,50-64,3607789,10084.89192692158,5431.646893700504,2.795310902860888,1.5055334149808937,0.5385924740750809
weekday,male,65+,3112157,7032.018385333002,1513.4314234433189,2.2595320176112588,0.48629661789020245,0.2152200606585374
weekday,total,0-14,6444774,17500.046375685197,4767.624007526594,2.715385578405883,0.73976589520852,0.27243493560970194
weekday,total,15-29,8905790,27985.1701785858,12603.529599574767,3.1423568463421883,1.4152062421834297,0.45036458664164086
weekday,total,30-39,7628885,24479.933449091495,13576.670167314134,3.2088481408608853,1.7796401659369796,0.5546040472515253
weekday,total,40-49,6661759,20268.160970519013,11158.962579758956,3.0424638553449643,1.6750774952619805,0.5505661118436048
weekday,total,50-64,7356989,19057.162620822495,7643.485679951031,2.5903481194307205,1.0389421106856394,0.40108204101692985
weekday,total,65+,7362322,14074.320897041893,2422.1298125814646,1.9116687502994154,0.3289899317880235,0.17209567909529064
weekend,female,0-14,3132650,6237.966839257433,2824.8981845694325,1.9912747479793251,0.9017599108005786,0.4528555949979542
weekend,female,15-29,4325639,10460.058628286803,4821.571281273214,2.418153393819226,1.1146494844514794,0.4609506937403192
weekend,female,30-39,3694617,7695.601632102856,4248.250745497347,2.0829227040591367,1.1498487517102172,0.5520362082901237
weekend,female,40-49,3307539,6508.885598823376,3006.708162127638,1.9678938324909778,0.9090469264693894,0.4619390088329662
weekend,female,50-64,3749200,7019.5741526623515,2575.54790020125,1.8722858616937885,0.6869593247096046,0.366909422735339
weekend,female,65+,4250165,5865.786246296399,1188.1209632766136,1.380131417555883,0.27954702071016385,0.20255101590631291
weekend,male,0-14,3312124,6560.742382834017,3160.069789384126,1.9808263165370672,0.9540916310452526,0.48166344675449424
weekend,male,15-29,4580150,11659.748289586787,6108.3459552482955,2.5457131948924787,1.333656311528726,0.523883175137117
weekend,male,30-39,3934269,9282.095324108472,5340.9881593132295,2.3592935114778557,1.35755540846679,0.5754075963259105
weekend,male,40-49,3354220,7514.70745210266,4317.593881072337,2.240374051822081,1.2872124908540101,0.5745524903786173
weekend,male,50-64,3607789,8223.75322576244,3973.329851074074,2.279444065537769,1.1013199084187224,0.4831528551497481
weekend,male,65+,3112157,5907.472365349919,1514.4376673272113,1.898192271582031,0.486619944728756,0.25635967020516165
weekend,total,0-14,6444774,12798.70922209131,5984.967973953569,1.9859050483525582,0.928654437526214,0.4676227789926791
weekend,total,15-29,8905790,22119.806917873826,10929.917236521444,2.483755727214972,1.2272821654812704,0.4941235372036437
weekend,total,30-39,7628885,16977.696956211326,9589.238904810507,2.225449322700673,1.2569646684686566,0.5648138807956673
weekend,total,40-49,6661759,14023.593050925969,7324.3020432000285,2.1050886186254965,1.0994546700353507,0.5222842688462362
weekend,total,50-64,7356989,15243.327378424687,6548.8777512753095,2.0719519056538873,0.8901573389976944,0.429622587555559
weekend,total,65+,7362322,11773.258611646303,2702.5586306038203,1.599123022824362,0.36707965647302854,0.22955060444611355
