band,residents,year,deaths_30d,deaths_per_million,deaths_per_million_low,deaths_per_million_high
15-24,5602114,2002,1112.0,198.49649614413417,186.99976242853535,210.51509836041194
25-34,7051223,2002,1174.0,166.49593978236115,157.10700504024814,176.2993823502759
35-44,6472920,2002,835.0,128.99896800825593,120.39654177359694,138.0537480308052
45-54,5154869,2002,609.0,118.14073257729731,108.94285811910203,127.90773548143213
55-64,4120385,2002,493.0,119.64901338103115,109.31903050648076,130.69207314948486
65+,7026594,2002,830.0,118.122663697376,110.2222532786749,126.43979818396095
15-24,5488623,2003,1167.0,212.6216356998832,200.5962241728583,225.17958007429945
25-34,7251347,2003,1220.0,168.24460338196474,158.93508070501926,177.9571197821667
35-44,6664496,2003,808.0,121.23947557324665,113.02287112000423,129.89551401667924
45-54,5298500,2003,616.0,116.25931867509674,107.25845839371141,125.81383735572987
55-64,4263689,2003,460.0,107.88779387990071,98.25258707689002,118.21247068559903
65+,7119246,2003,811.0,113.9165580175204,106.21028273148728,122.03418907176815
15-24,5355654,2004,968.0,180.74356558508074,169.53538077916184,192.49802498865648
25-34,7404073,2004,1089.0,147.0812078703168,138.47425449512673,156.0830618398219
35-44,6836977,2004,725.0,106.04101783580667,98.46161517541869,114.04904641208422
45-54,5444088,2004,556.0,102.12913531155264,93.81535555448119,110.9821439249786
55-64,4460929,2004,421.0,94.37496091060852,85.57416387082692,103.83520029281036
65+,7154261,2004,738.0,103.15530842388893,95.84619609119333,110.87399304768165
15-24,5275475,2005,873.0,165.48272904335627,154.68610387727824,176.83424473471484
25-34,7582450,2005,995.0,131.22407665068678,123.19608762771192,139.63785542076837
35-44,7034430,2005,700.0,99.5105502506955,92.27439614503965,107.16338951803662
45-54,5640774,2005,537.0,95.19970131758515,87.3170398391327,103.60291704704412
55-64,4587060,2005,429.0,93.52395652117042,84.88223411083221,102.80689238565792
65+,7230329,2005,713.0,98.61238679457048,91.50599094212451,106.12413172007878
15-24,5173165,2006,741.0,143.2391968939711,133.11011326758032,153.93468711405507
25-34,7654451,2006,955.0,124.764009855181,116.97556524835329,132.93469864509945
35-44,7208446,2006,717.0,99.46665342294304,92.31834509193148,107.02152729904549
45-54,5841250,2006,494.0,84.57093943933234,77.27667402521634,92.36819774805532
55-64,4676111,2006,368.0,78.6978752215249,70.86172648756626,87.1638204865079
65+,7362322,2006,667.0,90.59641781492306,83.85058474335891,97.74049991051754
15-24,5146310,2007,690.0,134.07664909420535,124.25787733620258,144.4650342324787
25-34,7751396,2007,897.0,115.72109075578128,108.27107501822958,123.54869896746132
35-44,7428286,2007,646.0,86.96487991980922,80.38709435742709,93.93745942036071
45-54,6043189,2007,472.0,78.10445776228411,71.21630703705297,85.4789591926429
55-64,4819253,2007,367.0,76.15288095478698,68.56009224483593,84.35677411133132
65+,7451434,2007,602.0,80.78981844300037,74.4641877885122,87.50920015379944
15-24,5103366,2008,561.0,109.9274478843963,101.01797177975293,119.41211809981911
25-34,7761968,2008,644.0,82.96864918793791,76.68358221598045,89.63154577845056
35-44,7618701,2008,512.0,67.20305731908891,61.50729556100675,73.28436192890666
45-54,6235842,2008,403.0,64.62639688433414,58.46997777983606,71.25472736227519
55-64,4928085,2008,292.0,59.25222474855852,52.6502884144643,66.45300564697743
65+,7577395,2008,551.0,72.71628310257022,66.77061906089901,79.04938835610334
15-24,4988874,2009,434.0,86.99357811001039,79.00058613864594,95.57608491278577
25-34,7613943,2009,572.0,75.12533256421804,69.09412122327404,81.54202502995648
35-44,7731160,2009,490.0,63.379880897562586,57.8915876615443,69.24823151410205
45-54,6429090,2009,368.0,57.23982709839184,51.540311102737704,63.39741701842484
55-64,4993836,2009,256.0,51.26319726959395,45.17533254889242,57.94278831141911
65+,7727116,2009,501.0,64.83660915663748,59.28276025187178,70.77065195136962
15-24,4854746,2010,363.0,74.77219199521458,67.27718743667754,82.8738901991224
25-34,7368202,2010,453.0,61.4803991530091,55.94846659915379,67.41134796529751
35-44,7814937,2010,442.0,56.558357412222264,51.40787332841778,62.08512011677702
45-54,6612959,2010,346.0,52.321509932240616,46.95307467442125,58.13552059074892
55-64,5054589,2010,248.0,49.0643255069799,43.147374595467014,55.56608068501749
65+,7892789,2010,529.0,67.02320307815145,61.432698409338116,72.98577436732789
15-24,4747046,2011,263.0,55.40287580950343,48.9087771151796,62.51929400371502
25-34,7085540,2011,333.0,46.99712371957536,42.08435483194516,52.32589104418532
35-44,7900715,2011,378.0,47.843771101729395,43.141634345454406,52.91857399012617
45-54,6773848,2011,313.0,46.20711890789401,41.229349425096714,51.620273725731046
55-64,5136907,2011,229.0,44.57935485302732,38.99205721433937,50.74256804658712
65+,8052200,2011,484.0,60.10779662700877,54.87141621983323,65.7091150962168
15-24,4655729,2012,206.0,44.24656160184581,38.410314688792326,50.718986003162975
25-34,6765985,2012,298.0,44.043845796288345,39.184635304633744,49.33914755607359
35-44,7937457,2012,350.0,44.09472706434819,39.59562565814215,48.96501471522626
45-54,6899902,2012,274.0,39.7107089347066,35.147471417478314,44.70192019444858
55-64,5240045,2012,200.0,38.16761115601107,33.06095323254998,43.83969635097597
65+,8174391,2012,507.0,62.02296905053844,56.740961983889115,67.6643357218742
15-24,4559380,2013,163.0,35.75047484526405,30.472792723799675,41.679594825728834
25-34,6403467,2013,242.0,37.79202735018389,33.18015567917956,42.865632766139534
35-44,7914448,2013,278.0,35.12563352491545,31.117531327966788,39.50679488118873
45-54,6984177,2013,250.0,35.79519820302378,31.495192007725077,40.51840396403414
