term,estimate,se,low,high,label
const,6.109969874,0.02591057929,6.059186071,6.160753676,const
t,-0.002304621588,0.0004921816724,-0.00326927994,-0.001339963236,t
t_hinge1,-0.004383407643,0.001227270017,-0.006788812674,-0.001978002611,t_hinge1
post,-0.07341848583,0.03478458714,-0.1415950238,-0.005241947814,level change
post_t,0.006032542577,0.002506409515,0.001120070197,0.01094501496,slope change (per month)
m2,-0.1101861183,0.03222639744,-0.1733486967,-0.04702354001,m2
m3,0.0006073857456,0.02906009764,-0.05634935901,0.0575641305,m3
m4,-0.0136173442,0.03722407748,-0.08657519542,0.05934050702,m4
m5,0.02552438189,0.02992988505,-0.03313711488,0.08418587865,m5
m6,0.1068849873,0.02944409499,0.04917562159,0.1645943531,m6
m7,0.23755674,0.03330012993,0.1722896847,0.3028237954,m7
m8,0.2395465362,0.03766299629,0.1657284199,0.3133646525,m8
m9,0.08033836432,0.03196759156,0.01768303619,0.1429936925,m9
m10,0.09461875137,0.0385797244,0.01900388102,0.1702336217,m10
m11,0.01380031404,0.03833717074,-0.06133915988,0.08893978797,m11
m12,0.0965360622,0.02792080654,0.04181228697,0.1512598374,m12
