label,variant,family,window,n_months,level_change,level_low,level_high,slope_change_annual,slope_low,slope_high,dispersion,second_break_change
Main: piecewise pre-trend chosen on the pre-period,main,poisson,Jan 2000 to Nov 2007,95,-0.07078811336,-0.1320273064,-0.00522823278,0.07507509066,0.01353157654,0.1403556409,1.885835829,
One straight pre-trend (the earlier specification),linear_trend,poisson,Jan 2000 to Nov 2007,95,-0.1195895309,-0.1721124719,-0.063734423,0.04198380434,-0.02531947779,0.113934488,2.100424383,
Quadratic pre-trend,quadratic,poisson,Jan 2000 to Nov 2007,95,-0.07574320756,-0.1360086502,-0.01127410755,0.09498664759,0.02969492356,0.1644184418,1.969294938,
Piecewise pre-trend with the knot fixed at January 2004,knot_2004,poisson,Jan 2000 to Nov 2007,95,-0.06952081515,-0.134770443,0.0006494882326,0.07929402961,0.01686601863,0.1455546562,1.933252278,
CORES road-fuel consumption as a covariate,fuel,poisson,Jan 2000 to Nov 2007,95,-0.07732313822,-0.1408872308,-0.009056061326,0.0846332905,0.01985520012,0.1535258875,1.841333865,
Toll-motorway vehicle-kilometres as a covariate,toll,poisson,Jan 2000 to Nov 2007,95,-0.0720715086,-0.1286440975,-0.01182595692,0.07428413679,0.01483132227,0.1372199313,1.822004642,
Registered fleet as exposure offset,fleet_offset,poisson,Jan 2000 to Nov 2007,95,-0.07701401666,-0.1351413928,-0.01497988413,0.0794108851,0.01831243602,0.1441752233,1.936733426,
24-hour deaths,24h,poisson,Jan 2000 to Nov 2007,95,-0.07955120069,-0.1386012146,-0.01645323104,0.08366735107,0.02012822397,0.1511640401,1.865605902,
Interurban roads only,interurban,poisson,Jan 2000 to Nov 2007,95,-0.07417419584,-0.1437749322,0.001084238142,0.07217210867,0.01520311212,0.1323379695,1.739064622,
Urban streets only,urban,poisson,Jan 2000 to Nov 2007,95,-0.05466102219,-0.1475814418,0.04838846405,0.08627890403,-0.01672951382,0.2000785887,1.063705272,
"Level change only, no slope term",no_slope,poisson,Jan 2000 to Nov 2007,95,-0.03577809528,-0.1035930927,0.03716724397,,,,1.925573517,
Negative binomial,negative_binomial,negative_binomial,Jan 2000 to Nov 2007,95,-0.06955712472,-0.1305029738,-0.004339384658,0.0703879686,0.007076498126,0.1376796157,1.015642678,
Post-period to December 2009 with a second break in December 2007,long,poisson,Jan 2000 to Dec 2009,120,-0.007639158248,-0.09407019008,0.08703790234,-0.02468890371,-0.07500861211,0.02836820646,1.691098142,-0.08065451879
