period,deaths,fitted_main,counterfactual_main,post,fitted_linear,counterfactual_linear
2000-01-01,462,450.3251483,450.3251483,False,464.3323979,464.3323979
2000-02-01,394,402.4130842,402.4130842,False,414.2239131,414.2239131
2000-03-01,440,448.5266124,448.5266124,False,460.9070459,460.9070459
2000-04-01,455,441.1736952,441.1736952,False,452.5833407,452.5833407
2000-05-01,450,457.7282966,457.7282966,False,468.7726873,468.7726873
2000-06-01,468,495.3832736,495.3832736,False,506.481073,506.481073
2000-07-01,623,563.2360906,563.2360906,False,578.2650024,578.2650024
2000-08-01,544,563.0587975,563.0587975,False,577.2719443,577.2719443
2000-09-01,491,479.0817569,479.0817569,False,490.1976075,490.1976075
2000-10-01,502,484.8536199,484.8536199,False,495.118142,495.118142
2000-11-01,457,446.1806754,446.1806754,False,454.7234871,454.7234871
2000-12-01,490,483.5501819,483.5501819,False,491.9289248,491.9289248
2001-01-01,403,438.0418328,438.0418328,False,442.4112827,442.4112827
2001-02-01,413,391.4366444,391.4366444,False,394.6684176,394.6684176
2001-03-01,418,436.2923548,436.2923548,False,439.1476414,439.1476414
2001-04-01,422,429.1399998,429.1399998,False,431.2168981,431.2168981
2001-05-01,442,445.2430488,445.2430488,False,446.6419462,446.6419462
2001-06-01,487,481.870928,481.870928,False,482.5701204,482.5701204
2001-07-01,525,547.8729544,547.8729544,False,550.9651332,550.9651332
2001-08-01,576,547.7004972,547.7004972,False,550.0189573,550.0189573
2001-09-01,453,466.0140604,466.0140604,False,467.0553968,467.0553968
2001-10-01,432,471.6284869,471.6284869,False,471.7436329,471.7436329
2001-11-01,459,434.0104068,434.0104068,False,433.2560082,433.2560082
2001-12-01,487,470.3606022,470.3606022,False,468.7049786,468.7049786
2002-01-01,472,426.0935638,426.0935638,False,421.5250625,421.5250625
2002-02-01,377,380.7596041,380.7596041,False,376.0361363,376.0361363
2002-03-01,429,424.3918055,424.3918055,False,418.4154976,418.4154976
2002-04-01,360,417.4345421,417.4345421,False,410.8591644,410.8591644
2002-05-01,406,433.0983554,433.0983554,False,425.5559965,425.5559965
2002-06-01,471,468.7271526,468.7271526,False,459.788003,459.788003
2002-07-01,505,532.9288715,532.9288715,False,524.9540898,524.9540898
2002-08-01,558,532.7611184,532.7611184,False,524.0525828,524.0525828
2002-09-01,437,453.3028056,453.3028056,False,445.0057289,445.0057289
2002-10-01,448,458.7640899,458.7640899,False,449.4726336,449.4726336
2002-11-01,435,422.1721012,422.1721012,False,412.8020082,412.8020082
2002-12-01,449,457.5307887,457.5307887,False,446.577434,446.577434
2003-01-01,407,414.4712023,414.4712023,False,401.62488,401.62488
2003-02-01,380,370.3737965,370.3737965,False,358.2834843,358.2834843
