year,jun_to_jul,jul_to_aug,aug_to_sep,twelve_month_ratio,deaths_after,deaths_before,excluded,rank,n_ranked
1993,0.2212223211,0.01526747213,-0.1786917887,,,,False,,27
1994,0.3157079273,0.04951506453,-0.2087548139,-0.02442081807,5744,5886,False,13,27
1995,0.2931615382,-0.06082956085,-0.0481805939,-0.01827176624,5640,5744,False,17,27
1996,0.04122271582,0.05244647537,-0.120066663,-0.0229565318,5512,5640,False,14,27
1997,0.245806152,0.1160240203,-0.2861183505,0.03983456959,5736,5512,False,25,27
1998,0.0412043306,0.1544127687,-0.1975309755,0.02002137986,5852,5736,False,23,27
1999,0.2776317366,0.01591545531,-0.07087433959,-0.006686694439,5813,5852,False,19,27
2000,0.2860782229,-0.1355972719,-0.1025051191,-0.02103510849,5692,5813,False,15,27
2001,0.07513413951,0.0927093981,-0.2402155352,-0.04399668183,5447,5692,False,10,27
2002,0.06970033526,0.09980053311,-0.2444257673,-0.02509658623,5312,5447,False,12,27
2003,0.06708629322,0.1270697212,-0.2927368431,-0.02054085152,5204,5312,False,16,27
2004,0.06992701448,0,-0.2318963424,-0.1190328556,4620,5204,False,6,27
2005,0.09711768143,-0.06770379622,-0.1314631396,-0.05769331623,4361,4620,False,9,27
2006,0.07654007712,-0.1380528773,0.05581477911,-0.1215162049,3862,4361,False,4,27
2007,0.2070401437,-0.05884050002,-0.005524875932,-0.09956572621,3496,3862,False,7,27
2008,0.1752725049,-0.0293658948,-0.2767050138,-0.1762757961,2931,3496,False,1,27
2009,0.05965983641,0.05630004469,-0.2901181272,-0.1699116732,2473,2931,False,2,27
2010,0.2171852417,0.02750664579,-0.1547968834,-0.06991756669,2306,2473,False,8,27
2011,0.4054651081,-0.02739897419,-0.149531734,-0.1201166324,2045,2306,False,5,27
2012,-0.07765093423,0.1656197072,0.06124362524,-0.1586432338,1745,2045,False,3,27
2013,0.1664965156,0.0479133557,-0.07275935428,-0.0367709941,1682,1745,False,11,27
2014,0,0.01941808586,0.03774032798,-0.004767589483,1674,1682,False,20,27
2015,0.2992428949,-0.05918887139,0.08191712247,0.06532226411,1787,1674,False,26,27
2016,0.2755396856,-0.01583146522,-0.1930168459,0.006136699872,1798,1787,False,21,27
2017,0.07410797215,-0.1801261662,0.06986967996,0.008307995723,1813,1798,False,22,27
2018,0.1656197072,-0.04852704089,-0.129592829,-0.01165061722,1792,1813,False,18,27
2019,0.5194093675,-0.2623642645,-0.02702867239,-0.1792014295,1498,1792,True,,27
2020,0.6262529457,-0.1344302691,0.06947237281,0.02179023158,1531,1498,True,,27
2021,-0.09716374845,-0.0416726964,0.107485915,0.06388513987,1632,1531,True,,27
2022,0.3101549283,-0.2425616372,-0.04000533461,0.07777770104,1764,1632,False,27,27
2023,0.1066841426,0.08552217344,-0.09149234042,0.02795039411,1814,1764,False,24,27
2024,0.04417121831,0.08855339734,-0.1009759173,,,,False,,27
