term,estimate,se,low,high,label
const,3.597722417502814,0.06605355311068226,3.468259832354973,3.727185002650655,const
t,0.0007466152973834121,0.0013264636980700275,-0.0018532057776336542,0.0033464363724004785,t
treated,0.3438942309623707,0.034603246640703356,0.2760731137984355,0.4117153481263059,treated
post,0.024966071472826576,0.048317030431752124,-0.06973356801333337,0.11966571095898652,"level change, control"
post_treated,-0.14490562168320564,0.05071261878124623,-0.24430052805615776,-0.04551071531025351,"level change, conventional roads"
m2,0.04397526103463223,0.05730261150046198,-0.06833579372636396,0.1562863157956284,m2
m3,0.1417487583852976,0.0761566968751033,-0.0075156246714389585,0.29101314144203416,m3
m4,0.03180285112292269,0.08418101643257639,-0.1331889092669015,0.19679461151274688,m4
m5,0.05815816560332712,0.04430607287373814,-0.02868014152560669,0.14499647273226093,m5
m6,0.2199304798037165,0.07482298929504821,0.073280115569796,0.366580844037637,m6
m7,0.41654329866482853,0.05540816161235025,0.3079452974550473,0.5251412998746098,m7
m8,0.3462706207188333,0.060848586991895014,0.22700958170456664,0.46553165973309996,m8
m9,0.21084910209484484,0.051597813855538646,0.1097192452569873,0.3119789589327024,m9
m10,0.2934840957365088,0.06771921982399766,0.16075686382032253,0.4262113276526951,m10
m11,0.11587468168892333,0.039925331720275174,0.03762246944636939,0.19412689393147725,m11
m12,0.16654698102923815,0.043651005681000346,0.08099258200552417,0.25210138005295213,m12
