period,group,deaths,fitted_long,counterfactual_long,post,fitted_main,counterfactual_main,group_label
2016-01-01,conventional,55.0,52.028416797868964,52.028416797868964,False,51.501794332225764,51.501794332225764,Conventional roads
2016-02-01,conventional,58.0,51.82380083921368,51.82380083921368,False,53.857330625255564,53.857330625255564,Conventional roads
2016-03-01,conventional,56.0,57.564509235914066,57.564509235914066,False,59.433535480961204,59.433535480961204,Conventional roads
2016-04-01,conventional,50.0,55.55727852781158,55.55727852781158,False,53.285238707068714,53.285238707068714,Conventional roads
2016-05-01,conventional,63.0,58.209690534944606,58.209690534944606,False,54.74911889132862,54.74911889132862,Conventional roads
2016-06-01,conventional,52.0,65.80849250132779,65.80849250132779,False,64.41072810744534,64.41072810744534,Conventional roads
2016-07-01,conventional,93.0,78.17875118226291,78.17875118226291,False,78.46397787634253,78.46397787634253,Conventional roads
2016-08-01,conventional,84.0,73.44687940017724,73.44687940017724,False,73.19400921300594,73.19400921300594,Conventional roads
2016-09-01,conventional,57.0,67.00056132023529,67.00056132023529,False,63.97156405216697,63.97156405216697,Conventional roads
2016-10-01,conventional,54.0,68.16638480277653,68.16638480277653,False,69.53430875235517,69.53430875235517,Conventional roads
2016-11-01,conventional,60.0,56.78246138500805,56.78246138500805,False,58.26243133355238,58.26243133355238,Conventional roads
2016-12-01,conventional,55.0,63.160201613033145,63.160201613033145,False,61.33657972049854,61.33657972049854,Conventional roads
2017-01-01,conventional,56.0,52.11053938202487,52.11053938202487,False,51.96529188788183,51.96529188788183,Conventional roads
2017-02-01,conventional,58.0,51.90560045387871,51.90560045387871,False,54.34202715714605,54.34202715714605,Conventional roads
2017-03-01,conventional,61.0,57.65537008744613,57.65537008744613,False,59.968415843414654,59.968415843414654,Conventional roads
2017-04-01,conventional,73.0,55.64497113047329,55.64497113047329,False,53.76478661823388,53.76478661823388,Conventional roads
2017-05-01,conventional,61.0,58.301569752184996,58.301569752184996,False,55.24184119565766,55.24184119565766,Conventional roads
2017-06-01,conventional,74.0,65.91236580357744,65.91236580357744,False,64.99040140665596,64.99040140665596,Conventional roads
2017-07-01,conventional,69.0,78.30214992218828,78.30214992218828,False,79.17012534992638,79.17012534992638,Conventional roads
2017-08-01,conventional,67.0,73.56280926900186,73.56280926900186,False,73.8527288711999,73.8527288711999,Conventional roads
2017-09-01,conventional,74.0,67.1063162052415,67.1063162052415,False,64.54728503342844,64.54728503342844,Conventional roads
