year,zone,zone_label,total,known,speed_infraction,too_slow,none,unknown,share_speed_infraction,share_too_slow,share_none,share_unknown,share_among_known,share_among_known_low,share_among_known_high
2014,all,All roads,154919.0,127842.0,10382.0,92.0,117368.0,27077.0,0.067,0.0006,0.7576,0.1748,0.0812,0.0797,0.0827
2014,interurban,Interurban roads,58976.0,48936.0,7702.0,56.0,41178.0,10040.0,0.1306,0.0009,0.6982,0.1702,0.1574,0.1542,0.1606
2014,urban,Urban streets,95943.0,78906.0,2680.0,36.0,76190.0,17037.0,0.0279,0.0004,0.7941,0.1776,0.034,0.0327,0.0353
2015,all,All roads,166622.0,134606.0,9822.0,87.0,124697.0,32016.0,0.0589,0.0005,0.7484,0.1921,0.073,0.0716,0.0744
2015,interurban,Interurban roads,59148.0,48849.0,6936.0,57.0,41856.0,10299.0,0.1173,0.001,0.7076,0.1741,0.142,0.1389,0.1451
2015,urban,Urban streets,107474.0,85757.0,2886.0,30.0,82841.0,21717.0,0.0269,0.0003,0.7708,0.2021,0.0337,0.0325,0.0349
2016,all,All roads,173893.0,83718.0,9148.0,72.0,74498.0,90175.0,0.0526,0.0004,0.4284,0.5186,0.1093,0.1072,0.1114
2016,interurban,Interurban roads,63229.0,37920.0,6348.0,38.0,31534.0,25309.0,0.1004,0.0006,0.4987,0.4003,0.1674,0.1637,0.1712
2016,urban,Urban streets,110664.0,45798.0,2800.0,34.0,42964.0,64866.0,0.0253,0.0003,0.3882,0.5862,0.0611,0.059,0.0634
2017,all,All roads,174352.0,81924.0,8325.0,83.0,73516.0,92428.0,0.0477,0.0005,0.4217,0.5301,0.1016,0.0996,0.1037
2017,interurban,Interurban roads,65561.0,38873.0,5682.0,48.0,33143.0,26688.0,0.0867,0.0007,0.5055,0.4071,0.1462,0.1427,0.1497
2017,urban,Urban streets,108791.0,43051.0,2643.0,35.0,40373.0,65740.0,0.0243,0.0003,0.3711,0.6043,0.0614,0.0592,0.0637
2018,all,All roads,174146.0,79647.0,8603.0,57.0,70987.0,94499.0,0.0494,0.0003,0.4076,0.5426,0.108,0.1059,0.1102
2018,interurban,Interurban roads,65953.0,38919.0,6068.0,28.0,32823.0,27034.0,0.092,0.0004,0.4977,0.4099,0.1559,0.1523,0.1596
2018,urban,Urban streets,108193.0,40728.0,2535.0,29.0,38164.0,67465.0,0.0234,0.0003,0.3527,0.6236,0.0622,0.0599,0.0646
2019,all,All roads,176497.0,92129.0,8280.0,89.0,83760.0,84368.0,0.0469,0.0005,0.4746,0.478,0.0899,0.088,0.0917
2019,interurban,Interurban roads,65062.0,38413.0,5624.0,50.0,32739.0,26649.0,0.0864,0.0008,0.5032,0.4096,0.1464,0.1429,0.15
2019,urban,Urban streets,111435.0,53716.0,2656.0,39.0,51021.0,57719.0,0.0238,0.0003,0.4579,0.518,0.0494,0.0476,0.0513
2020,all,All roads,120764.0,61523.0,6554.0,69.0,54900.0,59241.0,0.0543,0.0006,0.4546,0.4906,0.1065,0.1041,0.109
2020,interurban,Interurban roads,44111.0,26112.0,4440.0,34.0,21638.0,17999.0,0.1007,0.0008,0.4905,0.408,0.17,0.1655,0.1746
2020,urban,Urban streets,76653.0,35411.0,2114.0,35.0,33262.0,41242.0,0.0276,0.0005,0.4339,0.538,0.0597,0.0573,0.0622
2021,all,All roads,150462.0,75432.0,7445.0,73.0,67914.0,75030.0,0.0495,0.0005,0.4514,0.4987,0.0987,0.0966,0.1008
2021,interurban,Interurban roads,54295.0,30845.0,4739.0,34.0,26072.0,23450.0,0.0873,0.0006,0.4802,0.4319,0.1536,0.1497,0.1577
2021,urban,Urban streets,96167.0,44587.0,2706.0,39.0,41842.0,51580.0,0.0281,0.0004,0.4351,0.5364,0.0607,0.0585,0.0629
2022,all,All roads,163243.0,80978.0,7136.0,81.0,73761.0,82265.0,0.0437,0.0005,0.4518,0.5039,0.0881,0.0862,0.0901
2022,interurban,Interurban roads,57281.0,30890.0,4331.0,28.0,26531.0,26391.0,0.0756,0.0005,0.4632,0.4607,0.1402,0.1364,0.1441
2022,urban,Urban streets,105962.0,50088.0,2805.0,53.0,47230.0,55874.0,0.0265,0.0005,0.4457,0.5273,0.056,0.054,0.058
2023,all,All roads,169321.0,84355.0,7514.0,94.0,76747.0,84966.0,0.0444,0.0006,0.4533,0.5018,0.0891,0.0872,0.091
2023,interurban,Interurban roads,61048.0,32681.0,4541.0,42.0,28098.0,28367.0,0.0744,0.0007,0.4603,0.4647,0.1389,0.1352,0.1427
2023,urban,Urban streets,108273.0,51674.0,2973.0,52.0,48649.0,56599.0,0.0275,0.0005,0.4493,0.5227,0.0575,0.0556,0.0596
2024,all,All roads,170187.0,81535.0,7393.0,70.0,74072.0,88652.0,0.0434,0.0004,0.4352,0.5209,0.0907,0.0887,0.0927
2024,interurban,Interurban roads,61318.0,31203.0,4473.0,36.0,26694.0,30115.0,0.0729,0.0006,0.4353,0.4911,0.1434,0.1395,0.1473
2024,urban,Urban streets,108869.0,50332.0,2920.0,34.0,47378.0,58537.0,0.0268,0.0003,0.4352,0.5377,0.058,0.056,0.0601
