year,zone,zone_label,vehicle_group,vehicle_label,total,known,speed_infraction,unknown,share_unknown,share_among_known,share_among_known_low,share_among_known_high
2024,all,All roads,moped,Mopeds,4769.0,2289.0,176.0,2480.0,0.52,0.0769,0.0667,0.0885
2024,all,All roads,motorcycle,Motorcycles,28981.0,12194.0,1574.0,16787.0,0.5792,0.1291,0.1232,0.1351
2024,all,All roads,car,Cars,100437.0,50266.0,4529.0,50171.0,0.4995,0.0901,0.0876,0.0926
2024,all,All roads,van,Vans,9593.0,4477.0,306.0,5116.0,0.5333,0.0683,0.0613,0.0761
2024,all,All roads,light_truck,"Trucks up to 3,500 kg",1569.0,713.0,60.0,856.0,0.5456,0.0842,0.0659,0.1068
2024,all,All roads,heavy_truck,"Trucks over 3,500 kg",3827.0,2094.0,168.0,1733.0,0.4528,0.0802,0.0693,0.0926
2024,all,All roads,bus,Buses,2815.0,1273.0,35.0,1542.0,0.5478,0.0275,0.0198,0.038
2024,all,All roads,bicycle,Bicycles,8465.0,4049.0,231.0,4416.0,0.5217,0.0571,0.0503,0.0646
2024,all,All roads,vmp,Personal mobility vehicles,7467.0,3019.0,224.0,4448.0,0.5957,0.0742,0.0654,0.0841
2024,all,All roads,other,Other vehicles,1709.0,967.0,69.0,742.0,0.4342,0.0714,0.0568,0.0893
2024,all,All roads,unknown,Unknown vehicle,555.0,194.0,21.0,361.0,0.6505,0.1082,0.0719,0.1598
2024,all,All roads,total,All drivers,170187.0,81535.0,7393.0,88652.0,0.5209,0.0907,0.0887,0.0927
2024,interurban,Interurban roads,moped,Mopeds,596.0,317.0,32.0,279.0,0.4681,0.1009,0.0724,0.139
2024,interurban,Interurban roads,motorcycle,Motorcycles,7938.0,3437.0,894.0,4501.0,0.567,0.2601,0.2457,0.275
2024,interurban,Interurban roads,car,Cars,41554.0,21524.0,2984.0,20030.0,0.482,0.1386,0.1341,0.1433
2024,interurban,Interurban roads,van,Vans,3832.0,1831.0,202.0,2001.0,0.5222,0.1103,0.0968,0.1255
2024,interurban,Interurban roads,light_truck,"Trucks up to 3,500 kg",756.0,354.0,45.0,402.0,0.5317,0.1271,0.0964,0.1659
2024,interurban,Interurban roads,heavy_truck,"Trucks over 3,500 kg",2932.0,1641.0,149.0,1291.0,0.4403,0.0908,0.0778,0.1057
2024,interurban,Interurban roads,bus,Buses,302.0,184.0,6.0,118.0,0.3907,0.0326,0.015,0.0693
2024,interurban,Interurban roads,bicycle,Bicycles,2556.0,1461.0,111.0,1095.0,0.4284,0.076,0.0635,0.0907
2024,interurban,Interurban roads,vmp,Personal mobility vehicles,223.0,124.0,10.0,99.0,0.4439,0.0806,0.0444,0.1421
2024,interurban,Interurban roads,other,Other vehicles,489.0,266.0,32.0,223.0,0.456,0.1203,0.0865,0.1649
2024,interurban,Interurban roads,unknown,Unknown vehicle,140.0,64.0,8.0,76.0,0.5429,0.125,0.0647,0.2277
2024,interurban,Interurban roads,total,All drivers,61318.0,31203.0,4473.0,30115.0,0.4911,0.1434,0.1395,0.1473
2024,urban,Urban streets,moped,Mopeds,4173.0,1972.0,144.0,2201.0,0.5274,0.073,0.0624,0.0854
2024,urban,Urban streets,motorcycle,Motorcycles,21043.0,8757.0,680.0,12286.0,0.5839,0.0777,0.0722,0.0834
2024,urban,Urban streets,car,Cars,58883.0,28742.0,1545.0,30141.0,0.5119,0.0538,0.0512,0.0564
2024,urban,Urban streets,van,Vans,5761.0,2646.0,104.0,3115.0,0.5407,0.0393,0.0325,0.0474
2024,urban,Urban streets,light_truck,"Trucks up to 3,500 kg",813.0,359.0,15.0,454.0,0.5584,0.0418,0.0255,0.0678
2024,urban,Urban streets,heavy_truck,"Trucks over 3,500 kg",895.0,453.0,19.0,442.0,0.4939,0.0419,0.027,0.0646
2024,urban,Urban streets,bus,Buses,2513.0,1089.0,29.0,1424.0,0.5667,0.0266,0.0186,0.038
2024,urban,Urban streets,bicycle,Bicycles,5909.0,2588.0,120.0,3321.0,0.562,0.0464,0.0389,0.0552
2024,urban,Urban streets,vmp,Personal mobility vehicles,7244.0,2895.0,214.0,4349.0,0.6004,0.0739,0.0649,0.084
2024,urban,Urban streets,other,Other vehicles,1220.0,701.0,37.0,519.0,0.4254,0.0528,0.0385,0.0719
2024,urban,Urban streets,unknown,Unknown vehicle,415.0,130.0,13.0,285.0,0.6867,0.1,0.0594,0.1636
2024,urban,Urban streets,total,All drivers,108869.0,50332.0,2920.0,58537.0,0.5377,0.058,0.056,0.0601
