year,zone,zone_label,block,item,label,drivers_with_infraction,drivers,known,share_of_known
2024,all,All roads,driver,other_priority,Other priority infraction,14331,170187,104621,0.1369801474
2024,all,All roads,driver,safety_distance,Not keeping a safe distance,11257,170187,104621,0.107597901
2024,all,All roads,speed,speed_infraction,Speed infraction,7393,170187,81535,0.09067271724
2024,all,All roads,driver,other_infraction,Other infraction,4206,170187,104621,0.04020225385
2024,all,All roads,driver,pedestrian_crossing,Failing to respect a pedestrian crossing,4116,170187,104621,0.03934200591
2024,all,All roads,driver,stop_sign,Failing to stop at a stop sign,3487,170187,104621,0.03332982862
2024,all,All roads,driver,partial_wrong_side,Partly invading the opposite lane,2579,170187,104621,0.02465088271
2024,all,All roads,driver,overtaking,Illegal overtaking,1429,170187,104621,0.01365882567
2024,all,All roads,driver,wrong_way,Driving against the flow or where prohibited,1417,170187,104621,0.01354412594
2024,interurban,Interurban roads,driver,safety_distance,Not keeping a safe distance,5507,61318,35609,0.1546519138
2024,interurban,Interurban roads,speed,speed_infraction,Speed infraction,4473,61318,31203,0.1433516008
2024,interurban,Interurban roads,driver,other_priority,Other priority infraction,2598,61318,35609,0.07295908338
2024,interurban,Interurban roads,driver,partial_wrong_side,Partly invading the opposite lane,1663,61318,35609,0.04670167654
2024,interurban,Interurban roads,driver,stop_sign,Failing to stop at a stop sign,1173,61318,35609,0.03294111039
2024,interurban,Interurban roads,driver,other_infraction,Other infraction,1072,61318,35609,0.0301047488
2024,interurban,Interurban roads,driver,overtaking,Illegal overtaking,524,61318,35609,0.01471538094
2024,interurban,Interurban roads,driver,wrong_way,Driving against the flow or where prohibited,257,61318,35609,0.007217276531
2024,interurban,Interurban roads,driver,pedestrian_crossing,Failing to respect a pedestrian crossing,165,61318,35609,0.00463366003
2024,urban,Urban streets,driver,other_priority,Other priority infraction,11733,108869,69012,0.1700139106
2024,urban,Urban streets,driver,safety_distance,Not keeping a safe distance,5750,108869,69012,0.0833188431
2024,urban,Urban streets,driver,pedestrian_crossing,Failing to respect a pedestrian crossing,3951,108869,69012,0.05725091288
2024,urban,Urban streets,driver,other_infraction,Other infraction,3134,108869,69012,0.04541239205
2024,urban,Urban streets,speed,speed_infraction,Speed infraction,2920,108869,50332,0.05801478185
2024,urban,Urban streets,driver,stop_sign,Failing to stop at a stop sign,2314,108869,69012,0.03353040051
2024,urban,Urban streets,driver,wrong_way,Driving against the flow or where prohibited,1160,108869,69012,0.01680867096
2024,urban,Urban streets,driver,partial_wrong_side,Partly invading the opposite lane,916,108869,69012,0.01327305396
2024,urban,Urban streets,driver,overtaking,Illegal overtaking,905,108869,69012,0.01311366139
