year,sex,category,age_band,crashes,driver_deaths,share_of_crashes,region_scope
2014,all,De 0 a 14 años,0-14,13,0,0.001547434829,Spain without Cataluña and País Vasco
2023,all,De 0 a 14 años,0-14,20,0,0.002924404153,Spain without Cataluña and País Vasco
2014,all,De 15 a 24 años,15-24,1542,29,0.1835495774,Spain without Cataluña and País Vasco
2023,all,De 15 a 24 años,15-24,1385,40,0.2025149876,Spain without Cataluña and País Vasco
2014,all,De 25 a 34 años,25-34,2154,48,0.2563980479,Spain without Cataluña and País Vasco
2023,all,De 25 a 34 años,25-34,1491,60,0.2180143296,Spain without Cataluña and País Vasco
2014,all,De 35 a 44 años,35-44,1999,62,0.2379478633,Spain without Cataluña and País Vasco
2023,all,De 35 a 44 años,35-44,1358,37,0.198567042,Spain without Cataluña and País Vasco
2014,all,De 45 a 54 años,45-54,1424,54,0.1695036305,Spain without Cataluña and País Vasco
2023,all,De 45 a 54 años,45-54,1279,36,0.1870156456,Spain without Cataluña and País Vasco
2014,all,De 55 a 64 años,55-64,676,19,0.08046661112,Spain without Cataluña and País Vasco
2023,all,De 55 a 64 años,55-64,806,40,0.1178534874,Spain without Cataluña and País Vasco
2014,all,De 65 a 74 años,65-74,332,13,0.03951910487,Spain without Cataluña and País Vasco
2023,all,De 65 a 74 años,65-74,306,10,0.04474338354,Spain without Cataluña and País Vasco
2014,all,De 65 y más años,65+ (all),501,22,0.05963575765,Spain without Cataluña and País Vasco
2023,all,De 65 y más años,65+ (all),445,15,0.0650679924,Spain without Cataluña and País Vasco
2014,all,De 75 a 84 años,75-84,157,8,0.0186882514,Spain without Cataluña and País Vasco
2023,all,De 75 a 84 años,75-84,123,5,0.01798508554,Spain without Cataluña and País Vasco
2014,all,De 85 y más años,85+,12,1,0.001428401381,Spain without Cataluña and País Vasco
2023,all,De 85 y más años,85+,16,0,0.002339523322,Spain without Cataluña and País Vasco
2014,all,Se desconoce,Unknown,92,1,0.01095107725,Spain without Cataluña and País Vasco
2023,all,Se desconoce,Unknown,55,0,0.00804211142,Spain without Cataluña and País Vasco
2014,all,Subtotal,Subtotal,8401,235,1,Spain without Cataluña and País Vasco
2023,all,Subtotal,Subtotal,6839,228,1,Spain without Cataluña and País Vasco
2014,men,De 0 a 14 años,0-14,12,0,0.001916932907,Spain without Cataluña and País Vasco
2023,men,De 0 a 14 años,0-14,17,0,0.003196690485,Spain without Cataluña and País Vasco
2014,men,De 15 a 24 años,15-24,1158,28,0.1849840256,Spain without Cataluña and País Vasco
2023,men,De 15 a 24 años,15-24,1124,35,0.2113576533,Spain without Cataluña and País Vasco
2014,men,De 25 a 34 años,25-34,1515,44,0.2420127796,Spain without Cataluña and País Vasco
2023,men,De 25 a 34 años,25-34,1119,53,0.2104174502,Spain without Cataluña and País Vasco
2014,men,De 35 a 44 años,35-44,1461,53,0.2333865815,Spain without Cataluña and País Vasco
2023,men,De 35 a 44 años,35-44,1020,32,0.1918014291,Spain without Cataluña and País Vasco
