weekday,weekday_index,hour,hour_start,crashes,deaths,share_of_crashes,region_scope
Monday,0,00:00-00:59,0,202.0,20.0,0.00352,Spain without Cataluña and País Vasco
Monday,0,01:00-01:59,1,143.0,8.0,0.00249,Spain without Cataluña and País Vasco
Monday,0,02:00-02:59,2,97.0,10.0,0.00169,Spain without Cataluña and País Vasco
Monday,0,03:00-03:59,3,74.0,8.0,0.00129,Spain without Cataluña and País Vasco
Monday,0,04:00-04:59,4,79.0,3.0,0.00138,Spain without Cataluña and País Vasco
Monday,0,05:00-05:59,5,107.0,2.0,0.00186,Spain without Cataluña and País Vasco
Monday,0,06:00-06:59,6,195.0,8.0,0.0034,Spain without Cataluña and País Vasco
Monday,0,07:00-07:59,7,315.0,14.0,0.00549,Spain without Cataluña and País Vasco
Monday,0,08:00-08:59,8,389.0,8.0,0.00678,Spain without Cataluña and País Vasco
Monday,0,09:00-09:59,9,427.0,16.0,0.00744,Spain without Cataluña and País Vasco
Monday,0,10:00-10:59,10,331.0,15.0,0.00577,Spain without Cataluña and País Vasco
Monday,0,11:00-11:59,11,360.0,11.0,0.00627,Spain without Cataluña and País Vasco
Monday,0,12:00-12:59,12,429.0,20.0,0.00748,Spain without Cataluña and País Vasco
Monday,0,13:00-13:59,13,472.0,20.0,0.00823,Spain without Cataluña and País Vasco
Monday,0,14:00-14:59,14,487.0,20.0,0.00849,Spain without Cataluña and País Vasco
Monday,0,15:00-15:59,15,431.0,18.0,0.00751,Spain without Cataluña and País Vasco
Monday,0,16:00-16:59,16,421.0,22.0,0.00734,Spain without Cataluña and País Vasco
Monday,0,17:00-17:59,17,407.0,18.0,0.00709,Spain without Cataluña and País Vasco
Monday,0,18:00-18:59,18,450.0,22.0,0.00784,Spain without Cataluña and País Vasco
Monday,0,19:00-19:59,19,433.0,30.0,0.00755,Spain without Cataluña and País Vasco
Monday,0,20:00-20:59,20,347.0,15.0,0.00605,Spain without Cataluña and País Vasco
Monday,0,21:00-21:59,21,292.0,14.0,0.00509,Spain without Cataluña and País Vasco
Monday,0,22:00-22:59,22,240.0,19.0,0.00418,Spain without Cataluña and País Vasco
Monday,0,23:00-23:59,23,174.0,9.0,0.00303,Spain without Cataluña and País Vasco
Tuesday,1,00:00-00:59,0,164.0,13.0,0.00286,Spain without Cataluña and País Vasco
Tuesday,1,01:00-01:59,1,98.0,10.0,0.00171,Spain without Cataluña and País Vasco
Tuesday,1,02:00-02:59,2,82.0,5.0,0.00143,Spain without Cataluña and País Vasco
Tuesday,1,03:00-03:59,3,68.0,3.0,0.00119,Spain without Cataluña and País Vasco
Tuesday,1,04:00-04:59,4,73.0,2.0,0.00127,Spain without Cataluña and País Vasco
Tuesday,1,05:00-05:59,5,85.0,6.0,0.00148,Spain without Cataluña and País Vasco
Tuesday,1,06:00-06:59,6,125.0,1.0,0.00218,Spain without Cataluña and País Vasco
Tuesday,1,07:00-07:59,7,293.0,18.0,0.00511,Spain without Cataluña and País Vasco
Tuesday,1,08:00-08:59,8,356.0,14.0,0.0062,Spain without Cataluña and País Vasco
Tuesday,1,09:00-09:59,9,342.0,9.0,0.00596,Spain without Cataluña and País Vasco
Tuesday,1,10:00-10:59,10,299.0,5.0,0.00521,Spain without Cataluña and País Vasco
Tuesday,1,11:00-11:59,11,317.0,9.0,0.00552,Spain without Cataluña and País Vasco
Tuesday,1,12:00-12:59,12,367.0,22.0,0.0064,Spain without Cataluña and País Vasco
Tuesday,1,13:00-13:59,13,441.0,18.0,0.00769,Spain without Cataluña and País Vasco
Tuesday,1,14:00-14:59,14,478.0,11.0,0.00833,Spain without Cataluña and País Vasco
Tuesday,1,15:00-15:59,15,431.0,9.0,0.00751,Spain without Cataluña and País Vasco
Tuesday,1,16:00-16:59,16,412.0,25.0,0.00718,Spain without Cataluña and País Vasco
Tuesday,1,17:00-17:59,17,408.0,25.0,0.00711,Spain without Cataluña and País Vasco
Tuesday,1,18:00-18:59,18,454.0,11.0,0.00791,Spain without Cataluña and País Vasco
Tuesday,1,19:00-19:59,19,429.0,22.0,0.00748,Spain without Cataluña and País Vasco
