year,zone,zone_label,factor,crashes,share_of_crashes,region_scope
2014,all,All roads,Alcohol,2045,0.03,Spain without Cataluña and País Vasco
2015,all,All roads,Alcohol,2082,0.03,Spain without Cataluña and País Vasco
2016,all,All roads,Alcohol,2739,0.04,Spain without Cataluña and País Vasco
2017,all,All roads,Alcohol,2797,0.04,Spain without Cataluña and País Vasco
2018,all,All roads,Alcohol,2892,0.04,Spain without Cataluña and País Vasco
2019,all,All roads,Alcohol,3161,0.04,Spain without Cataluña and País Vasco
2020,all,All roads,Alcohol,2488,0.05,Spain without Cataluña and País Vasco
2021,all,All roads,Alcohol,3180,0.05,Spain without Cataluña and País Vasco
2022,all,All roads,Alcohol,3414,0.05,Spain without Cataluña and País Vasco
2023,all,All roads,Alcohol,3609,0.05,Spain without Cataluña and País Vasco
2014,all,All roads,Distraction or inattention,13948,0.22,Spain without Cataluña and País Vasco
2015,all,All roads,Distraction or inattention,13360,0.2,Spain without Cataluña and País Vasco
2016,all,All roads,Distraction or inattention,18910,0.27,Spain without Cataluña and País Vasco
2017,all,All roads,Distraction or inattention,19658,0.28,Spain without Cataluña and País Vasco
2018,all,All roads,Distraction or inattention,18591,0.26,Spain without Cataluña and País Vasco
2019,all,All roads,Distraction or inattention,11942,0.16,Spain without Cataluña and País Vasco
2020,all,All roads,Distraction or inattention,8759,0.17,Spain without Cataluña and País Vasco
2021,all,All roads,Distraction or inattention,10186,0.16,Spain without Cataluña and País Vasco
2022,all,All roads,Distraction or inattention,11692,0.17,Spain without Cataluña and País Vasco
2023,all,All roads,Distraction or inattention,12475,0.17,Spain without Cataluña and País Vasco
2014,all,All roads,Drugs,69,0,Spain without Cataluña and País Vasco
2015,all,All roads,Drugs,181,0,Spain without Cataluña and País Vasco
2016,all,All roads,Drugs,283,0,Spain without Cataluña and País Vasco
2017,all,All roads,Drugs,425,0.01,Spain without Cataluña and País Vasco
2018,all,All roads,Drugs,838,0.01,Spain without Cataluña and País Vasco
2019,all,All roads,Drugs,683,0.01,Spain without Cataluña and País Vasco
2020,all,All roads,Drugs,99,0,Spain without Cataluña and País Vasco
2021,all,All roads,Drugs,87,0,Spain without Cataluña and País Vasco
2022,all,All roads,Drugs,94,0,Spain without Cataluña and País Vasco
2023,all,All roads,Drugs,85,0,Spain without Cataluña and País Vasco
2014,all,All roads,Illegal manoeuvres,17584,0.28,Spain without Cataluña and País Vasco
2015,all,All roads,Illegal manoeuvres,19656,0.29,Spain without Cataluña and País Vasco
2016,all,All roads,Illegal manoeuvres,23104,0.33,Spain without Cataluña and País Vasco
2017,all,All roads,Illegal manoeuvres,24603,0.35,Spain without Cataluña and País Vasco
2018,all,All roads,Illegal manoeuvres,23548,0.33,Spain without Cataluña and País Vasco
2019,all,All roads,Illegal manoeuvres,22716,0.31,Spain without Cataluña and País Vasco
2020,all,All roads,Illegal manoeuvres,15311,0.3,Spain without Cataluña and País Vasco
2021,all,All roads,Illegal manoeuvres,18600,0.29,Spain without Cataluña and País Vasco
2022,all,All roads,Illegal manoeuvres,20690,0.29,Spain without Cataluña and País Vasco
2023,all,All roads,Illegal manoeuvres,22252,0.3,Spain without Cataluña and País Vasco
2014,all,All roads,Inappropriate speed,6295,0.1,Spain without Cataluña and País Vasco
2015,all,All roads,Inappropriate speed,5896,0.09,Spain without Cataluña and País Vasco
2016,all,All roads,Inappropriate speed,6634,0.09,Spain without Cataluña and País Vasco
2017,all,All roads,Inappropriate speed,6507,0.09,Spain without Cataluña and País Vasco
2018,all,All roads,Inappropriate speed,6604,0.09,Spain without Cataluña and País Vasco
2019,all,All roads,Inappropriate speed,6049,0.08,Spain without Cataluña and País Vasco
2020,all,All roads,Inappropriate speed,4578,0.09,Spain without Cataluña and País Vasco
2021,all,All roads,Inappropriate speed,5034,0.08,Spain without Cataluña and País Vasco
2022,all,All roads,Inappropriate speed,4716,0.07,Spain without Cataluña and País Vasco
2023,all,All roads,Inappropriate speed,5070,0.07,Spain without Cataluña and País Vasco
2014,interurban,Interurban roads,Alcohol,1405,0.05,Spain without Cataluña and País Vasco
2015,interurban,Interurban roads,Alcohol,1398,0.06,Spain without Cataluña and País Vasco
2016,interurban,Interurban roads,Alcohol,1628,0.06,Spain without Cataluña and País Vasco
2017,interurban,Interurban roads,Alcohol,1677,0.06,Spain without Cataluña and País Vasco
2018,interurban,Interurban roads,Alcohol,1752,0.07,Spain without Cataluña and País Vasco
2019,interurban,Interurban roads,Alcohol,2012,0.08,Spain without Cataluña and País Vasco
2020,interurban,Interurban roads,Alcohol,1553,0.08,Spain without Cataluña and País Vasco
2021,interurban,Interurban roads,Alcohol,1937,0.08,Spain without Cataluña and País Vasco
2022,interurban,Interurban roads,Alcohol,2029,0.09,Spain without Cataluña and País Vasco
2023,interurban,Interurban roads,Alcohol,2064,0.08,Spain without Cataluña and País Vasco
2014,interurban,Interurban roads,Distraction or inattention,6354,0.25,Spain without Cataluña and País Vasco
2015,interurban,Interurban roads,Distraction or inattention,6145,0.25,Spain without Cataluña and País Vasco
2016,interurban,Interurban roads,Distraction or inattention,6440,0.25,Spain without Cataluña and País Vasco
2017,interurban,Interurban roads,Distraction or inattention,7634,0.29,Spain without Cataluña and País Vasco
2018,interurban,Interurban roads,Distraction or inattention,7294,0.27,Spain without Cataluña and País Vasco
2019,interurban,Interurban roads,Distraction or inattention,6916,0.26,Spain without Cataluña and País Vasco
2020,interurban,Interurban roads,Distraction or inattention,5328,0.27,Spain without Cataluña and País Vasco
2021,interurban,Interurban roads,Distraction or inattention,6233,0.27,Spain without Cataluña and País Vasco
2022,interurban,Interurban roads,Distraction or inattention,6273,0.26,Spain without Cataluña and País Vasco
2023,interurban,Interurban roads,Distraction or inattention,6592,0.26,Spain without Cataluña and País Vasco
2014,interurban,Interurban roads,Drugs,47,0,Spain without Cataluña and País Vasco
2015,interurban,Interurban roads,Drugs,142,0.01,Spain without Cataluña and País Vasco
2016,interurban,Interurban roads,Drugs,222,0.01,Spain without Cataluña and País Vasco
2017,interurban,Interurban roads,Drugs,343,0.01,Spain without Cataluña and País Vasco
2018,interurban,Interurban roads,Drugs,746,0.03,Spain without Cataluña and País Vasco
2019,interurban,Interurban roads,Drugs,558,0.02,Spain without Cataluña and País Vasco
2020,interurban,Interurban roads,Drugs,72,0,Spain without Cataluña and País Vasco
2021,interurban,Interurban roads,Drugs,68,0,Spain without Cataluña and País Vasco
2022,interurban,Interurban roads,Drugs,67,0,Spain without Cataluña and País Vasco
2023,interurban,Interurban roads,Drugs,62,0,Spain without Cataluña and País Vasco
2014,interurban,Interurban roads,Illegal manoeuvres,6495,0.25,Spain without Cataluña and País Vasco
2015,interurban,Interurban roads,Illegal manoeuvres,7060,0.29,Spain without Cataluña and País Vasco
2016,interurban,Interurban roads,Illegal manoeuvres,8211,0.32,Spain without Cataluña and País Vasco
2017,interurban,Interurban roads,Illegal manoeuvres,10353,0.39,Spain without Cataluña and País Vasco
2018,interurban,Interurban roads,Illegal manoeuvres,10156,0.38,Spain without Cataluña and País Vasco
2019,interurban,Interurban roads,Illegal manoeuvres,10206,0.38,Spain without Cataluña and País Vasco
2020,interurban,Interurban roads,Illegal manoeuvres,6757,0.35,Spain without Cataluña and País Vasco
2021,interurban,Interurban roads,Illegal manoeuvres,8366,0.37,Spain without Cataluña and País Vasco
2022,interurban,Interurban roads,Illegal manoeuvres,8720,0.37,Spain without Cataluña and País Vasco
2023,interurban,Interurban roads,Illegal manoeuvres,9463,0.38,Spain without Cataluña and País Vasco
2014,interurban,Interurban roads,Inappropriate speed,4766,0.19,Spain without Cataluña and País Vasco
2015,interurban,Interurban roads,Inappropriate speed,4340,0.18,Spain without Cataluña and País Vasco
2016,interurban,Interurban roads,Inappropriate speed,4955,0.19,Spain without Cataluña and País Vasco
2017,interurban,Interurban roads,Inappropriate speed,4902,0.18,Spain without Cataluña and País Vasco
2018,interurban,Interurban roads,Inappropriate speed,5221,0.19,Spain without Cataluña and País Vasco
2019,interurban,Interurban roads,Inappropriate speed,4669,0.18,Spain without Cataluña and País Vasco
2020,interurban,Interurban roads,Inappropriate speed,3599,0.19,Spain without Cataluña and País Vasco
2021,interurban,Interurban roads,Inappropriate speed,3770,0.16,Spain without Cataluña and País Vasco
2022,interurban,Interurban roads,Inappropriate speed,3411,0.14,Spain without Cataluña and País Vasco
2023,interurban,Interurban roads,Inappropriate speed,3580,0.14,Spain without Cataluña and País Vasco
2014,urban,Urban streets,Alcohol,640,0.02,Spain without Cataluña and País Vasco
2015,urban,Urban streets,Alcohol,684,0.02,Spain without Cataluña and País Vasco
2016,urban,Urban streets,Alcohol,1111,0.02,Spain without Cataluña and País Vasco
2017,urban,Urban streets,Alcohol,1120,0.03,Spain without Cataluña and País Vasco
2018,urban,Urban streets,Alcohol,1140,0.03,Spain without Cataluña and País Vasco
2019,urban,Urban streets,Alcohol,1149,0.02,Spain without Cataluña and País Vasco
2020,urban,Urban streets,Alcohol,935,0.03,Spain without Cataluña and País Vasco
2021,urban,Urban streets,Alcohol,1243,0.03,Spain without Cataluña and País Vasco
2022,urban,Urban streets,Alcohol,1385,0.03,Spain without Cataluña and País Vasco
2023,urban,Urban streets,Alcohol,1545,0.03,Spain without Cataluña and País Vasco
2014,urban,Urban streets,Distraction or inattention,7594,0.2,Spain without Cataluña and País Vasco
2015,urban,Urban streets,Distraction or inattention,7215,0.17,Spain without Cataluña and País Vasco
2016,urban,Urban streets,Distraction or inattention,12470,0.28,Spain without Cataluña and País Vasco
2017,urban,Urban streets,Distraction or inattention,12024,0.27,Spain without Cataluña and País Vasco
2018,urban,Urban streets,Distraction or inattention,11297,0.26,Spain without Cataluña and País Vasco
2019,urban,Urban streets,Distraction or inattention,5026,0.11,Spain without Cataluña and País Vasco
2020,urban,Urban streets,Distraction or inattention,3431,0.11,Spain without Cataluña and País Vasco
2021,urban,Urban streets,Distraction or inattention,3953,0.1,Spain without Cataluña and País Vasco
2022,urban,Urban streets,Distraction or inattention,5419,0.12,Spain without Cataluña and País Vasco
2023,urban,Urban streets,Distraction or inattention,5883,0.12,Spain without Cataluña and País Vasco
2014,urban,Urban streets,Drugs,22,0,Spain without Cataluña and País Vasco
2015,urban,Urban streets,Drugs,39,0,Spain without Cataluña and País Vasco
2016,urban,Urban streets,Drugs,61,0,Spain without Cataluña and País Vasco
2017,urban,Urban streets,Drugs,82,0,Spain without Cataluña and País Vasco
2018,urban,Urban streets,Drugs,92,0,Spain without Cataluña and País Vasco
2019,urban,Urban streets,Drugs,125,0,Spain without Cataluña and País Vasco
2020,urban,Urban streets,Drugs,27,0,Spain without Cataluña and País Vasco
2021,urban,Urban streets,Drugs,19,0,Spain without Cataluña and País Vasco
2022,urban,Urban streets,Drugs,27,0,Spain without Cataluña and País Vasco
2023,urban,Urban streets,Drugs,23,0,Spain without Cataluña and País Vasco
2014,urban,Urban streets,Illegal manoeuvres,11089,0.3,Spain without Cataluña and País Vasco
2015,urban,Urban streets,Illegal manoeuvres,12596,0.29,Spain without Cataluña and País Vasco
2016,urban,Urban streets,Illegal manoeuvres,14893,0.33,Spain without Cataluña and País Vasco
2017,urban,Urban streets,Illegal manoeuvres,14250,0.32,Spain without Cataluña and País Vasco
2018,urban,Urban streets,Illegal manoeuvres,13392,0.31,Spain without Cataluña and País Vasco
2019,urban,Urban streets,Illegal manoeuvres,12510,0.27,Spain without Cataluña and País Vasco
2020,urban,Urban streets,Illegal manoeuvres,8554,0.27,Spain without Cataluña and País Vasco
2021,urban,Urban streets,Illegal manoeuvres,10234,0.25,Spain without Cataluña and País Vasco
2022,urban,Urban streets,Illegal manoeuvres,11970,0.26,Spain without Cataluña and País Vasco
2023,urban,Urban streets,Illegal manoeuvres,12789,0.27,Spain without Cataluña and País Vasco
2014,urban,Urban streets,Inappropriate speed,1529,0.04,Spain without Cataluña and País Vasco
2015,urban,Urban streets,Inappropriate speed,1556,0.04,Spain without Cataluña and País Vasco
2016,urban,Urban streets,Inappropriate speed,1679,0.04,Spain without Cataluña and País Vasco
2017,urban,Urban streets,Inappropriate speed,1605,0.04,Spain without Cataluña and País Vasco
2018,urban,Urban streets,Inappropriate speed,1383,0.03,Spain without Cataluña and País Vasco
2019,urban,Urban streets,Inappropriate speed,1380,0.03,Spain without Cataluña and País Vasco
2020,urban,Urban streets,Inappropriate speed,979,0.03,Spain without Cataluña and País Vasco
2021,urban,Urban streets,Inappropriate speed,1264,0.03,Spain without Cataluña and País Vasco
2022,urban,Urban streets,Inappropriate speed,1305,0.03,Spain without Cataluña and País Vasco
2023,urban,Urban streets,Inappropriate speed,1490,0.03,Spain without Cataluña and País Vasco
