category,year,crashes,deaths,share_of_crashes,share_of_deaths,label,region_scope
Autopista,2014,198,6,0.03145353455,0.01892744479,Motorways,Spain without Cataluña and País Vasco
Autovía,2014,938,38,0.1490071485,0.119873817,Dual carriageways,Spain without Cataluña and País Vasco
Resto de vías interurbanas,2014,3630,222,0.5766481334,0.7003154574,Other interurban roads,Spain without Cataluña and País Vasco
Vías urbanas,2014,1529,51,0.2428911835,0.1608832808,Urban streets,Spain without Cataluña and País Vasco
Total,2014,6295,317,1,1,Total,Spain without Cataluña and País Vasco
Autopista,2015,156,6,0.02645861601,0.02027027027,Motorways,Spain without Cataluña and País Vasco
Autovía,2015,743,20,0.1260176391,0.06756756757,Dual carriageways,Spain without Cataluña and País Vasco
Resto de vías interurbanas,2015,3441,225,0.5836160109,0.7601351351,Other interurban roads,Spain without Cataluña and País Vasco
Vías urbanas,2015,1556,45,0.2639077341,0.152027027,Urban streets,Spain without Cataluña and País Vasco
Total,2015,5896,296,1,1,Total,Spain without Cataluña and País Vasco
Autopista,2016,205,3,0.03090141694,0.009036144578,Motorways,Spain without Cataluña and País Vasco
Autovía,2016,1008,37,0.1519445282,0.1114457831,Dual carriageways,Spain without Cataluña and País Vasco
Resto de vías interurbanas,2016,3742,231,0.5640639132,0.6957831325,Other interurban roads,Spain without Cataluña and País Vasco
Vías urbanas,2016,1679,61,0.2530901417,0.1837349398,Urban streets,Spain without Cataluña and País Vasco
Total,2016,6634,332,1,1,Total,Spain without Cataluña and País Vasco
Autopista,2017,223,15,0.03427078531,0.03623188406,Motorways,Spain without Cataluña and País Vasco
Autovía,2017,906,37,0.1392346704,0.08937198068,Dual carriageways,Spain without Cataluña and País Vasco
Resto de vías interurbanas,2017,3773,288,0.5798370985,0.6956521739,Other interurban roads,Spain without Cataluña and País Vasco
Vías urbanas,2017,1605,74,0.2466574458,0.1787439614,Urban streets,Spain without Cataluña and País Vasco
Total,2017,6507,414,1,1,Total,Spain without Cataluña and País Vasco
Autopista,2018,285,12,0.04315566323,0.03647416413,Motorways,Spain without Cataluña and País Vasco
Autovía,2018,1133,29,0.1715626893,0.08814589666,Dual carriageways,Spain without Cataluña and País Vasco
Resto de vías interurbanas,2018,3803,240,0.5758631133,0.7294832827,Other interurban roads,Spain without Cataluña and País Vasco
Vías urbanas,2018,1383,48,0.2094185342,0.1458966565,Urban streets,Spain without Cataluña and País Vasco
Total,2018,6604,329,1,1,Total,Spain without Cataluña and País Vasco
Autopista,2019,189,8,0.03124483386,0.02523659306,Motorways,Spain without Cataluña and País Vasco
Autovía,2019,927,37,0.1532484708,0.1167192429,Dual carriageways,Spain without Cataluña and País Vasco
Resto de vías interurbanas,2019,3553,212,0.5873698132,0.6687697161,Other interurban roads,Spain without Cataluña and País Vasco
Vías urbanas,2019,1380,60,0.2281368821,0.1892744479,Urban streets,Spain without Cataluña and País Vasco
Total,2019,6049,317,1,1,Total,Spain without Cataluña and País Vasco
Autopista,2020,158,12,0.03451288772,0.04316546763,Motorways,Spain without Cataluña and País Vasco
Autovía,2020,676,24,0.1476627348,0.08633093525,Dual carriageways,Spain without Cataluña and País Vasco
Resto de vías interurbanas,2020,2765,185,0.6039755352,0.6654676259,Other interurban roads,Spain without Cataluña and País Vasco
Vías urbanas,2020,979,57,0.2138488423,0.2050359712,Urban streets,Spain without Cataluña and País Vasco
Total,2020,4578,278,1,1,Total,Spain without Cataluña and País Vasco
Autopista,2021,137,8,0.02721493842,0.02898550725,Motorways,Spain without Cataluña and País Vasco
Autovía,2021,696,23,0.1382598331,0.08333333333,Dual carriageways,Spain without Cataluña and País Vasco
Resto de vías interurbanas,2021,2937,198,0.5834326579,0.7173913043,Other interurban roads,Spain without Cataluña and País Vasco
Vías urbanas,2021,1264,47,0.2510925705,0.1702898551,Urban streets,Spain without Cataluña and País Vasco
Total,2021,5034,276,1,1,Total,Spain without Cataluña and País Vasco
Autopista,2022,139,15,0.02947413062,0.04385964912,Motorways,Spain without Cataluña and País Vasco
Autovía,2022,669,35,0.1418575064,0.1023391813,Dual carriageways,Spain without Cataluña and País Vasco
Resto de vías interurbanas,2022,2603,221,0.5519508058,0.6461988304,Other interurban roads,Spain without Cataluña and País Vasco
Vías urbanas,2022,1305,71,0.2767175573,0.2076023392,Urban streets,Spain without Cataluña and País Vasco
Total,2022,4716,342,1,1,Total,Spain without Cataluña and País Vasco
Autopista,2023,163,6,0.03214990138,0.01880877743,Motorways,Spain without Cataluña and País Vasco
Autovía,2023,653,41,0.1287968442,0.1285266458,Dual carriageways,Spain without Cataluña and País Vasco
Resto de vías interurbanas,2023,2764,211,0.5451676529,0.6614420063,Other interurban roads,Spain without Cataluña and País Vasco
Vías urbanas,2023,1490,61,0.2938856016,0.1912225705,Urban streets,Spain without Cataluña and País Vasco
Total,2023,5070,319,1,1,Total,Spain without Cataluña and País Vasco
