category,year,crashes,deaths,share_of_crashes,share_of_deaths,label,region_scope,limit_km_h
10 km/h,2014,1,0,0.0001588562351,0,10 km/h,Spain without Cataluña and País Vasco,10
20 km/h,2014,48,0,0.007625099285,0,20 km/h,Spain without Cataluña and País Vasco,20
30 km/h,2014,199,9,0.03161239079,0.02839116719,30 km/h,Spain without Cataluña and País Vasco,30
40 km/h,2014,706,37,0.112152502,0.1167192429,40 km/h,Spain without Cataluña and País Vasco,40
50 km/h,2014,405,15,0.06433677522,0.04731861199,50 km/h,Spain without Cataluña and País Vasco,50
60 km/h,2014,439,26,0.06973788721,0.08201892744,60 km/h,Spain without Cataluña and País Vasco,60
70 km/h,2014,211,15,0.03351866561,0.04731861199,70 km/h,Spain without Cataluña and País Vasco,70
80 km/h,2014,324,25,0.05146942017,0.07886435331,80 km/h,Spain without Cataluña and País Vasco,80
90 km/h,2014,82,9,0.01302621128,0.02839116719,90 km/h,Spain without Cataluña and País Vasco,90
100 km/h,2014,150,8,0.02382843527,0.02523659306,100 km/h,Spain without Cataluña and País Vasco,100
110 km/h,2014,0,0,0,0,110 km/h,Spain without Cataluña and País Vasco,110
120 km/h,2014,18,1,0.002859412232,0.003154574132,120 km/h,Spain without Cataluña and País Vasco,120
Otra velocidad máxima,2014,5,0,0.0007942811755,0,Other limit,Spain without Cataluña and País Vasco,
Se desconoce *,2014,3707,172,0.5888800635,0.5425867508,Unknown,Spain without Cataluña and País Vasco,
Total,2014,6295,317,1,1,Total,Spain without Cataluña and País Vasco,
10 km/h,2015,4,0,0.0006784260516,0,10 km/h,Spain without Cataluña and País Vasco,10
20 km/h,2015,39,1,0.006614654003,0.003378378378,20 km/h,Spain without Cataluña and País Vasco,20
30 km/h,2015,164,5,0.02781546811,0.01689189189,30 km/h,Spain without Cataluña and País Vasco,30
40 km/h,2015,747,28,0.1266960651,0.09459459459,40 km/h,Spain without Cataluña and País Vasco,40
50 km/h,2015,444,28,0.07530529172,0.09459459459,50 km/h,Spain without Cataluña and País Vasco,50
60 km/h,2015,398,28,0.06750339213,0.09459459459,60 km/h,Spain without Cataluña and País Vasco,60
70 km/h,2015,183,15,0.03103799186,0.05067567568,70 km/h,Spain without Cataluña and País Vasco,70
80 km/h,2015,262,16,0.04443690638,0.05405405405,80 km/h,Spain without Cataluña and País Vasco,80
90 km/h,2015,57,0,0.009667571235,0,90 km/h,Spain without Cataluña and País Vasco,90
100 km/h,2015,137,2,0.02323609227,0.006756756757,100 km/h,Spain without Cataluña and País Vasco,100
110 km/h,2015,0,0,0,0,110 km/h,Spain without Cataluña and País Vasco,110
120 km/h,2015,16,0,0.002713704206,0,120 km/h,Spain without Cataluña and País Vasco,120
Otra velocidad máxima,2015,4,1,0.0006784260516,0.003378378378,Other limit,Spain without Cataluña and País Vasco,
Se desconoce *,2015,3441,172,0.5836160109,0.5810810811,Unknown,Spain without Cataluña and País Vasco,
Total,2015,5896,296,1,1,Total,Spain without Cataluña and País Vasco,
10 km/h,2016,2,0,0.0003014772385,0,10 km/h,Spain without Cataluña and País Vasco,10
20 km/h,2016,49,2,0.007386192342,0.006024096386,20 km/h,Spain without Cataluña and País Vasco,20
30 km/h,2016,216,12,0.03255954175,0.03614457831,30 km/h,Spain without Cataluña and País Vasco,30
40 km/h,2016,791,25,0.1192342478,0.07530120482,40 km/h,Spain without Cataluña and País Vasco,40
50 km/h,2016,493,27,0.07431413928,0.0813253012,50 km/h,Spain without Cataluña and País Vasco,50
60 km/h,2016,483,40,0.07280675309,0.1204819277,60 km/h,Spain without Cataluña and País Vasco,60
70 km/h,2016,242,20,0.03647874585,0.06024096386,70 km/h,Spain without Cataluña and País Vasco,70
80 km/h,2016,331,7,0.04989448297,0.02108433735,80 km/h,Spain without Cataluña and País Vasco,80
90 km/h,2016,111,3,0.01673198674,0.009036144578,90 km/h,Spain without Cataluña and País Vasco,90
100 km/h,2016,169,7,0.02547482665,0.02108433735,100 km/h,Spain without Cataluña and País Vasco,100
110 km/h,2016,0,0,0,0,110 km/h,Spain without Cataluña and País Vasco,110
120 km/h,2016,31,1,0.004672897196,0.003012048193,120 km/h,Spain without Cataluña and País Vasco,120
Otra velocidad máxima,2016,6,1,0.0009044317154,0.003012048193,Other limit,Spain without Cataluña and País Vasco,
Se desconoce *,2016,3710,187,0.5592402774,0.563253012,Unknown,Spain without Cataluña and País Vasco,
Total,2016,6634,332,1,1,Total,Spain without Cataluña and País Vasco,
10 km/h,2017,3,0,0.0004610419548,0,10 km/h,Spain without Cataluña and País Vasco,10
20 km/h,2017,47,0,0.007222990625,0,20 km/h,Spain without Cataluña and País Vasco,20
30 km/h,2017,252,9,0.0387275242,0.02173913043,30 km/h,Spain without Cataluña and País Vasco,30
40 km/h,2017,803,40,0.1234055632,0.09661835749,40 km/h,Spain without Cataluña and País Vasco,40
50 km/h,2017,530,32,0.08145074535,0.07729468599,50 km/h,Spain without Cataluña and País Vasco,50
60 km/h,2017,512,39,0.07868449362,0.09420289855,60 km/h,Spain without Cataluña and País Vasco,60
70 km/h,2017,235,28,0.03611495313,0.06763285024,70 km/h,Spain without Cataluña and País Vasco,70
80 km/h,2017,329,19,0.05056093438,0.04589371981,80 km/h,Spain without Cataluña and País Vasco,80
90 km/h,2017,94,5,0.01444598125,0.01207729469,90 km/h,Spain without Cataluña and País Vasco,90
100 km/h,2017,164,15,0.02520362686,0.03623188406,100 km/h,Spain without Cataluña and País Vasco,100
110 km/h,2017,0,0,0,0,110 km/h,Spain without Cataluña and País Vasco,110
120 km/h,2017,24,4,0.003688335639,0.009661835749,120 km/h,Spain without Cataluña and País Vasco,120
Otra velocidad máxima,2017,2,0,0.0003073613032,0,Other limit,Spain without Cataluña and País Vasco,
Se desconoce *,2017,3512,223,0.5397264484,0.538647343,Unknown,Spain without Cataluña and País Vasco,
Total,2017,6507,414,1,1,Total,Spain without Cataluña and País Vasco,
10 km/h,2018,0,0,0,0,10 km/h,Spain without Cataluña and País Vasco,10
20 km/h,2018,48,1,0.007268322229,0.003039513678,20 km/h,Spain without Cataluña and País Vasco,20
30 km/h,2018,243,9,0.03679588128,0.0273556231,30 km/h,Spain without Cataluña and País Vasco,30
40 km/h,2018,864,25,0.1308298001,0.07598784195,40 km/h,Spain without Cataluña and País Vasco,40
50 km/h,2018,475,25,0.07192610539,0.07598784195,50 km/h,Spain without Cataluña and País Vasco,50
60 km/h,2018,526,30,0.07964869776,0.09118541033,60 km/h,Spain without Cataluña and País Vasco,60
70 km/h,2018,246,11,0.03725015142,0.03343465046,70 km/h,Spain without Cataluña and País Vasco,70
80 km/h,2018,375,21,0.05678376741,0.06382978723,80 km/h,Spain without Cataluña and País Vasco,80
90 km/h,2018,95,6,0.01438522108,0.01823708207,90 km/h,Spain without Cataluña and País Vasco,90
100 km/h,2018,198,9,0.02998182919,0.0273556231,100 km/h,Spain without Cataluña and País Vasco,100
110 km/h,2018,0,0,0,0,110 km/h,Spain without Cataluña and País Vasco,110
120 km/h,2018,27,0,0.004088431254,0,120 km/h,Spain without Cataluña and País Vasco,120
Otra velocidad máxima,2018,1,1,0.0001514233798,0.003039513678,Other limit,Spain without Cataluña and País Vasco,
Se desconoce *,2018,3506,191,0.5308903695,0.5805471125,Unknown,Spain without Cataluña and País Vasco,
Total,2018,6604,329,1,1,Total,Spain without Cataluña and País Vasco,
10 km/h,2019,6,0,0.0009918994875,0,10 km/h,Spain without Cataluña and País Vasco,10
20 km/h,2019,66,1,0.01091089436,0.003154574132,20 km/h,Spain without Cataluña and País Vasco,20
30 km/h,2019,244,10,0.04033724583,0.03154574132,30 km/h,Spain without Cataluña and País Vasco,30
40 km/h,2019,825,27,0.1363861795,0.08517350158,40 km/h,Spain without Cataluña and País Vasco,40
50 km/h,2019,474,24,0.07836005951,0.07570977918,50 km/h,Spain without Cataluña and País Vasco,50
60 km/h,2019,441,31,0.07290461233,0.09779179811,60 km/h,Spain without Cataluña and País Vasco,60
70 km/h,2019,236,16,0.03901471318,0.05047318612,70 km/h,Spain without Cataluña and País Vasco,70
80 km/h,2019,325,15,0.05372788891,0.04731861199,80 km/h,Spain without Cataluña and País Vasco,80
90 km/h,2019,75,4,0.01239874359,0.01261829653,90 km/h,Spain without Cataluña and País Vasco,90
100 km/h,2019,155,11,0.02562407009,0.03470031546,100 km/h,Spain without Cataluña and País Vasco,100
110 km/h,2019,0,0,0,0,110 km/h,Spain without Cataluña and País Vasco,110
120 km/h,2019,31,2,0.005124814019,0.006309148265,120 km/h,Spain without Cataluña and País Vasco,120
Otra velocidad máxima,2019,3,0,0.0004959497438,0,Other limit,Spain without Cataluña and País Vasco,
Se desconoce *,2019,3168,176,0.5237229294,0.5552050473,Unknown,Spain without Cataluña and País Vasco,
Total,2019,6049,317,1,1,Total,Spain without Cataluña and País Vasco,
10 km/h,2020,3,0,0.0006553079948,0,10 km/h,Spain without Cataluña and País Vasco,10
20 km/h,2020,50,3,0.01092179991,0.01079136691,20 km/h,Spain without Cataluña and País Vasco,20
30 km/h,2020,200,10,0.04368719965,0.03597122302,30 km/h,Spain without Cataluña and País Vasco,30
40 km/h,2020,609,32,0.1330275229,0.1151079137,40 km/h,Spain without Cataluña and País Vasco,40
50 km/h,2020,381,24,0.08322411533,0.08633093525,50 km/h,Spain without Cataluña and País Vasco,50
