category,year,crashes,deaths,share_of_deaths,label,region_scope
Peatón,2014,244,18,0.05678233438,Pedestrians,Spain without Cataluña and País Vasco
Bicicleta,2014,184,9,0.02839116719,Bicycles,Spain without Cataluña and País Vasco
VMP,2014,,,,Personal mobility vehicles,Spain without Cataluña and País Vasco
Ciclomotor,2014,259,9,0.02839116719,Mopeds,Spain without Cataluña and País Vasco
Motocicleta,2014,1080,77,0.2429022082,Motorcycles,Spain without Cataluña and País Vasco
Turismo,2014,4660,162,0.5110410095,Cars,Spain without Cataluña and País Vasco
Furgoneta,2014,573,23,0.07255520505,Vans,Spain without Cataluña and País Vasco
Camión hasta 3.500 kg,2014,109,4,0.01261829653,"Trucks up to 3,500 kg",Spain without Cataluña and País Vasco
Camión más 3.500 kg,2014,368,10,0.03154574132,"Trucks over 3,500 kg",Spain without Cataluña and País Vasco
Autobús,2014,46,1,0.003154574132,Buses,Spain without Cataluña and País Vasco
Otro vehículo,2014,116,4,0.01261829653,Other vehicles,Spain without Cataluña and País Vasco
Se desconoce,2014,0,0,0,Unknown,Spain without Cataluña and País Vasco
Total,2014,7639,317,1,Total,Spain without Cataluña and País Vasco
Peatón,2015,228,28,0.09459459459,Pedestrians,Spain without Cataluña and País Vasco
Bicicleta,2015,207,9,0.03040540541,Bicycles,Spain without Cataluña and País Vasco
VMP,2015,,,,Personal mobility vehicles,Spain without Cataluña and País Vasco
Ciclomotor,2015,253,8,0.02702702703,Mopeds,Spain without Cataluña and País Vasco
Motocicleta,2015,1107,83,0.2804054054,Motorcycles,Spain without Cataluña and País Vasco
Turismo,2015,4269,133,0.4493243243,Cars,Spain without Cataluña and País Vasco
Furgoneta,2015,528,16,0.05405405405,Vans,Spain without Cataluña and País Vasco
Camión hasta 3.500 kg,2015,95,1,0.003378378378,"Trucks up to 3,500 kg",Spain without Cataluña and País Vasco
Camión más 3.500 kg,2015,305,13,0.04391891892,"Trucks over 3,500 kg",Spain without Cataluña and País Vasco
Autobús,2015,32,0,0,Buses,Spain without Cataluña and País Vasco
Otro vehículo,2015,87,5,0.01689189189,Other vehicles,Spain without Cataluña and País Vasco
Se desconoce,2015,0,0,0,Unknown,Spain without Cataluña and País Vasco
Total,2015,7111,296,1,Total,Spain without Cataluña and País Vasco
Peatón,2016,243,26,0.07831325301,Pedestrians,Spain without Cataluña and País Vasco
Bicicleta,2016,212,4,0.01204819277,Bicycles,Spain without Cataluña and País Vasco
VMP,2016,,,,Personal mobility vehicles,Spain without Cataluña and País Vasco
Ciclomotor,2016,267,4,0.01204819277,Mopeds,Spain without Cataluña and País Vasco
Motocicleta,2016,1215,108,0.3253012048,Motorcycles,Spain without Cataluña and País Vasco
Turismo,2016,4869,160,0.4819277108,Cars,Spain without Cataluña and País Vasco
Furgoneta,2016,570,8,0.02409638554,Vans,Spain without Cataluña and País Vasco
Camión hasta 3.500 kg,2016,97,0,0,"Trucks up to 3,500 kg",Spain without Cataluña and País Vasco
Camión más 3.500 kg,2016,348,13,0.03915662651,"Trucks over 3,500 kg",Spain without Cataluña and País Vasco
Autobús,2016,43,1,0.003012048193,Buses,Spain without Cataluña and País Vasco
Otro vehículo,2016,118,8,0.02409638554,Other vehicles,Spain without Cataluña and País Vasco
Se desconoce,2016,0,0,0,Unknown,Spain without Cataluña and País Vasco
Total,2016,7982,332,1,Total,Spain without Cataluña and País Vasco
Peatón,2017,258,22,0.05314009662,Pedestrians,Spain without Cataluña and País Vasco
Bicicleta,2017,237,13,0.03140096618,Bicycles,Spain without Cataluña and País Vasco
VMP,2017,,,,Personal mobility vehicles,Spain without Cataluña and País Vasco
Ciclomotor,2017,249,6,0.01449275362,Mopeds,Spain without Cataluña and País Vasco
Motocicleta,2017,1420,111,0.268115942,Motorcycles,Spain without Cataluña and País Vasco
Turismo,2017,4635,225,0.5434782609,Cars,Spain without Cataluña and País Vasco
Furgoneta,2017,601,13,0.03140096618,Vans,Spain without Cataluña and País Vasco
Camión hasta 3.500 kg,2017,80,2,0.004830917874,"Trucks up to 3,500 kg",Spain without Cataluña and País Vasco
Camión más 3.500 kg,2017,360,15,0.03623188406,"Trucks over 3,500 kg",Spain without Cataluña and País Vasco
Autobús,2017,44,0,0,Buses,Spain without Cataluña and País Vasco
Otro vehículo,2017,101,7,0.01690821256,Other vehicles,Spain without Cataluña and País Vasco
Se desconoce,2017,0,0,0,Unknown,Spain without Cataluña and País Vasco
