year,deaths_30d,hospitalised_30d,crashes,residents,licence_holders,vehicle_fleet,road_fuel_tonnes
1993,6378,36828,79925,,,17809987,
1994,5615,33991,78474,,,18218924,
1995,5751,35599,83586,,,18847245,
1996,5483,33899,85588,,,19542104,20701601.68
1997,5604,33915,86067,,,20286408,21724811
1998,5957,34664,97570,,,21306493,23181863.54
1999,5738,31883,97811,,,22411194,24502564.45
2000,5776,27764,101729,,,23284215,25206984.43
2001,5517,26566,100393,,,24249871,26467756.27
2002,5347,26156,98433,41423520,,25065732,27345365.59
2003,5399,26305,99987,42196231,,25169452,28783555.71
2004,4741,21805,94009,42859172,,26432641,29839937.91
2005,4442,21859,91187,43662613,,27657276,30542777.82
2006,4104,21382,99797,44360521,,29054061,31515365.63
2007,3823,19295,100508,45236004,,30318457,32765597.24
2008,3100,16488,93161,45983169,,30969224,31413643.08
2009,2714,13923,88251,46367550,,30855969,29789824.25
2010,2478,11995,85503,46562483,,31086035,29258264.15
2011,2060,11347,83027,46736257,,31269081,27896209.17
2012,1903,10444,83115,46749303,,31203203,26157301.6
2013,1680,10086,89519,46581124,,30916836,25182462.74
2014,1688,9574,91570,46433050,26217202,30976047,25542972.42
2015,1689,9495,97756,46384379,26350036,31389683,26428292.92
2016,1810,9755,102362,46427100,26514026,32106520,27270029.32
2017,1830,9546,102233,46510461,26649453,32929004,27943954.81
2018,1806,8935,102299,46715383,26853754,33729982,28645669.35
2019,1755,8613,104080,47087778,27311015,34434791,28835308.82
2020,1370,6681,72959,47344852,27206036,34765203,23776340.53
2021,1533,7784,89862,47346836,27427559,35178808,27095014.6
2022,1746,8502,97916,47781354,27664075,35668443,27921660.69
2023,1806,9265,101306,48320520,27914572,36075238,27632863.39
2024,1785,9561,101996,48821936,28142470,36241784,28331339.64
