outcome,outcome_label,annual_efficiency_gain,year,ratio_to_base,ratio_low,ratio_high
deaths_30d,Deaths within 30 days,0,2019,1,0.9359769556,1.068402372
deaths_30d,Deaths within 30 days,0,2020,0.9467232463,0.8821364121,1.016038895
deaths_30d,Deaths within 30 days,0,2021,0.9296088544,0.8680470875,0.9955365724
deaths_30d,Deaths within 30 days,0,2022,1.027425831,0.9615649645,1.097797733
deaths_30d,Deaths within 30 days,0,2023,1.073839419,1.005560214,1.146754895
deaths_30d,Deaths within 30 days,0,2024,1.035186492,0.9691806656,1.105687629
deaths_30d,Deaths within 30 days,0.01,2019,1,0.9359769556,1.068402372
deaths_30d,Deaths within 30 days,0.01,2020,0.9373497488,0.8734023882,1.005979104
deaths_30d,Deaths within 30 days,0.01,2021,0.9112918875,0.8509431306,0.9759205689
deaths_30d,Deaths within 30 days,0.01,2022,0.9972093894,0.9332854812,1.065511664
deaths_30d,Deaths within 30 days,0.01,2023,1.031938575,0.9663236012,1.102008914
deaths_30d,Deaths within 30 days,0.01,2024,0.984944427,0.9221421484,1.05202384
deaths_30d,Deaths within 30 days,0.02,2019,1,0.9359769556,1.068402372
deaths_30d,Deaths within 30 days,0.02,2020,0.9281600454,0.8648396197,0.9961165634
deaths_30d,Deaths within 30 days,0.02,2021,0.8935110096,0.8343397612,0.9568786739
deaths_30d,Deaths within 30 days,0.02,2022,0.9681663078,0.9061041422,1.034479323
deaths_30d,Deaths within 30 days,0.02,2023,0.9920616354,0.9289822046,1.059424264
deaths_30d,Deaths within 30 days,0.02,2024,0.9376002993,0.8778167892,1.001455352
hospitalised_30d,Injured and hospitalised,0,2019,1,0.9705749943,1.030317086
hospitalised_30d,Injured and hospitalised,0,2020,0.9407335207,0.9111494945,0.9712781079
hospitalised_30d,Injured and hospitalised,0,2021,0.9617973976,0.9327641002,0.991734388
hospitalised_30d,Injured and hospitalised,0,2022,1.019412642,0.9893201301,1.05042049
hospitalised_30d,Injured and hospitalised,0,2023,1.122508642,1.090056561,1.155926855
hospitalised_30d,Injured and hospitalised,0,2024,1.129812479,1.097390201,1.163192671
hospitalised_30d,Injured and hospitalised,0.01,2019,1,0.9705749943,1.030317086
hospitalised_30d,Injured and hospitalised,0.01,2020,0.9314193275,0.9021282124,0.961661493
hospitalised_30d,Injured and hospitalised,0.01,2021,0.9428461892,0.9143849624,0.9721933026
hospitalised_30d,Injured and hospitalised,0.01,2022,0.9894318673,0.9602243714,1.019527778
hospitalised_30d,Injured and hospitalised,0.01,2023,1.078708742,1.047522929,1.110822987
hospitalised_30d,Injured and hospitalised,0.01,2024,1.074977808,1.044129122,1.106737914
hospitalised_30d,Injured and hospitalised,0.02,2019,1,0.9705749943,1.030317086
hospitalised_30d,Injured and hospitalised,0.02,2020,0.9222877654,0.8932838182,0.9522334391
hospitalised_30d,Injured and hospitalised,0.02,2021,0.9244496325,0.8965437334,0.9532241331
hospitalised_30d,Injured and hospitalised,0.02,2022,0.960615301,0.9322584546,0.989834688
hospitalised_30d,Injured and hospitalised,0.02,2023,1.037024475,1.007043768,1.067897738
hospitalised_30d,Injured and hospitalised,0.02,2024,1.023305972,0.9939401152,1.05353944
