outcome,outcome_label,denominator,denominator_label,year,count,exposure,rate,rate_low,rate_high,ratio_to_base,ratio_low,ratio_high,index
deaths_30d,Deaths within 30 days,count,"Count, no denominator",2019,1755,,1755,1673.842996,1839.074623,1,0.9359769556,1.068402372,100
deaths_30d,Deaths within 30 days,count,"Count, no denominator",2020,1370,,1370,1298.4066,1444.51408,0.7806267806,0.7273712884,0.8377814472,78.06267806
deaths_30d,Deaths within 30 days,count,"Count, no denominator",2021,1533,,1533,1457.211964,1611.70728,0.8735042735,0.8156579372,0.9354530632,87.35042735
deaths_30d,Deaths within 30 days,count,"Count, no denominator",2022,1746,,1746,1665.053811,1829.863868,0.9948717949,0.9310977329,1.06301396,99.48717949
deaths_30d,Deaths within 30 days,count,"Count, no denominator",2023,1806,,1806,1723.658457,1891.258832,1.029059829,0.9636278983,1.098934696,102.9059829
deaths_30d,Deaths within 30 days,count,"Count, no denominator",2024,1785,,1785,1703.144156,1869.773267,1.017094017,0.9522418082,1.086362971,101.7094017
deaths_30d,Deaths within 30 days,residents,"Per 100,000 residents",2019,1755,47087778,3.727081792,3.554729203,3.905630508,1,0.9359769556,1.068402372,100
deaths_30d,Deaths within 30 days,residents,"Per 100,000 residents",2020,1370,47344852,2.893662018,2.742445155,3.051047831,0.7763881181,0.7234217936,0.8332324451,77.63881181
deaths_30d,Deaths within 30 days,residents,"Per 100,000 residents",2021,1533,47346836,3.237808752,3.077738846,3.404044316,0.8687248988,0.8111950685,0.9303347359,86.87248988
deaths_30d,Deaths within 30 days,residents,"Per 100,000 residents",2022,1746,47781354,3.654145088,3.484735511,3.829660976,0.9804306135,0.9175822716,1.047583653,98.04306135
deaths_30d,Deaths within 30 days,residents,"Per 100,000 residents",2023,1806,48320520,3.73754256,3.56713557,3.913986918,1.002806691,0.9390440448,1.070898927,100.2806691
deaths_30d,Deaths within 30 days,residents,"Per 100,000 residents",2024,1785,48821936,3.656143419,3.488481399,3.829781078,0.9809667786,0.9184181239,1.047775295,98.09667786
deaths_30d,Deaths within 30 days,licence_holders,"Per 100,000 licence holders",2019,1755,27311015,6.425978676,6.128820169,6.73382012,1,0.9359769556,1.068402372,100
