month,month_label,deaths,deaths_baseline,deaths_change,road_fuel_tonnes_change,risk_change_road_fuel_tonnes,petrol_tonnes_change,risk_change_petrol_tonnes,toll_intensity_change,risk_change_toll_intensity
1,Jan,127,134,-0.05223880597,0.03399887526,-0.08340210352,0.1272649182,-0.1592382778,0.0911453258,-0.1314069981
2,Feb,130,134.6666667,-0.03465346535,0.05133746083,-0.08179193587,0.1629224679,-0.1698960496,0.09744722631,-0.120370883
3,Mar,91,141.6666667,-0.3576470588,-0.2630447948,-0.1283690832,-0.3270033823,-0.04553318053,-0.3973813977,0.06593613066
4,Apr,40,125,-0.68,-0.5772034479,-0.2431347928,-0.763591737,0.3535905891,-0.7776585913,0.4392280858
5,May,72,133,-0.4586466165,-0.4229844944,-0.06180444334,-0.5461442154,0.1927872286,-0.6337132721,0.4779497651
6,Jun,85,148.6666667,-0.4282511211,-0.2033751543,-0.2822859065,-0.2092356999,-0.2769667538,-0.3616214313,-0.1043733186
7,Jul,159,189,-0.1587301587,-0.05951478576,-0.1054938148,0.005979325036,-0.163730486,-0.1865319601,0.03417688214
8,Aug,139,161,-0.1366459627,-0.1129991757,-0.02665926165,-0.04982659993,-0.09137212513,-0.2388253233,0.1342390435
9,Sep,149,156,-0.04487179487,-0.05226650649,0.007802522194,-0.01714937141,-0.02820614105,-0.1628879524,0.1409801208
10,Oct,144,177.3333333,-0.1879699248,-0.09013695959,-0.107524936,-0.08011181735,-0.1172513241,-0.2018572135,0.01739950407
11,Nov,100,143,-0.3006993007,-0.1690142615,-0.1584684707,-0.1965904674,-0.1295837666,-0.3285992441,0.04155482866
12,Dec,134,153.6666667,-0.1279826464,-0.08384966037,-0.04817220945,-0.09791551905,-0.03333072235,-0.2871874881,0.2233474287
