month,month_label,deaths_all,deaths_interurban,deaths_urban,road_fuel_tonnes,petrol_tonnes,toll_intensity,risk_road_fuel_tonnes,risk_petrol_tonnes,risk_toll_intensity
1,Jan,90.04503589,85.33126959,102.0578293,90.78768688,86.34207255,77.17237723,99.18199151,104.2887126,116.6803967
2,Feb,83.89311258,82.41958083,87.54654647,91.2609455,85.08183924,82.73078069,91.92663096,98.60284325,101.404957
3,Mar,91.25982442,90.24905673,93.7542584,100.0897444,95.97284781,89.03361586,91.17799725,95.0892117,102.5004135
4,Apr,89.36112225,92.29645593,81.73952296,99.1956093,97.89873606,100.3771887,90.08576375,91.27913786,89.02532878
5,May,93.33269394,91.2728619,98.66243373,102.782798,100.7807921,96.76361876,90.80575328,92.60960542,96.45432358
6,Jun,99.60895371,102.6987273,91.85017467,103.2809557,103.699281,104.9725073,96.44464758,96.05558761,94.89051588
7,Jul,121.3889538,126.0049596,109.3580835,109.104635,114.6217397,128.1578366,111.2592089,105.9039534,94.71832311
8,Aug,113.3669936,120.7806133,94.14084211,104.6385391,116.0672811,139.8489443,108.3415294,97.67351538,81.06388944
9,Sep,108.4792474,106.8122938,112.7045306,99.32902725,101.8591273,105.3109464,109.2120303,106.49929,103.0085201
10,Oct,104.9604079,103.3192725,109.5068619,102.09702,102.5475978,96.36266476,102.8045754,102.3528685,108.9222763
11,Nov,99.79270501,98.38817037,103.265209,97.19762909,93.35078403,88.80029205,102.6698963,106.9007679,112.3788027
12,Dec,104.5109495,100.4267382,115.4137074,100.2354098,101.7779013,90.46922736,104.2654983,102.6853061,115.5209927
