year,road_type,road_type_label,totals_source,speed_crashes,speed_deaths,other_crashes,other_deaths,share_of_crashes,share_of_deaths,speed_deaths_per_100,speed_low,speed_high,other_deaths_per_100,other_low,other_high,rate_ratio,ratio_low,ratio_high
2014,all,All roads,report,6295,317,56767,1063,0.09982239701,0.2297101449,5.035742653,4.496591318,5.621738937,1.872566808,1.761675484,1.988609418,2.689219221,2.372214251,3.048586364
2014,interurban,All interurban roads,report,4766,266,20832,799,0.1861864208,0.2497652582,5.581200168,4.930578831,6.293798929,3.835445469,3.574076686,4.11087338,1.455163478,1.2666505,1.671732453
2014,urban,Urban streets,report,1529,51,35935,264,0.04081251335,0.1619047619,3.335513407,2.483508819,4.385584132,0.7346598024,0.6487041179,0.8288360711,4.540214935,3.364182271,6.127358745
2015,all,All roads,report,5896,296,62024,1035,0.08680800942,0.2223891811,5.020352782,4.46466105,5.62609158,1.668708887,1.568582508,1.773550587,3.008525226,2.6439191,3.423411873
2015,interurban,All interurban roads,report,4340,251,20189,757,0.1769334257,0.2490079365,5.783410138,5.090001323,6.544919863,3.749566596,3.487184019,4.02646072,1.542420968,1.337226251,1.779102407
2015,urban,Urban streets,report,1556,45,41835,278,0.03585997096,0.1393188854,2.892030848,2.109467146,3.869764813,0.664515358,0.5886890967,0.747399244,4.352090307,3.176314071,5.963103653
2016,all,All roads,report,6634,332,63868,1140,0.09409662137,0.2255434783,5.004522159,4.480617066,5.572859766,1.784931421,1.682808581,1.891631211,2.80376159,2.481172364,3.168292202
2016,interurban,All interurban roads,report,4955,271,20783,798,0.1925169011,0.2535079514,5.469223007,4.83738164,6.160666747,3.839676659,3.577858533,4.115587163,1.424396764,1.241037697,1.634846505
2016,urban,Urban streets,report,1679,61,43085,342,0.03750781878,0.1513647643,3.633114949,2.77904506,4.666888143,0.7937797377,0.711872249,0.8825269015,4.576981216,3.485564149,6.010148188
2016,motorway,Motorways,microdata,205,3,1463,44,0.1229016787,0.06382978723,1.463414634,0.3017912795,4.276718571,3.007518797,2.185267762,4.037453608,0.4865853659,0.1510915416,1.567032249
2016,dual_carriageway,Dual carriageways,microdata,1008,37,5256,175,0.1609195402,0.1745283019,3.670634921,2.584465731,5.05948672,3.329528158,2.854487458,3.86102889,1.10244898,0.773280965,1.571736287
